2022-12-03 09:19:12,615 [ZeusDataLoader(train)] Distributed data parallel: OFF
2022-12-03 09:19:12,657 [ZeusDataLoader(train)] Power limit range: [175000, 150000, 125000, 100000]
2022-12-03 09:19:12,657 [ZeusDataLoader(train)] Power profiling: ON
2022-12-03 09:19:15,251 [ZeusDataLoader(train)] Up to epoch 0: time=0.00, energy=0.00, cost=0.00
2022-12-03 09:19:15,252 [ZeusDataLoader(train)] Epoch 1 begin.
Files already downloaded and verified
Files already downloaded and verified
2022-12-03 09:19:15,433 [ZeusDataLoader(train)] [GPU_0] Zeus monitor started.
2022-12-03 14:19:15.440 [ZeusMonitor] Monitor started.
2022-12-03 14:19:15.440 [ZeusMonitor] Running indefinitely. 2022-12-03 14:19:15.440 [ZeusMonitor] Sleeping 100ms after each poll. 
2022-12-03 14:19:15.440 [ZeusMonitor] Logfile path: /workspace/zeus_logs/cifar100+shufflenetv2+bs1024+sgd+lr0.001+tm0.8+me100+x100+eta0.5+beta2.0+2022120309191670077148/bs128+e1+gpu0.power.log
2022-12-03 09:19:15,482 [ZeusDataLoader(train)] [GPU_0] Set GPU power limit to 175W.
2022-12-03 09:19:15,482 [ZeusDataLoader(train)] Warm-up started with power limit 175W
2022-12-03 09:19:18,318 [ZeusDataLoader(train)] Profile started with power limit 175W
2022-12-03 09:19:26,788 [ZeusDataLoader(train)] Profile done with power limit 175W
2022-12-03 09:19:27,004 [ZeusDataLoader(train)] [GPU_0] Set GPU power limit to 150W.
2022-12-03 09:19:27,004 [ZeusDataLoader(train)] Warm-up started with power limit 150W
2022-12-03 09:19:29,252 [ZeusDataLoader(train)] Profile started with power limit 150W
2022-12-03 09:19:37,722 [ZeusDataLoader(train)] Profile done with power limit 150W
2022-12-03 09:19:37,936 [ZeusDataLoader(train)] [GPU_0] Set GPU power limit to 125W.
2022-12-03 09:19:37,937 [ZeusDataLoader(train)] Warm-up started with power limit 125W
2022-12-03 09:19:40,219 [ZeusDataLoader(train)] Profile started with power limit 125W
2022-12-03 09:19:48,944 [ZeusDataLoader(train)] Profile done with power limit 125W
2022-12-03 09:19:49,166 [ZeusDataLoader(train)] [GPU_0] Set GPU power limit to 100W.
2022-12-03 09:19:49,166 [ZeusDataLoader(train)] Warm-up started with power limit 100W
2022-12-03 09:19:51,785 [ZeusDataLoader(train)] Profile started with power limit 100W
Training Epoch: 0 [128/50048]	Loss: 4.6535
Training Epoch: 0 [256/50048]	Loss: 4.6527
Training Epoch: 0 [384/50048]	Loss: 4.5952
Training Epoch: 0 [512/50048]	Loss: 4.6190
Training Epoch: 0 [640/50048]	Loss: 4.6401
Training Epoch: 0 [768/50048]	Loss: 4.6006
Training Epoch: 0 [896/50048]	Loss: 4.6328
Training Epoch: 0 [1024/50048]	Loss: 4.5964
Training Epoch: 0 [1152/50048]	Loss: 4.6299
Training Epoch: 0 [1280/50048]	Loss: 4.6523
Training Epoch: 0 [1408/50048]	Loss: 4.6645
Training Epoch: 0 [1536/50048]	Loss: 4.6270
Training Epoch: 0 [1664/50048]	Loss: 4.6095
Training Epoch: 0 [1792/50048]	Loss: 4.6477
Training Epoch: 0 [1920/50048]	Loss: 4.6633
Training Epoch: 0 [2048/50048]	Loss: 4.6387
Training Epoch: 0 [2176/50048]	Loss: 4.6428
Training Epoch: 0 [2304/50048]	Loss: 4.6035
Training Epoch: 0 [2432/50048]	Loss: 4.6230
Training Epoch: 0 [2560/50048]	Loss: 4.6002
Training Epoch: 0 [2688/50048]	Loss: 4.6161
Training Epoch: 0 [2816/50048]	Loss: 4.6157
Training Epoch: 0 [2944/50048]	Loss: 4.6151
Training Epoch: 0 [3072/50048]	Loss: 4.6173
Training Epoch: 0 [3200/50048]	Loss: 4.6274
Training Epoch: 0 [3328/50048]	Loss: 4.6016
Training Epoch: 0 [3456/50048]	Loss: 4.6258
Training Epoch: 0 [3584/50048]	Loss: 4.6138
Training Epoch: 0 [3712/50048]	Loss: 4.5896
Training Epoch: 0 [3840/50048]	Loss: 4.6350
Training Epoch: 0 [3968/50048]	Loss: 4.5884
Training Epoch: 0 [4096/50048]	Loss: 4.6060
Training Epoch: 0 [4224/50048]	Loss: 4.6272
Training Epoch: 0 [4352/50048]	Loss: 4.6228
Training Epoch: 0 [4480/50048]	Loss: 4.6068
Training Epoch: 0 [4608/50048]	Loss: 4.6493
Training Epoch: 0 [4736/50048]	Loss: 4.5960
Training Epoch: 0 [4864/50048]	Loss: 4.6092
Training Epoch: 0 [4992/50048]	Loss: 4.5927
Training Epoch: 0 [5120/50048]	Loss: 4.6263
Training Epoch: 0 [5248/50048]	Loss: 4.5848
Training Epoch: 0 [5376/50048]	Loss: 4.5951
Training Epoch: 0 [5504/50048]	Loss: 4.5952
Training Epoch: 0 [5632/50048]	Loss: 4.6198
