Time,Power
2022-11-02 20:54:38.942382333,84820
2022-11-02 20:54:39.044738838,82467
2022-11-02 20:54:39.147074636,81860
2022-11-02 20:54:39.249467859,81556
2022-11-02 20:54:39.351877700,85037
2022-11-02 20:54:39.454239625,127124
2022-11-02 20:54:39.556590048,145467
2022-11-02 20:54:39.658970353,150999
2022-11-02 20:54:39.761641620,156984
2022-11-02 20:54:39.864336546,158368
2022-11-02 20:54:39.966994958,157535
2022-11-02 20:54:40.068802564,145366
2022-11-02 20:54:40.171139919,149106
2022-11-02 20:54:40.273493677,153894
2022-11-02 20:54:40.375215998,155272
2022-11-02 20:54:40.476950459,157284
2022-11-02 20:54:40.578677489,159810
2022-11-02 20:54:40.680415450,159094
2022-11-02 20:54:40.782794216,150466
2022-11-02 20:54:40.885196960,149976
2022-11-02 20:54:40.986909271,154139
2022-11-02 20:54:41.088661767,156116
2022-11-02 20:54:41.190410793,158426
2022-11-02 20:54:41.292110096,159510
2022-11-02 20:54:41.393824938,159093
2022-11-02 20:54:41.496180439,153052
2022-11-02 20:54:41.598543134,147360
2022-11-02 20:54:41.700291209,153294
2022-11-02 20:54:41.802097033,154372
2022-11-02 20:54:41.903814966,157616
2022-11-02 20:54:42.005557270,158910
2022-11-02 20:54:42.107265219,159693
2022-11-02 20:54:42.209947349,157051
2022-11-02 20:54:42.312639128,146759
2022-11-02 20:54:42.415365995,152451
2022-11-02 20:54:42.521588903,157074
2022-11-02 20:54:42.624221148,159510
2022-11-02 20:54:42.726840641,157983
2022-11-02 20:54:42.829515416,156723
2022-11-02 20:54:42.932166762,147961
2022-11-02 20:54:43.034845813,152994
2022-11-02 20:54:43.137525619,154856
2022-11-02 20:54:43.240221033,156774
2022-11-02 20:54:43.342882567,160110
2022-11-02 20:54:43.445568049,158643
2022-11-02 20:54:43.547975439,157325
2022-11-02 20:54:43.650292326,148563
2022-11-02 20:54:43.752654837,152451
2022-11-02 20:54:43.854440109,155666
2022-11-02 20:54:43.956145731,156501
2022-11-02 20:54:44.057875602,158968
2022-11-02 20:54:44.159565182,159752
2022-11-02 20:54:44.261286739,158193
2022-11-02 20:54:44.363629543,145967
2022-11-02 20:54:44.466049974,151909
2022-11-02 20:54:44.567854811,156181
2022-11-02 20:54:44.669543584,156232
2022-11-02 20:54:44.771237393,159210
2022-11-02 20:54:44.872990423,159000
2022-11-02 20:54:44.974814388,159277
2022-11-02 20:54:45.077209178,142777
2022-11-02 20:54:45.179589139,149317
2022-11-02 20:54:45.281395522,154980
2022-11-02 20:54:45.383146346,155690
2022-11-02 20:54:45.484891666,158068
2022-11-02 20:54:45.586592265,158669
2022-11-02 20:54:45.688501460,158077
2022-11-02 20:54:45.791149730,144822
2022-11-02 20:54:45.893881595,150708
2022-11-02 20:54:45.996601133,155581
2022-11-02 20:54:46.099266671,156532
2022-11-02 20:54:46.201959357,159810
2022-11-02 20:54:46.304676853,158127
2022-11-02 20:54:46.407018491,158435
2022-11-02 20:54:46.509427809,144882
2022-11-02 20:54:46.611783698,150406
2022-11-02 20:54:46.713560135,155881
2022-11-02 20:54:46.815280062,154130
2022-11-02 20:54:46.917104204,158668
2022-11-02 20:54:47.018783782,159026
2022-11-02 20:54:47.121191267,159277
2022-11-02 20:54:47.223578232,145183
2022-11-02 20:54:47.325980014,150524
2022-11-02 20:54:47.427757536,154980
2022-11-02 20:54:47.529443192,154488
2022-11-02 20:54:47.631166709,157526
2022-11-02 20:54:47.737719744,157593
2022-11-02 20:54:47.840110269,143261
2022-11-02 20:54:47.942447961,147302
2022-11-02 20:54:48.044808232,153835
2022-11-02 20:54:48.146542558,154730
2022-11-02 20:54:48.248315555,158368
2022-11-02 20:54:48.349993028,159269
2022-11-02 20:54:48.451698674,160177
2022-11-02 20:54:48.554030749,145306
2022-11-02 20:54:48.656403578,149263
2022-11-02 20:54:48.758745868,154436
2022-11-02 20:54:48.860484118,154999
2022-11-02 20:54:48.962183021,158426
2022-11-02 20:54:49.063888501,158910
2022-11-02 20:54:49.165579972,158377
2022-11-02 20:54:49.267983317,145916
2022-11-02 20:54:49.370309203,149322
2022-11-02 20:54:49.472669548,154139
2022-11-02 20:54:49.574387698,154972
2022-11-02 20:54:49.676111698,157316
2022-11-02 20:54:49.777811056,159810
2022-11-02 20:54:49.879527123,159335
2022-11-02 20:54:49.981893718,149918
2022-11-02 20:54:50.084223291,149922
2022-11-02 20:54:50.186535046,153839
2022-11-02 20:54:50.288344530,155514
2022-11-02 20:54:50.390026096,158126
2022-11-02 20:54:50.491796486,159810
2022-11-02 20:54:50.593609697,159393
2022-11-02 20:54:50.696009767,153652
2022-11-02 20:54:50.798365815,148774
2022-11-02 20:54:50.900964361,153807
2022-11-02 20:54:51.002694152,154998
2022-11-02 20:54:51.104461777,157284
2022-11-02 20:54:51.206181522,159810
2022-11-02 20:54:51.307971646,159393
2022-11-02 20:54:51.410305518,156481
2022-11-02 20:54:51.512670058,148505
2022-11-02 20:54:51.614400129,153294
2022-11-02 20:54:51.716137844,155514
2022-11-02 20:54:51.817843889,157016
2022-11-02 20:54:51.919560109,160410
2022-11-02 20:54:52.021292383,158251
2022-11-02 20:54:52.123582053,155338
2022-11-02 20:54:52.225963995,145064
2022-11-02 20:54:52.328289314,149500
2022-11-02 20:54:52.430026579,152868
2022-11-02 20:54:52.531734808,155842
2022-11-02 20:54:52.633462205,160110
2022-11-02 20:54:52.735154633,158310
2022-11-02 20:54:52.837533938,156723
2022-11-02 20:54:52.939938060,147719
2022-11-02 20:54:53.041672434,152752
2022-11-02 20:54:53.143371860,156298
2022-11-02 20:54:53.245118685,156532
2022-11-02 20:54:53.346812776,159000
2022-11-02 20:54:53.448547764,159452
2022-11-02 20:54:53.555487238,146569
2022-11-02 20:54:53.657863180,152151
2022-11-02 20:54:53.759605898,155581
2022-11-02 20:54:53.861366278,156532
2022-11-02 20:54:53.963045707,159810
2022-11-02 20:54:54.064802137,158610
2022-11-02 20:54:54.166540604,159277
2022-11-02 20:54:54.268911265,145556
2022-11-02 20:54:54.371248891,151609
2022-11-02 20:54:54.473018194,156181
2022-11-02 20:54:54.574715823,155330
2022-11-02 20:54:54.676441157,159210
2022-11-02 20:54:54.778130841,159510
2022-11-02 20:54:54.879861268,159819
2022-11-02 20:54:54.982488207,145425
2022-11-02 20:54:55.085168382,151008
2022-11-02 20:54:55.187850564,155881
2022-11-02 20:54:55.290535133,156290
2022-11-02 20:54:55.393234063,158668
2022-11-02 20:54:55.495927857,157710
2022-11-02 20:54:55.598610621,158077
2022-11-02 20:54:55.701347481,144522
2022-11-02 20:54:55.804031148,150519
2022-11-02 20:54:55.906713308,155638
2022-11-02 20:54:56.009450489,156232
2022-11-02 20:54:56.112168440,159210
2022-11-02 20:54:56.214820197,158459
2022-11-02 20:54:56.317284704,158435
2022-11-02 20:54:56.419975075,143737
2022-11-02 20:54:56.522624910,150164
2022-11-02 20:54:56.625338393,154348
2022-11-02 20:54:56.728029205,154043
2022-11-02 20:54:56.830670030,158668
2022-11-02 20:54:56.933407355,159626
2022-11-02 20:54:57.035759053,158977
2022-11-02 20:54:57.138440008,145183
2022-11-02 20:54:57.241139452,150466
2022-11-02 20:54:57.343815321,154948
2022-11-02 20:54:57.446502274,154999
2022-11-02 20:54:57.549206097,158126
2022-11-02 20:54:57.651884471,160710
2022-11-02 20:54:57.754280639,157893
2022-11-02 20:54:57.856956554,143201
2022-11-02 20:54:57.959623768,148145
2022-11-02 20:54:58.062332675,154135
2022-11-02 20:54:58.165031388,154130
2022-11-02 20:54:58.271018082,158910
2022-11-02 20:54:58.373771276,159277
2022-11-02 20:54:58.476052242,145014
2022-11-02 20:54:58.578690073,148963
2022-11-02 20:54:58.681362777,154139
2022-11-02 20:54:58.784036526,154430
2022-11-02 20:54:58.886683518,157284
2022-11-02 20:54:58.989367147,159542
2022-11-02 20:54:59.092074144,158493
2022-11-02 20:54:59.193822704,147060
2022-11-02 20:54:59.296480330,149434
2022-11-02 20:54:59.399167491,153894
2022-11-02 20:54:59.501863332,155214
2022-11-02 20:54:59.604525426,158785
2022-11-02 20:54:59.707180028,160110
2022-11-02 20:54:59.809856468,159693
2022-11-02 20:54:59.911783323,151609
2022-11-02 20:55:00.014462407,148474
2022-11-02 20:55:00.117151874,153894
2022-11-02 20:55:00.219871364,154129
2022-11-02 20:55:00.321619244,157258
2022-11-02 20:55:00.423362003,159810
2022-11-02 20:55:00.525120345,159393
2022-11-02 20:55:00.627479890,157083
2022-11-02 20:55:00.730190561,148505
2022-11-02 20:55:00.832879862,153239
2022-11-02 20:55:00.935618687,154914
2022-11-02 20:55:01.038324605,156232
2022-11-02 20:55:01.141036060,159810
2022-11-02 20:55:01.243664117,159393
2022-11-02 20:55:01.346402683,155581
2022-11-02 20:55:01.449152570,145608
2022-11-02 20:55:01.551940987,150048
2022-11-02 20:55:01.654720669,153655
2022-11-02 20:55:01.757531387,156684
2022-11-02 20:55:01.860267924,159210
2022-11-02 20:55:01.963084598,157893
2022-11-02 20:55:02.064987917,156091
2022-11-02 20:55:02.167405814,146818
2022-11-02 20:55:02.269874157,151609
2022-11-02 20:55:02.371711061,154497
2022-11-02 20:55:02.473506711,155390
2022-11-02 20:55:02.575258721,158968
2022-11-02 20:55:02.677025317,159210
2022-11-02 20:55:02.779422302,158135
2022-11-02 20:55:02.885033399,151609
2022-11-02 20:55:02.987664413,155281
2022-11-02 20:55:03.089508869,156174
2022-11-02 20:55:03.191287557,158310
2022-11-02 20:55:03.293100022,159268
2022-11-02 20:55:03.394859739,160119
2022-11-02 20:55:03.496613398,143077
2022-11-02 20:55:03.599268098,150160
2022-11-02 20:55:03.701955404,155581
2022-11-02 20:55:03.804673920,155990
2022-11-02 20:55:03.907335339,158668
2022-11-02 20:55:04.010017680,158310
2022-11-02 20:55:04.112674330,157777
2022-11-02 20:55:04.215498743,144522
2022-11-02 20:55:04.318159981,150406
2022-11-02 20:55:04.420829155,155281
2022-11-02 20:55:04.523551268,156201
2022-11-02 20:55:04.626225976,159210
2022-11-02 20:55:04.728935519,158368
2022-11-02 20:55:04.831643633,158977
2022-11-02 20:55:04.934379023,145183
2022-11-02 20:55:05.037084907,150466
2022-11-02 20:55:05.139771253,155938
2022-11-02 20:55:05.242469372,154430
2022-11-02 20:55:05.345144562,158968
2022-11-02 20:55:05.447796313,159626
2022-11-02 20:55:05.550529463,159335
2022-11-02 20:55:05.652922866,143679
2022-11-02 20:55:05.755246293,149322
2022-11-02 20:55:05.857048126,154680
2022-11-02 20:55:05.958780633,155030
2022-11-02 20:55:06.060502107,158126
2022-11-02 20:55:06.162219610,160952
2022-11-02 20:55:06.263983355,157293
2022-11-02 20:55:06.366628357,141756
2022-11-02 20:55:06.469400616,147544
2022-11-02 20:55:06.572233696,153594
2022-11-02 20:55:06.674972020,153287
2022-11-02 20:55:06.777739262,157558
2022-11-02 20:55:06.880566983,158610
2022-11-02 20:55:06.983031707,158135
2022-11-02 20:55:07.085887005,145314
2022-11-02 20:55:07.188710748,149322
2022-11-02 20:55:07.291466009,154135
2022-11-02 20:55:07.398988128,158217
2022-11-02 20:55:07.501678392,159868
2022-11-02 20:55:07.604369072,158435
2022-11-02 20:55:07.706123461,148203
2022-11-02 20:55:07.808489568,149080
2022-11-02 20:55:07.910815876,154195
2022-11-02 20:55:08.012583953,155814
2022-11-02 20:55:08.114278274,158100
2022-11-02 20:55:08.216018340,159210
2022-11-02 20:55:08.317700321,159093
2022-11-02 20:55:08.419411241,153652
2022-11-02 20:55:08.521777305,147872
2022-11-02 20:55:08.624451848,153294
2022-11-02 20:55:08.727145614,154614
2022-11-02 20:55:08.828967546,157284
2022-11-02 20:55:08.930763095,158910
2022-11-02 20:55:09.032538443,159393
2022-11-02 20:55:09.134874524,156781
2022-11-02 20:55:09.237620834,148474
2022-11-02 20:55:09.340297188,153352
2022-11-02 20:55:09.442964749,155124
2022-11-02 20:55:09.545677345,157342
