Time,Power
2022-11-24 00:49:07.962633205,75398
2022-11-24 00:49:08.064344748,75188
2022-11-24 00:49:08.166095520,73627
2022-11-24 00:49:08.267831735,72890
2022-11-24 00:49:08.369568562,73796
2022-11-24 00:49:08.471290093,82080
2022-11-24 00:49:08.574069665,82742
2022-11-24 00:49:08.676307697,85119
2022-11-24 00:49:08.778206196,87740
2022-11-24 00:49:08.879925221,90483
2022-11-24 00:49:08.981605901,92115
2022-11-24 00:49:09.083242884,94612
2022-11-24 00:49:09.185536379,96587
2022-11-24 00:49:09.287269512,99713
2022-11-24 00:49:09.389011538,101165
2022-11-24 00:49:09.490670332,100862
2022-11-24 00:49:09.592358987,99654
2022-11-24 00:49:09.694589930,98124
2022-11-24 00:49:09.796968941,97974
2022-11-24 00:49:09.899271245,97754
2022-11-24 00:49:10.004836912,100728
2022-11-24 00:49:10.107132386,99822
2022-11-24 00:49:10.208941192,98579
2022-11-24 00:49:10.310659472,97974
2022-11-24 00:49:10.412888177,97731
2022-11-24 00:49:10.515111398,98033
2022-11-24 00:49:10.617012779,99762
2022-11-24 00:49:10.718725419,101575
2022-11-24 00:49:10.820399728,100970
2022-11-24 00:49:10.922089720,98552
2022-11-24 00:49:11.023737732,98854
2022-11-24 00:49:11.125444589,98057
2022-11-24 00:49:11.227159745,83390
2022-11-24 00:49:11.328929756,84609
2022-11-24 00:49:11.430587443,86900
2022-11-24 00:49:11.532274116,88689
2022-11-24 00:49:11.634004871,89425
2022-11-24 00:49:11.735644386,93768
2022-11-24 00:49:11.837348443,95085
2022-11-24 00:49:11.939161555,97599
2022-11-24 00:49:12.041402195,98938
2022-11-24 00:49:12.143623319,100057
2022-11-24 00:49:12.245380193,98307
2022-11-24 00:49:12.347075827,96828
2022-11-24 00:49:12.448759080,96768
2022-11-24 00:49:12.550445228,97927
2022-11-24 00:49:12.652107029,99676
2022-11-24 00:49:12.753814976,101122
2022-11-24 00:49:12.856000772,102619
2022-11-24 00:49:12.958269470,101938
2022-11-24 00:49:13.060330578,100426
2022-11-24 00:49:13.162038085,99520
2022-11-24 00:49:13.263714400,100150
2022-11-24 00:49:13.365462577,99847
2022-11-24 00:49:13.467173305,101333
2022-11-24 00:49:13.568880669,102483
2022-11-24 00:49:13.670571561,102758
2022-11-24 00:49:13.772294555,100643
2022-11-24 00:49:13.874520821,100365
2022-11-24 00:49:13.976328769,80402
2022-11-24 00:49:14.078038439,85385
2022-11-24 00:49:14.180209144,85267
2022-11-24 00:49:14.281937919,85715
2022-11-24 00:49:14.384041658,88596
2022-11-24 00:49:14.485776533,89612
2022-11-24 00:49:14.587447696,93450
2022-11-24 00:49:14.689156080,96444
2022-11-24 00:49:14.790837314,98043
2022-11-24 00:49:14.892529720,98583
2022-11-24 00:49:14.994732271,98021
2022-11-24 00:49:15.096978202,99148
2022-11-24 00:49:15.199213594,100005
2022-11-24 00:49:15.300939891,102290
2022-11-24 00:49:15.402596751,102560
2022-11-24 00:49:15.504271389,102045
2022-11-24 00:49:15.606602350,100480
2022-11-24 00:49:15.708271774,100970
2022-11-24 00:49:15.809991167,100668
2022-11-24 00:49:15.911682642,100123
2022-11-24 00:49:16.013381360,101031
2022-11-24 00:49:16.115066519,101636
2022-11-24 00:49:16.216858869,102846
2022-11-24 00:49:16.322889203,101852
2022-11-24 00:49:16.424706234,99217
2022-11-24 00:49:16.526953634,100064
2022-11-24 00:49:16.629306249,99217
2022-11-24 00:49:16.731648712,83434
2022-11-24 00:49:16.833425779,84599
2022-11-24 00:49:16.935634650,85582
2022-11-24 00:49:17.037911822,89237
2022-11-24 00:49:17.140222744,92447
2022-11-24 00:49:17.241963599,95968
2022-11-24 00:49:17.343633359,96475
2022-11-24 00:49:17.445307902,98355
2022-11-24 00:49:17.547035412,98086
2022-11-24 00:49:17.648776142,99199
