2022-11-23 19:49:05,794 [Zeus2DataLoader(train)] Power limit range: [175000, 150000, 125000, 100000]
2022-11-23 19:49:05,794 [Zeus2DataLoader(train)] Power profiling: ON
2022-11-23 19:49:07,818 [Zeus2DataLoader(train)] Up to epoch 0: time=0.00, energy=0.00, cost=0.00
2022-11-23 19:49:07,819 [Zeus2DataLoader(train)] Epoch 1 begin.
Files already downloaded and verified
Files already downloaded and verified
hello from epochs()!
0
2022-11-23 19:49:07,944 [Zeus2DataLoader(train)] [GPU_0] Zeus monitor started.
2022-11-24 00:49:07.945 [ZeusMonitor] Monitor started.
2022-11-24 00:49:07.946 [ZeusMonitor] Running indefinitely. 2022-11-24 00:49:07.946 [ZeusMonitor] Sleeping 100ms after each poll. 
2022-11-24 00:49:07.946 [ZeusMonitor] Logfile path: /workspace/zeus_logs/cifar100+shufflenetv2+bs1024+adam+lr0.001+tm0.5+me100+x1+eta0.5+beta2.0+2022112319471669250835/bs8+e1+gpu0.power.log
2022-11-23 19:49:07,950 [Zeus2DataLoader(train)] [GPU_0] Set GPU power limit to 175W.
2022-11-23 19:49:07,950 [Zeus2DataLoader(train)] Warm-up started with power limit 175W
2022-11-23 19:49:08,877 [Zeus2DataLoader(train)] Profile started with power limit 175W
2022-11-23 19:49:11,057 [Zeus2DataLoader(train)] Profile done with power limit 175W
2022-11-23 19:49:11,112 [Zeus2DataLoader(train)] [GPU_0] Set GPU power limit to 150W.
2022-11-23 19:49:11,112 [Zeus2DataLoader(train)] Warm-up started with power limit 150W
2022-11-23 19:49:11,691 [Zeus2DataLoader(train)] Profile started with power limit 150W
2022-11-23 19:49:13,850 [Zeus2DataLoader(train)] Profile done with power limit 150W
2022-11-23 19:49:13,906 [Zeus2DataLoader(train)] [GPU_0] Set GPU power limit to 125W.
2022-11-23 19:49:13,906 [Zeus2DataLoader(train)] Warm-up started with power limit 125W
2022-11-23 19:49:14,490 [Zeus2DataLoader(train)] Profile started with power limit 125W
2022-11-23 19:49:16,624 [Zeus2DataLoader(train)] Profile done with power limit 125W
2022-11-23 19:49:16,679 [Zeus2DataLoader(train)] [GPU_0] Set GPU power limit to 100W.
2022-11-23 19:49:16,680 [Zeus2DataLoader(train)] Warm-up started with power limit 100W
2022-11-23 19:49:17,245 [Zeus2DataLoader(train)] Profile started with power limit 100W
Training Epoch: 0 [8/50000]	Loss: 4.6229
Training Epoch: 0 [16/50000]	Loss: 4.6818
Training Epoch: 0 [24/50000]	Loss: 4.6157
Training Epoch: 0 [32/50000]	Loss: 4.5902
Training Epoch: 0 [40/50000]	Loss: 4.6397
Training Epoch: 0 [48/50000]	Loss: 4.6823
Training Epoch: 0 [56/50000]	Loss: 4.4936
Training Epoch: 0 [64/50000]	Loss: 4.5907
Training Epoch: 0 [72/50000]	Loss: 4.5740
Training Epoch: 0 [80/50000]	Loss: 4.6586
Training Epoch: 0 [88/50000]	Loss: 4.6915
Training Epoch: 0 [96/50000]	Loss: 4.8661
Training Epoch: 0 [104/50000]	Loss: 4.6615
Training Epoch: 0 [112/50000]	Loss: 4.6938
Training Epoch: 0 [120/50000]	Loss: 4.7001
Training Epoch: 0 [128/50000]	Loss: 4.7206
Training Epoch: 0 [136/50000]	Loss: 4.5339
Training Epoch: 0 [144/50000]	Loss: 4.5213
Training Epoch: 0 [152/50000]	Loss: 4.6792
Training Epoch: 0 [160/50000]	Loss: 4.7112
Training Epoch: 0 [168/50000]	Loss: 4.4547
Training Epoch: 0 [176/50000]	Loss: 4.5663
Training Epoch: 0 [184/50000]	Loss: 4.9074
Training Epoch: 0 [192/50000]	Loss: 4.7448
Training Epoch: 0 [200/50000]	Loss: 4.8028
Training Epoch: 0 [208/50000]	Loss: 4.6359
Training Epoch: 0 [216/50000]	Loss: 4.6596
Training Epoch: 0 [224/50000]	Loss: 4.6124
Training Epoch: 0 [232/50000]	Loss: 4.6531
Training Epoch: 0 [240/50000]	Loss: 4.6309
Training Epoch: 0 [248/50000]	Loss: 4.7079
Training Epoch: 0 [256/50000]	Loss: 4.5380
Training Epoch: 0 [264/50000]	Loss: 4.4854
Training Epoch: 0 [272/50000]	Loss: 4.6978
Training Epoch: 0 [280/50000]	Loss: 4.8172
Training Epoch: 0 [288/50000]	Loss: 4.7097
Training Epoch: 0 [296/50000]	Loss: 4.5875
Training Epoch: 0 [304/50000]	Loss: 4.6837
Training Epoch: 0 [312/50000]	Loss: 4.6074
Training Epoch: 0 [320/50000]	Loss: 4.8383
Training Epoch: 0 [328/50000]	Loss: 4.8266
Training Epoch: 0 [336/50000]	Loss: 4.7732
Training Epoch: 0 [344/50000]	Loss: 4.6551
Training Epoch: 0 [352/50000]	Loss: 4.7271
Training Epoch: 0 [360/50000]	Loss: 4.9550
Training Epoch: 0 [368/50000]	Loss: 4.4830
Training Epoch: 0 [376/50000]	Loss: 4.7202
Training Epoch: 0 [384/50000]	Loss: 4.6160
Training Epoch: 0 [392/50000]	Loss: 4.6839
Training Epoch: 0 [400/50000]	Loss: 4.5744
Training Epoch: 0 [408/50000]	Loss: 4.9521
Training Epoch: 0 [416/50000]	Loss: 4.5794
Training Epoch: 0 [424/50000]	Loss: 4.6477
Training Epoch: 0 [432/50000]	Loss: 4.6383
Training Epoch: 0 [440/50000]	Loss: 4.6836
Training Epoch: 0 [448/50000]	Loss: 4.4877
Training Epoch: 0 [456/50000]	Loss: 4.7846
Training Epoch: 0 [464/50000]	Loss: 4.6214
Training Epoch: 0 [472/50000]	Loss: 4.7331
Training Epoch: 0 [480/50000]	Loss: 4.5142
Training Epoch: 0 [488/50000]	Loss: 4.5103
Training Epoch: 0 [496/50000]	Loss: 4.5662
Training Epoch: 0 [504/50000]	Loss: 4.5507
Training Epoch: 0 [512/50000]	Loss: 4.7233
Training Epoch: 0 [520/50000]	Loss: 4.5817
Training Epoch: 0 [528/50000]	Loss: 4.8535
Training Epoch: 0 [536/50000]	Loss: 4.6707
Training Epoch: 0 [544/50000]	Loss: 4.7154
Training Epoch: 0 [552/50000]	Loss: 4.4571
Training Epoch: 0 [560/50000]	Loss: 5.0466
Training Epoch: 0 [568/50000]	Loss: 4.6521
Training Epoch: 0 [576/50000]	Loss: 4.6109
Training Epoch: 0 [584/50000]	Loss: 4.5365
Training Epoch: 0 [592/50000]	Loss: 4.5689
Training Epoch: 0 [600/50000]	Loss: 4.7560
Training Epoch: 0 [608/50000]	Loss: 4.6391
Training Epoch: 0 [616/50000]	Loss: 4.7876
Training Epoch: 0 [624/50000]	Loss: 4.9481
Training Epoch: 0 [632/50000]	Loss: 4.7045
Training Epoch: 0 [640/50000]	Loss: 4.5347
Training Epoch: 0 [648/50000]	Loss: 4.5663
Training Epoch: 0 [656/50000]	Loss: 4.5341
Training Epoch: 0 [664/50000]	Loss: 4.5395
Training Epoch: 0 [672/50000]	Loss: 4.6577
Training Epoch: 0 [680/50000]	Loss: 4.4159
Training Epoch: 0 [688/50000]	Loss: 4.5676
Training Epoch: 0 [696/50000]	Loss: 4.6400
Training Epoch: 0 [704/50000]	Loss: 4.8157
Training Epoch: 0 [712/50000]	Loss: 4.7951
Training Epoch: 0 [720/50000]	Loss: 4.7903
Training Epoch: 0 [728/50000]	Loss: 4.6233
Training Epoch: 0 [736/50000]	Loss: 4.5653
Training Epoch: 0 [744/50000]	Loss: 4.7323
Training Epoch: 0 [752/50000]	Loss: 4.4887
Training Epoch: 0 [760/50000]	Loss: 4.4468
Training Epoch: 0 [768/50000]	Loss: 4.6460
Training Epoch: 0 [776/50000]	Loss: 4.4312
Training Epoch: 0 [784/50000]	Loss: 4.4871
Training Epoch: 0 [792/50000]	Loss: 4.4713
Training Epoch: 0 [800/50000]	Loss: 4.6444
Training Epoch: 0 [808/50000]	Loss: 4.7165
Training Epoch: 0 [816/50000]	Loss: 4.6103
Training Epoch: 0 [824/50000]	Loss: 4.6256
Training Epoch: 0 [832/50000]	Loss: 4.5883
Training Epoch: 0 [840/50000]	Loss: 4.7534
Training Epoch: 0 [848/50000]	Loss: 4.4845
Training Epoch: 0 [856/50000]	Loss: 4.7263
Training Epoch: 0 [864/50000]	Loss: 4.7919
Training Epoch: 0 [872/50000]	Loss: 4.4670
Training Epoch: 0 [880/50000]	Loss: 4.5225
Training Epoch: 0 [888/50000]	Loss: 4.4588
Training Epoch: 0 [896/50000]	Loss: 4.5546
Training Epoch: 0 [904/50000]	Loss: 4.7021
Training Epoch: 0 [912/50000]	Loss: 4.5523
Training Epoch: 0 [920/50000]	Loss: 4.8540
Training Epoch: 0 [928/50000]	Loss: 4.5645
Training Epoch: 0 [936/50000]	Loss: 4.5300
Training Epoch: 0 [944/50000]	Loss: 4.4872
Training Epoch: 0 [952/50000]	Loss: 4.5015
Training Epoch: 0 [960/50000]	Loss: 4.6383
Training Epoch: 0 [968/50000]	Loss: 4.5734
Training Epoch: 0 [976/50000]	Loss: 4.7571
Training Epoch: 0 [984/50000]	Loss: 4.4093
Training Epoch: 0 [992/50000]	Loss: 4.5945
Training Epoch: 0 [1000/50000]	Loss: 4.6876
Training Epoch: 0 [1008/50000]	Loss: 4.8467
Training Epoch: 0 [1016/50000]	Loss: 4.6157
Training Epoch: 0 [1024/50000]	Loss: 4.7009
Training Epoch: 0 [1032/50000]	Loss: 4.6206
Training Epoch: 0 [1040/50000]	Loss: 4.7018
Training Epoch: 0 [1048/50000]	Loss: 4.5656
Training Epoch: 0 [1056/50000]	Loss: 4.5453
Training Epoch: 0 [1064/50000]	Loss: 4.7235
