Time,Power
2022-12-03 06:03:41.249251027,59487
2022-12-03 06:03:41.351657262,87066
2022-12-03 06:03:41.453518365,109831
2022-12-03 06:03:41.555301029,116086
2022-12-03 06:03:41.657085516,121298
2022-12-03 06:03:41.758865263,116857
2022-12-03 06:03:41.860587554,122981
2022-12-03 06:03:41.962398001,113438
2022-12-03 06:03:42.064179115,124065
2022-12-03 06:03:42.166616414,122104
2022-12-03 06:03:42.268463418,123298
2022-12-03 06:03:42.370994259,122448
2022-12-03 06:03:42.472900275,124036
2022-12-03 06:03:42.574763290,122748
2022-12-03 06:03:42.676560792,121500
2022-12-03 06:03:42.778439407,123349
2022-12-03 06:03:42.880214354,119443
2022-12-03 06:03:42.982016976,122930
2022-12-03 06:03:43.083804419,118358
2022-12-03 06:03:43.185538792,122680
2022-12-03 06:03:43.287326728,115034
2022-12-03 06:03:43.389134289,123370
2022-12-03 06:03:43.491770503,120997
2022-12-03 06:03:43.594562365,122864
2022-12-03 06:03:43.697373768,123401
2022-12-03 06:03:43.800265314,123949
2022-12-03 06:03:43.902751054,123099
2022-12-03 06:03:44.004619356,121935
2022-12-03 06:03:44.107013238,122799
2022-12-03 06:03:44.208801293,119443
2022-12-03 06:03:44.310637247,123186
2022-12-03 06:03:44.412465399,116646
2022-12-03 06:03:44.514265584,123677
2022-12-03 06:03:44.616003570,115380
2022-12-03 06:03:44.717818806,122814
2022-12-03 06:03:44.820578912,122198
2022-12-03 06:03:44.924491966,123465
2022-12-03 06:03:45.026364457,122954
2022-12-03 06:03:45.128226301,123136
2022-12-03 06:03:45.235048863,120644
2022-12-03 06:03:45.336870094,122704
2022-12-03 06:03:45.439595218,118889
2022-12-03 06:03:45.542375916,122981
2022-12-03 06:03:45.644696391,115862
2022-12-03 06:03:45.746585434,122374
2022-12-03 06:03:45.848339951,114594
2022-12-03 06:03:45.951168347,122470
2022-12-03 06:03:46.053574445,122748
2022-12-03 06:03:46.156284444,122397
2022-12-03 06:03:46.258766985,122748
2022-12-03 06:03:46.361590824,123480
2022-12-03 06:03:46.464414723,123349
2022-12-03 06:03:46.566329909,122191
2022-12-03 06:03:46.668062052,122448
2022-12-03 06:03:46.769876322,117548
2022-12-03 06:03:46.872637135,122680
2022-12-03 06:03:46.975384273,115818
2022-12-03 06:03:47.078138384,124367
2022-12-03 06:03:47.180761731,118386
2022-12-03 06:03:47.283457518,124014
2022-12-03 06:03:47.385357447,123305
2022-12-03 06:03:47.487192064,122698
2022-12-03 06:03:47.588996302,122448
2022-12-03 06:03:47.691775171,122279
2022-12-03 06:03:47.793963368,122148
2022-12-03 06:03:47.895769361,120946
2022-12-03 06:03:47.997607198,122404
2022-12-03 06:03:48.099368913,118058
2022-12-03 06:03:48.201119556,122374
2022-12-03 06:03:48.302906230,114315
2022-12-03 06:03:48.404682630,122286
2022-12-03 06:03:48.507382067,118594
2022-12-03 06:03:48.610215097,121913
2022-12-03 06:03:48.712947412,122448
2022-12-03 06:03:48.815799473,122748
2022-12-03 06:03:48.918315964,122748
2022-12-03 06:03:49.021181289,123436
2022-12-03 06:03:49.123614525,122748
2022-12-03 06:03:49.225451181,118886
2022-12-03 06:03:49.327266621,122148
2022-12-03 06:03:49.430096691,118105
2022-12-03 06:03:49.532977626,123581
2022-12-03 06:03:49.635843055,115034
2022-12-03 06:03:49.738570425,123164
2022-12-03 06:03:49.841433581,120397
2022-12-03 06:03:49.947761297,122704
2022-12-03 06:03:50.049527722,121497
2022-12-03 06:03:50.151296672,122448
2022-12-03 06:03:50.254038266,121200
2022-12-03 06:03:50.356810925,123099
2022-12-03 06:03:50.459516344,121338
2022-12-03 06:03:50.562384005,122748
2022-12-03 06:03:50.665030072,118358
2022-12-03 06:03:50.767825957,122630
2022-12-03 06:03:50.870295461,114734
2022-12-03 06:03:50.972155169,124014
2022-12-03 06:03:51.073992733,120441
2022-12-03 06:03:51.176684992,122170
