Time,Power
2022-11-01 18:51:14.962714510,58874
2022-11-01 18:51:15.065166491,58874
2022-11-01 18:51:15.167635838,58865
2022-11-01 18:51:15.270260335,58874
2022-11-01 18:51:15.372729735,58874
2022-11-01 18:51:15.475220966,58874
2022-11-01 18:51:15.577690696,58874
2022-11-01 18:51:15.680144299,58874
2022-11-01 18:51:15.782582545,58874
2022-11-01 18:51:15.885008768,58865
2022-11-01 18:51:15.987426792,58874
2022-11-01 18:51:16.089865950,58874
2022-11-01 18:51:16.192272537,58874
2022-11-01 18:51:16.294675870,58874
2022-11-01 18:51:16.397075795,58865
2022-11-01 18:51:16.499478201,58874
2022-11-01 18:51:16.601860468,58821
2022-11-01 18:51:16.703785469,62876
2022-11-01 18:51:16.806609041,84688
2022-11-01 18:51:16.909437456,97205
2022-11-01 18:51:17.012140771,102303
2022-11-01 18:51:17.114951717,109053
2022-11-01 18:51:17.217794920,115544
2022-11-01 18:51:17.320586747,126335
2022-11-01 18:51:17.423386275,133888
2022-11-01 18:51:17.526112847,141504
2022-11-01 18:51:17.628525041,142890
2022-11-01 18:51:17.731250228,131229
2022-11-01 18:51:17.834019760,136261
2022-11-01 18:51:17.936853934,145958
2022-11-01 18:51:18.042589386,154426
2022-11-01 18:51:18.146313381,150115
2022-11-01 18:51:18.248096824,145715
2022-11-01 18:51:18.349915554,144394
2022-11-01 18:51:18.451690807,140785
2022-11-01 18:51:18.554075894,126874
2022-11-01 18:51:18.656430694,136261
2022-11-01 18:51:18.758995629,145356
2022-11-01 18:51:18.861420077,149570
2022-11-01 18:51:18.963818272,154495
2022-11-01 18:51:19.065652298,149264
2022-11-01 18:51:19.167449685,146090
2022-11-01 18:51:19.269298865,144394
2022-11-01 18:51:19.371116553,141085
2022-11-01 18:51:19.473932991,125018
2022-11-01 18:51:19.576702026,135159
2022-11-01 18:51:19.679539403,145774
2022-11-01 18:51:19.782359801,150884
2022-11-01 18:51:19.885120703,152574
2022-11-01 18:51:19.987913872,151068
2022-11-01 18:51:20.090783235,148244
2022-11-01 18:51:20.193615694,144394
2022-11-01 18:51:20.296112770,141443
2022-11-01 18:51:20.398985434,128418
2022-11-01 18:51:20.501727312,135761
2022-11-01 18:51:20.604460912,145834
2022-11-01 18:51:20.707272604,155393
2022-11-01 18:51:20.810115016,153175
2022-11-01 18:51:20.912964672,147710
2022-11-01 18:51:21.015668856,146199
2022-11-01 18:51:21.118432886,143493
2022-11-01 18:51:21.220788472,139862
2022-11-01 18:51:21.326169645,130206
2022-11-01 18:51:21.428980405,139817
2022-11-01 18:51:21.531690269,147110
2022-11-01 18:51:21.634428968,154677
2022-11-01 18:51:21.737271457,155761
2022-11-01 18:51:21.840077313,146016
2022-11-01 18:51:21.942904713,143249
2022-11-01 18:51:22.045646899,139335
2022-11-01 18:51:22.148408571,137949
2022-11-01 18:51:22.254543866,143069
2022-11-01 18:51:22.357359139,147160
2022-11-01 18:51:22.460831350,155628
2022-11-01 18:51:22.563212743,154495
2022-11-01 18:51:22.665014597,144813
2022-11-01 18:51:22.766882577,144211
2022-11-01 18:51:22.868670155,143192
2022-11-01 18:51:22.970437444,139335
2022-11-01 18:51:23.072799363,129302
2022-11-01 18:51:23.175162066,141622
2022-11-01 18:51:23.277647177,146258
2022-11-01 18:51:23.380024422,154127
2022-11-01 18:51:23.482835824,154011
2022-11-01 18:51:23.584651250,148061
2022-11-01 18:51:23.686450240,143910
2022-11-01 18:51:23.788237928,145297
2022-11-01 18:51:23.890026090,142590
2022-11-01 18:51:23.992431848,130458
2022-11-01 18:51:24.094890289,141980
2022-11-01 18:51:24.197314747,147410
2022-11-01 18:51:24.299675898,155211
2022-11-01 18:51:24.401464060,153294
2022-11-01 18:51:24.503256822,148545
2022-11-01 18:51:24.604967702,145297
2022-11-01 18:51:24.706748208,141688
2022-11-01 18:51:24.809150794,140539
2022-11-01 18:51:24.911486130,132699
2022-11-01 18:51:25.013938205,143727
2022-11-01 18:51:25.116260757,148311
2022-11-01 18:51:25.218731377,155027
2022-11-01 18:51:25.320506818,152456
2022-11-01 18:51:25.422446837,148134
2022-11-01 18:51:25.524233754,148428
2022-11-01 18:51:25.626124429,142590
2022-11-01 18:51:25.728537201,138055
2022-11-01 18:51:25.831237093,132749
2022-11-01 18:51:25.934034517,142658
2022-11-01 18:51:26.036716370,148913
2022-11-01 18:51:26.139470760,154311
2022-11-01 18:51:26.242186743,150466
2022-11-01 18:51:26.345215191,144211
2022-11-01 18:51:26.447938505,146023
2022-11-01 18:51:26.550600880,140239
2022-11-01 18:51:26.652419213,138250
2022-11-01 18:51:26.754824150,133351
2022-11-01 18:51:26.857299319,145356
2022-11-01 18:51:26.959767755,148663
2022-11-01 18:51:27.062550553,156112
2022-11-01 18:51:27.169165569,148845
2022-11-01 18:51:27.271857183,148495
2022-11-01 18:51:27.374615015,143249
2022-11-01 18:51:27.476503476,131362
2022-11-01 18:51:27.579062264,133954
2022-11-01 18:51:27.681558641,144931
2022-11-01 18:51:27.784286831,148913
2022-11-01 18:51:27.887069116,154076
2022-11-01 18:51:27.989825467,149753
2022-11-01 18:51:28.092594688,146318
2022-11-01 18:51:28.195340468,145840
2022-11-01 18:51:28.298220074,142289
2022-11-01 18:51:28.400649187,128214
2022-11-01 18:51:28.503441202,132749
2022-11-01 18:51:28.606230219,143184
2022-11-01 18:51:28.708978043,149815
2022-11-01 18:51:28.811759164,153475
2022-11-01 18:51:28.914492080,149865
2022-11-01 18:51:29.017392512,147043
2022-11-01 18:51:29.120248718,144695
2022-11-01 18:51:29.223082406,141035
2022-11-01 18:51:29.325576585,126827
2022-11-01 18:51:29.428029130,136561
2022-11-01 18:51:29.530541541,145958
2022-11-01 18:51:29.632978353,151669
2022-11-01 18:51:29.735829019,155395
2022-11-01 18:51:29.838695214,149564
2022-11-01 18:51:29.941466131,147343
2022-11-01 18:51:30.044217455,145481
2022-11-01 18:51:30.146720504,141988
2022-11-01 18:51:30.249434641,125923
2022-11-01 18:51:30.352247817,136615
2022-11-01 18:51:30.455049252,146809
2022-11-01 18:51:30.557904108,150884
2022-11-01 18:51:30.660644883,153775
2022-11-01 18:51:30.763498187,148913
2022-11-01 18:51:30.866225964,146742
2022-11-01 18:51:30.969096831,144695
2022-11-01 18:51:31.070999817,140892
2022-11-01 18:51:31.173755817,128517
2022-11-01 18:51:31.281145922,146559
2022-11-01 18:51:31.387389270,154127
2022-11-01 18:51:31.489813333,151972
2022-11-01 18:51:31.591617870,148311
2022-11-01 18:51:31.693483178,146802
2022-11-01 18:51:31.795192750,144695
2022-11-01 18:51:31.897076051,140959
2022-11-01 18:51:31.999482523,129119
2022-11-01 18:51:32.103481299,137766
2022-11-01 18:51:32.205979054,147460
2022-11-01 18:51:32.308384117,155027
2022-11-01 18:51:32.410775964,155460
2022-11-01 18:51:32.512627612,146559
2022-11-01 18:51:32.614508611,143793
2022-11-01 18:51:32.716250973,139755
2022-11-01 18:51:32.818104470,139399
2022-11-01 18:51:32.920484212,129603
2022-11-01 18:51:33.022935399,141922
2022-11-01 18:51:33.125432752,148061
2022-11-01 18:51:33.227749814,156528
2022-11-01 18:51:33.329574755,155995
2022-11-01 18:51:33.431396559,146318
2022-11-01 18:51:33.533244034,143743
2022-11-01 18:51:33.635031670,141142
2022-11-01 18:51:33.736897962,137949
2022-11-01 18:51:33.839321017,129603
2022-11-01 18:51:33.941667989,141321
2022-11-01 18:51:34.044126893,147110
2022-11-01 18:51:34.146501061,156528
2022-11-01 18:51:34.248298622,156295
2022-11-01 18:51:34.350111551,146016
2022-11-01 18:51:34.451904119,142708
2022-11-01 18:51:34.557063010,139990
2022-11-01 18:51:34.659483036,137452
2022-11-01 18:51:34.762026687,129001
2022-11-01 18:51:34.864511260,143126
2022-11-01 18:51:34.966942567,147710
2022-11-01 18:51:35.069367781,155928
2022-11-01 18:51:35.171152138,155761
2022-11-01 18:51:35.272966408,145908
2022-11-01 18:51:35.374698244,142760
2022-11-01 18:51:35.476539068,140484
2022-11-01 18:51:35.578366698,138786
2022-11-01 18:51:35.680769055,129001
2022-11-01 18:51:35.783223357,141922
2022-11-01 18:51:35.885665924,146258
2022-11-01 18:51:35.988006057,154727
2022-11-01 18:51:36.094590525,146509
2022-11-01 18:51:36.196797630,142406
2022-11-01 18:51:36.298609420,141744
2022-11-01 18:51:36.400373166,139582
2022-11-01 18:51:36.503117645,128096
2022-11-01 18:51:36.605887355,141622
2022-11-01 18:51:36.708693011,146859
2022-11-01 18:51:36.811426610,155027
2022-11-01 18:51:36.913280842,155395
2022-11-01 18:51:37.015050800,146509
2022-11-01 18:51:37.116821325,142406
2022-11-01 18:51:37.218615766,140840
2022-11-01 18:51:37.320374922,138132
2022-11-01 18:51:37.423102048,126335
2022-11-01 18:51:37.525907834,141321
2022-11-01 18:51:37.628698819,146258
2022-11-01 18:51:37.731478272,155027
2022-11-01 18:51:37.834228058,155095
2022-11-01 18:51:37.936939498,146016
2022-11-01 18:51:38.039700067,142406
2022-11-01 18:51:38.142572667,141387
2022-11-01 18:51:38.248202844,138930
2022-11-01 18:51:38.350765026,129505
2022-11-01 18:51:38.453210760,142525
2022-11-01 18:51:38.555615212,148011
2022-11-01 18:51:38.657997470,155443
2022-11-01 18:51:38.759781707,155095
2022-11-01 18:51:38.861597351,146559
2022-11-01 18:51:38.963284563,141805
2022-11-01 18:51:39.065163944,142890
2022-11-01 18:51:39.166958994,140591
2022-11-01 18:51:39.269648198,129001
2022-11-01 18:51:39.372435074,142932
2022-11-01 18:51:39.475242804,148061
