Time,Power
2022-12-03 20:59:51.999534131,67738
2022-12-03 20:59:52.102099559,66978
2022-12-03 20:59:52.203950884,104328
2022-12-03 20:59:52.306489127,121544
2022-12-03 20:59:52.408337081,128194
2022-12-03 20:59:52.510820566,132253
2022-12-03 20:59:52.612723827,127259
2022-12-03 20:59:52.714520905,131971
2022-12-03 20:59:52.816358318,123665
2022-12-03 20:59:52.918236639,131250
2022-12-03 20:59:53.020053517,127240
2022-12-03 20:59:53.121942251,131736
2022-12-03 20:59:53.224463146,131367
2022-12-03 20:59:53.326353146,131263
2022-12-03 20:59:53.428190228,131312
2022-12-03 20:59:53.533742739,131971
2022-12-03 20:59:53.635575074,126538
2022-12-03 20:59:53.737456731,132155
2022-12-03 20:59:53.839794750,124453
2022-12-03 20:59:53.941680580,133060
2022-12-03 20:59:54.043496705,125803
2022-12-03 20:59:54.145363389,132339
2022-12-03 20:59:54.247171456,131367
2022-12-03 20:59:54.348991804,131618
2022-12-03 20:59:54.450794473,132272
2022-12-03 20:59:54.552595531,130410
2022-12-03 20:59:54.654441777,132574
2022-12-03 20:59:54.757153931,129255
2022-12-03 20:59:54.859890464,132272
2022-12-03 20:59:54.961791863,124407
2022-12-03 20:59:55.064581916,131853
2022-12-03 20:59:55.166501793,124293
2022-12-03 20:59:55.269287869,132641
2022-12-03 20:59:55.371133699,131367
2022-12-03 20:59:55.472989191,131564
2022-12-03 20:59:55.574799202,131312
2022-12-03 20:59:55.676636509,133915
2022-12-03 20:59:55.778455157,132574
2022-12-03 20:59:55.881213301,126487
2022-12-03 20:59:55.983944163,130709
2022-12-03 20:59:56.086760717,123547
2022-12-03 20:59:56.189603110,132758
2022-12-03 20:59:56.292376415,124596
2022-12-03 20:59:56.395155992,132888
2022-12-03 20:59:56.497694991,132574
2022-12-03 20:59:56.600488181,131865
2022-12-03 20:59:56.702342551,131971
2022-12-03 20:59:56.805086209,130896
2022-12-03 20:59:56.907546033,131367
2022-12-03 20:59:57.009415877,128349
2022-12-03 20:59:57.111268764,131669
2022-12-03 20:59:57.213124856,125012
2022-12-03 20:59:57.314981994,131853
2022-12-03 20:59:57.416821093,122575
2022-12-03 20:59:57.518625969,133546
2022-12-03 20:59:57.620447530,131971
2022-12-03 20:59:57.722315071,131865
2022-12-03 20:59:57.824854452,131367
2022-12-03 20:59:57.926705873,131801
2022-12-03 20:59:58.028906067,131971
2022-12-03 20:59:58.130769592,127444
2022-12-03 20:59:58.233273959,131367
2022-12-03 20:59:58.335124911,126052
2022-12-03 20:59:58.437254860,131853
2022-12-03 20:59:58.539071185,121667
2022-12-03 20:59:58.640968643,132943
2022-12-03 20:59:58.742793401,131367
2022-12-03 20:59:58.848066088,132272
2022-12-03 20:59:58.950101916,131315
2022-12-03 20:59:59.051923282,131367
2022-12-03 20:59:59.154381759,129807
2022-12-03 20:59:59.256217972,132574
2022-12-03 20:59:59.358675278,126958
2022-12-03 20:59:59.460527129,133060
2022-12-03 20:59:59.562974596,123917
2022-12-03 20:59:59.664848268,132100
2022-12-03 20:59:59.766659710,127745
2022-12-03 20:59:59.869460190,132595
2022-12-03 20:59:59.971911554,132272
2022-12-03 21:00:00.073798268,133429
2022-12-03 21:00:00.175597409,132574
2022-12-03 21:00:00.278511865,129807
2022-12-03 21:00:00.381300325,131916
2022-12-03 21:00:00.483753032,126353
2022-12-03 21:00:00.585626320,132272
2022-12-03 21:00:00.687444511,122410
2022-12-03 21:00:00.790231186,132155
2022-12-03 21:00:00.892060501,128401
2022-12-03 21:00:00.994811308,132339
2022-12-03 21:00:01.097234212,132272
2022-12-03 21:00:01.200011626,131572
2022-12-03 21:00:01.302468383,131971
2022-12-03 21:00:01.404306552,129453
2022-12-03 21:00:01.506207847,131916
2022-12-03 21:00:01.608159694,127863
2022-12-03 21:00:01.710049736,133005
2022-12-03 21:00:01.812916023,122966
2022-12-03 21:00:01.915769284,132155
2022-12-03 21:00:02.017754146,127745
2022-12-03 21:00:02.120747847,132293
2022-12-03 21:00:02.223498441,131872
2022-12-03 21:00:02.326424158,133081
2022-12-03 21:00:02.428974150,132519
2022-12-03 21:00:02.530840467,132779
2022-12-03 21:00:02.632730328,133424
2022-12-03 21:00:02.734597513,126307
2022-12-03 21:00:02.836474533,132054
2022-12-03 21:00:02.939284893,122847
2022-12-03 21:00:03.042159863,132402
2022-12-03 21:00:03.145012715,127194
2022-12-03 21:00:03.247778340,133244
2022-12-03 21:00:03.350678251,131971
2022-12-03 21:00:03.453457860,133730
2022-12-03 21:00:03.555890146,131916
2022-12-03 21:00:03.661719964,132876
2022-12-03 21:00:03.764137259,127863
2022-12-03 21:00:03.866004488,133005
2022-12-03 21:00:03.968482013,124962
2022-12-03 21:00:04.070366023,133060
2022-12-03 21:00:04.172199290,127012
2022-12-03 21:00:04.274098149,132943
2022-12-03 21:00:04.375953992,132272
2022-12-03 21:00:04.477858379,132469
2022-12-03 21:00:04.579685582,131916
2022-12-03 21:00:04.681572557,132708
2022-12-03 21:00:04.783396840,132820
2022-12-03 21:00:04.885914506,128349
2022-12-03 21:00:04.987840732,131927
2022-12-03 21:00:05.090189032,123753
2022-12-03 21:00:05.192985726,132758
2022-12-03 21:00:05.294864441,125200
2022-12-03 21:00:05.397704555,133244
2022-12-03 21:00:05.499600776,131669
2022-12-03 21:00:05.602435295,132222
2022-12-03 21:00:05.704949746,131614
2022-12-03 21:00:05.806856360,130240
2022-12-03 21:00:05.908805648,131916
2022-12-03 21:00:06.011603503,126353
2022-12-03 21:00:06.114372109,132155
2022-12-03 21:00:06.216857320,123802
2022-12-03 21:00:06.318714794,131853
2022-12-03 21:00:06.420544648,125502
2022-12-03 21:00:06.522404204,131983
2022-12-03 21:00:06.624213258,131312
2022-12-03 21:00:06.726101210,132477
2022-12-03 21:00:06.827922864,132574
2022-12-03 21:00:06.929816768,131446
2022-12-03 21:00:07.031968729,131614
2022-12-03 21:00:07.133841939,129203
2022-12-03 21:00:07.235677630,132758
2022-12-03 21:00:07.337555636,123753
2022-12-03 21:00:07.439378792,131798
2022-12-03 21:00:07.541255390,123431
2022-12-03 21:00:07.643063114,133244
2022-12-03 21:00:07.745512748,131872
2022-12-03 21:00:07.847348068,131263
2022-12-03 21:00:07.949857118,131011
2022-12-03 21:00:08.051724305,132058
2022-12-03 21:00:08.154184454,132272
2022-12-03 21:00:08.256023502,127444
2022-12-03 21:00:08.358428228,131971
2022-12-03 21:00:08.461214719,126353
2022-12-03 21:00:08.563644451,131505
2022-12-03 21:00:08.665544714,123135
2022-12-03 21:00:08.767385940,131681
2022-12-03 21:00:08.869241225,131614
2022-12-03 21:00:08.971051627,131618
2022-12-03 21:00:09.076467144,133915
2022-12-03 21:00:09.179219889,131971
2022-12-03 21:00:09.281094853,128048
2022-12-03 21:00:09.382891003,131065
2022-12-03 21:00:09.485278961,125008
2022-12-03 21:00:09.587120913,132457
2022-12-03 21:00:09.688977481,122272
2022-12-03 21:00:09.791713143,131078
2022-12-03 21:00:09.893634485,131971
2022-12-03 21:00:09.995489634,133429
2022-12-03 21:00:10.097321076,131669
2022-12-03 21:00:10.199161496,132351
2022-12-03 21:00:10.300977004,131916
2022-12-03 21:00:10.402782784,129859
2022-12-03 21:00:10.504634708,132574
2022-12-03 21:00:10.607084855,125146
2022-12-03 21:00:10.709899854,133060
2022-12-03 21:00:10.811761180,121926
2022-12-03 21:00:10.913650956,131681
2022-12-03 21:00:11.016143236,131971
2022-12-03 21:00:11.118058915,133072
2022-12-03 21:00:11.220385684,132272
2022-12-03 21:00:11.323196536,132104
2022-12-03 21:00:11.425688979,131614
2022-12-03 21:00:11.527581372,129255
2022-12-03 21:00:11.629421528,132272
2022-12-03 21:00:11.732096248,125012
2022-12-03 21:00:11.834890934,131551
2022-12-03 21:00:11.937381853,122712
2022-12-03 21:00:12.039264516,132284
2022-12-03 21:00:12.141723637,131065
2022-12-03 21:00:12.243585618,134032
2022-12-03 21:00:12.346081725,132876
2022-12-03 21:00:12.447933735,132104
2022-12-03 21:00:12.550453137,132272
2022-12-03 21:00:12.652295990,132275
2022-12-03 21:00:12.754387720,133480
2022-12-03 21:00:12.856214514,127562
2022-12-03 21:00:12.958058345,132758
2022-12-03 21:00:13.059925110,123871
2022-12-03 21:00:13.161772453,131853
2022-12-03 21:00:13.263589684,128100
2022-12-03 21:00:13.365447874,132037
2022-12-03 21:00:13.467865508,131916
2022-12-03 21:00:13.569761766,133977
2022-12-03 21:00:13.672175072,133122
2022-12-03 21:00:13.775025168,131014
2022-12-03 21:00:13.876925620,132876
2022-12-03 21:00:13.979635763,127745
2022-12-03 21:00:14.081584145,132457
2022-12-03 21:00:14.184365101,122664
2022-12-03 21:00:14.290985327,126710
2022-12-03 21:00:14.392849497,131736
2022-12-03 21:00:14.494656216,131971
2022-12-03 21:00:14.596500278,131919
2022-12-03 21:00:14.698341606,132574
2022-12-03 21:00:14.801085023,129807
2022-12-03 21:00:14.903818688,131669
2022-12-03 21:00:15.006572986,126958
2022-12-03 21:00:15.109467270,132758
2022-12-03 21:00:15.211664835,123498
2022-12-03 21:00:15.314447984,131798
2022-12-03 21:00:15.416879709,125546
2022-12-03 21:00:15.519652860,132641
2022-12-03 21:00:15.622070803,131971
2022-12-03 21:00:15.724838263,133429
2022-12-03 21:00:15.827262116,132876
2022-12-03 21:00:15.929104739,133311
2022-12-03 21:00:16.030908724,132272
2022-12-03 21:00:16.133703845,127393
2022-12-03 21:00:16.236415976,131669
2022-12-03 21:00:16.339157016,124357
2022-12-03 21:00:16.441943779,131853
2022-12-03 21:00:16.544671770,124036
2022-12-03 21:00:16.647489931,132586
2022-12-03 21:00:16.749378233,131916
2022-12-03 21:00:16.851181914,132222
2022-12-03 21:00:16.952974490,132272
2022-12-03 21:00:17.055723359,130713
2022-12-03 21:00:17.157698250,132272
2022-12-03 21:00:17.259497258,129558
2022-12-03 21:00:17.361325900,132574
2022-12-03 21:00:17.463112904,125566
2022-12-03 21:00:17.564949905,132457
2022-12-03 21:00:17.666797737,123086
2022-12-03 21:00:17.768619495,131736
2022-12-03 21:00:17.871019951,132272
2022-12-03 21:00:17.972842729,134334
2022-12-03 21:00:18.075272779,132876
2022-12-03 21:00:18.177130218,133613
2022-12-03 21:00:18.279632862,132574
2022-12-03 21:00:18.381535232,130464
2022-12-03 21:00:18.483895644,132876
2022-12-03 21:00:18.586756760,126656
2022-12-03 21:00:18.689299611,133663
2022-12-03 21:00:18.792047816,123316
2022-12-03 21:00:18.894911121,133848
2022-12-03 21:00:18.997757303,130764
2022-12-03 21:00:19.105046559,131916
2022-12-03 21:00:19.207882188,131618
2022-12-03 21:00:19.310734894,131669
2022-12-03 21:00:19.413549613,131199
2022-12-03 21:00:19.516313523,131916
2022-12-03 21:00:19.619154353,128652
2022-12-03 21:00:19.722010519,133362
2022-12-03 21:00:19.824458065,124706
2022-12-03 21:00:19.926282162,133362
2022-12-03 21:00:20.028718906,126150
2022-12-03 21:00:20.130526979,132641
2022-12-03 21:00:20.232970729,131971
2022-12-03 21:00:20.334846968,131919
2022-12-03 21:00:20.436633512,132272
2022-12-03 21:00:20.538394813,131145
2022-12-03 21:00:20.640198789,131312
2022-12-03 21:00:20.742084911,127694
2022-12-03 21:00:20.843868639,131312
2022-12-03 21:00:20.946295665,124660
2022-12-03 21:00:21.048163985,132457
2022-12-03 21:00:21.150651341,123387
2022-12-03 21:00:21.252525480,133546
2022-12-03 21:00:21.354979643,131916
2022-12-03 21:00:21.456813874,132523
2022-12-03 21:00:21.559273886,132272
2022-12-03 21:00:21.661116016,134518
2022-12-03 21:00:21.762935669,132272
2022-12-03 21:00:21.865727606,127694
2022-12-03 21:00:21.967568502,131367
2022-12-03 21:00:22.069983901,124843
2022-12-03 21:00:22.171800141,132100
2022-12-03 21:00:22.274370120,121970
2022-12-03 21:00:22.376232412,132943
2022-12-03 21:00:22.478696209,131971
2022-12-03 21:00:22.580532850,131315
2022-12-03 21:00:22.682389111,131971
2022-12-03 21:00:22.785170278,133613
2022-12-03 21:00:22.887055216,131614
2022-12-03 21:00:22.989825852,128048
2022-12-03 21:00:23.091651611,131971
2022-12-03 21:00:23.193554866,125008
2022-12-03 21:00:23.295390447,132457
2022-12-03 21:00:23.397294608,123130
2022-12-03 21:00:23.499096645,133244
2022-12-03 21:00:23.600986383,131669
2022-12-03 21:00:23.702798644,132523
2022-12-03 21:00:23.805291620,131971
2022-12-03 21:00:23.907132685,133613
2022-12-03 21:00:24.009593915,132574
2022-12-03 21:00:24.112383597,131974
2022-12-03 21:00:24.218521177,126052
2022-12-03 21:00:24.320399485,132155
2022-12-03 21:00:24.422760005,123362
2022-12-03 21:00:24.525560720,131195
2022-12-03 21:00:24.627955180,128047
2022-12-03 21:00:24.730811691,132167
2022-12-03 21:00:24.833303403,131312
2022-12-03 21:00:24.935166461,132825
2022-12-03 21:00:25.036977926,132876
2022-12-03 21:00:25.138795114,132523
2022-12-03 21:00:25.240615603,132876
2022-12-03 21:00:25.343346422,128954
2022-12-03 21:00:25.446108859,133060
2022-12-03 21:00:25.548899910,125058
2022-12-03 21:00:25.651654243,133362
2022-12-03 21:00:25.754081105,124941
2022-12-03 21:00:25.855947139,132037
2022-12-03 21:00:25.958301293,131367
2022-12-03 21:00:26.061079132,132523
2022-12-03 21:00:26.163454858,132272
2022-12-03 21:00:26.266282408,131446
2022-12-03 21:00:26.368783465,131312
2022-12-03 21:00:26.471548491,126487
2022-12-03 21:00:26.574353224,131367
