2022-12-03 15:17:47,763 [ZeusDataLoader(train)] Distributed data parallel: OFF
2022-12-03 15:17:47,805 [ZeusDataLoader(train)] Power limit range: [175000, 150000, 125000, 100000]
2022-12-03 15:17:47,806 [ZeusDataLoader(train)] Power profiling: ON
2022-12-03 15:17:50,408 [ZeusDataLoader(train)] Up to epoch 0: time=0.00, energy=0.00, cost=0.00
2022-12-03 15:17:50,409 [ZeusDataLoader(train)] Epoch 1 begin.
Files already downloaded and verified
Files already downloaded and verified
2022-12-03 15:17:50,637 [ZeusDataLoader(train)] [GPU_0] Zeus monitor started.
2022-12-03 20:17:50.641 [ZeusMonitor] Monitor started.
2022-12-03 20:17:50.642 [ZeusMonitor] Running indefinitely. 2022-12-03 20:17:50.642 [ZeusMonitor] Sleeping 100ms after each poll. 
2022-12-03 20:17:50.642 [ZeusMonitor] Logfile path: /workspace/zeus_logs/cifar100+shufflenetv2+bs1024+adam+lr0.001+tm0.8+me100+x100+eta0.5+beta2.0+2022120315171670098664/bs128+e1+gpu0.power.log
2022-12-03 15:17:50,714 [ZeusDataLoader(train)] [GPU_0] Set GPU power limit to 175W.
2022-12-03 15:17:50,714 [ZeusDataLoader(train)] Warm-up started with power limit 175W
2022-12-03 15:17:53,607 [ZeusDataLoader(train)] Profile started with power limit 175W
2022-12-03 15:18:02,377 [ZeusDataLoader(train)] Profile done with power limit 175W
2022-12-03 15:18:02,600 [ZeusDataLoader(train)] [GPU_0] Set GPU power limit to 150W.
2022-12-03 15:18:02,600 [ZeusDataLoader(train)] Warm-up started with power limit 150W
2022-12-03 15:18:04,915 [ZeusDataLoader(train)] Profile started with power limit 150W
2022-12-03 15:18:13,692 [ZeusDataLoader(train)] Profile done with power limit 150W
2022-12-03 15:18:13,914 [ZeusDataLoader(train)] [GPU_0] Set GPU power limit to 125W.
2022-12-03 15:18:13,914 [ZeusDataLoader(train)] Warm-up started with power limit 125W
2022-12-03 15:18:16,251 [ZeusDataLoader(train)] Profile started with power limit 125W
2022-12-03 15:18:25,250 [ZeusDataLoader(train)] Profile done with power limit 125W
2022-12-03 15:18:25,473 [ZeusDataLoader(train)] [GPU_0] Set GPU power limit to 100W.
2022-12-03 15:18:25,474 [ZeusDataLoader(train)] Warm-up started with power limit 100W
2022-12-03 15:18:28,164 [ZeusDataLoader(train)] Profile started with power limit 100W
Training Epoch: 0 [128/50048]	Loss: 4.6415
Training Epoch: 0 [256/50048]	Loss: 4.8469
Training Epoch: 0 [384/50048]	Loss: 4.9083
Training Epoch: 0 [512/50048]	Loss: 4.7365
Training Epoch: 0 [640/50048]	Loss: 4.9005
Training Epoch: 0 [768/50048]	Loss: 4.8264
Training Epoch: 0 [896/50048]	Loss: 4.9238
Training Epoch: 0 [1024/50048]	Loss: 4.7821
Training Epoch: 0 [1152/50048]	Loss: 4.8964
Training Epoch: 0 [1280/50048]	Loss: 4.8101
Training Epoch: 0 [1408/50048]	Loss: 4.7955
Training Epoch: 0 [1536/50048]	Loss: 4.6479
Training Epoch: 0 [1664/50048]	Loss: 4.9230
Training Epoch: 0 [1792/50048]	Loss: 4.7212
Training Epoch: 0 [1920/50048]	Loss: 4.8288
Training Epoch: 0 [2048/50048]	Loss: 4.6512
Training Epoch: 0 [2176/50048]	Loss: 4.9128
Training Epoch: 0 [2304/50048]	Loss: 4.7924
Training Epoch: 0 [2432/50048]	Loss: 4.6664
Training Epoch: 0 [2560/50048]	Loss: 4.6530
Training Epoch: 0 [2688/50048]	Loss: 4.7526
Training Epoch: 0 [2816/50048]	Loss: 4.6753
Training Epoch: 0 [2944/50048]	Loss: 4.6191
Training Epoch: 0 [3072/50048]	Loss: 4.6838
Training Epoch: 0 [3200/50048]	Loss: 4.7663
Training Epoch: 0 [3328/50048]	Loss: 4.6463
Training Epoch: 0 [3456/50048]	Loss: 4.6510
Training Epoch: 0 [3584/50048]	Loss: 4.5827
Training Epoch: 0 [3712/50048]	Loss: 4.6196
Training Epoch: 0 [3840/50048]	Loss: 4.5138
Training Epoch: 0 [3968/50048]	Loss: 4.6094
Training Epoch: 0 [4096/50048]	Loss: 4.7275
Training Epoch: 0 [4224/50048]	Loss: 4.6374
Training Epoch: 0 [4352/50048]	Loss: 4.5715
Training Epoch: 0 [4480/50048]	Loss: 4.4780
Training Epoch: 0 [4608/50048]	Loss: 4.5072
Training Epoch: 0 [4736/50048]	Loss: 4.5439
Training Epoch: 0 [4864/50048]	Loss: 4.4863
Training Epoch: 0 [4992/50048]	Loss: 4.5660
Training Epoch: 0 [5120/50048]	Loss: 4.4664
Training Epoch: 0 [5248/50048]	Loss: 4.4214
Training Epoch: 0 [5376/50048]	Loss: 4.3911
Training Epoch: 0 [5504/50048]	Loss: 4.3855
Training Epoch: 0 [5632/50048]	Loss: 4.4268
