2022-12-03 17:47:56,777 [ZeusDataLoader(train)] Distributed data parallel: OFF
2022-12-03 17:47:56,818 [ZeusDataLoader(train)] Power limit range: [175000, 150000, 125000, 100000]
2022-12-03 17:47:56,819 [ZeusDataLoader(train)] Power profiling: OFF
2022-12-03 17:47:56,819 [ZeusDataLoader(train)] Loaded /workspace/zeus_logs/cifar100+shufflenetv2+bs1024+adam+lr0.001+tm0.8+me100+x100+eta0.5+beta2.0+2022120315171670098664/bs128+dr0.3.power.json: {'job_id': 'rec00+try01', 'train_power': {'175000': 128.7114632095464, '150000': 129.0903198276856, '125000': 122.14751317057538, '100000': 98.52768040107193}, 'train_throughput': {'175000': 4.569441891941347, '150000': 4.560482884012167, '125000': 4.447955440044087, '100000': 3.7653759644070846}, 'eval_power': {'175000': 129.05193511768522}, 'eval_throughput': {'175000': 21.23484361556091}, 'optimal_pl': 175000}
2022-12-03 17:47:56,819 [ZeusDataLoader(train)] Steady state power limit: OPT 175W
2022-12-03 17:47:56,823 [ZeusDataLoader(train)] [GPU_0] Set GPU power limit to 175W.
2022-12-03 17:47:58,872 [ZeusDataLoader(train)] Up to epoch 0: time=0.00, energy=0.00, cost=0.00
2022-12-03 17:47:58,872 [ZeusDataLoader(train)] Epoch 1 begin.
Files already downloaded and verified
Files already downloaded and verified
2022-12-03 17:47:59,117 [ZeusDataLoader(train)] [GPU_0] Zeus monitor started.
2022-12-03 17:47:59,118 [ZeusDataLoader(train)] Steady state power limit: OPT 175W
2022-12-03 22:47:59.120 [ZeusMonitor] Monitor started.
2022-12-03 22:47:59.120 [ZeusMonitor] Running indefinitely. 2022-12-03 22:47:59.120 [ZeusMonitor] Sleeping 100ms after each poll. 
2022-12-03 22:47:59.120 [ZeusMonitor] Logfile path: /workspace/zeus_logs/cifar100+shufflenetv2+bs1024+adam+lr0.001+tm0.8+me100+x100+eta0.5+beta2.0+2022120315171670098664/bs128+e1+gpu0.power.log
Training Epoch: 0 [128/50048]	Loss: 4.6415
Training Epoch: 0 [256/50048]	Loss: 4.8469
Training Epoch: 0 [384/50048]	Loss: 4.9079
Training Epoch: 0 [512/50048]	Loss: 4.7387
Training Epoch: 0 [640/50048]	Loss: 4.9237
Training Epoch: 0 [768/50048]	Loss: 4.8391
Training Epoch: 0 [896/50048]	Loss: 4.9119
Training Epoch: 0 [1024/50048]	Loss: 4.7867
Training Epoch: 0 [1152/50048]	Loss: 4.8988
Training Epoch: 0 [1280/50048]	Loss: 4.8090
Training Epoch: 0 [1408/50048]	Loss: 4.7800
Training Epoch: 0 [1536/50048]	Loss: 4.6401
Training Epoch: 0 [1664/50048]	Loss: 4.8786
Training Epoch: 0 [1792/50048]	Loss: 4.7454
Training Epoch: 0 [1920/50048]	Loss: 4.8291
Training Epoch: 0 [2048/50048]	Loss: 4.6701
Training Epoch: 0 [2176/50048]	Loss: 4.9174
Training Epoch: 0 [2304/50048]	Loss: 4.8345
Training Epoch: 0 [2432/50048]	Loss: 4.6762
Training Epoch: 0 [2560/50048]	Loss: 4.6156
Training Epoch: 0 [2688/50048]	Loss: 4.6715
Training Epoch: 0 [2816/50048]	Loss: 4.8374
Training Epoch: 0 [2944/50048]	Loss: 4.5950
Training Epoch: 0 [3072/50048]	Loss: 4.6705
Training Epoch: 0 [3200/50048]	Loss: 4.7912
Training Epoch: 0 [3328/50048]	Loss: 4.6594
Training Epoch: 0 [3456/50048]	Loss: 4.6211
Training Epoch: 0 [3584/50048]	Loss: 4.5707
Training Epoch: 0 [3712/50048]	Loss: 4.6172
Training Epoch: 0 [3840/50048]	Loss: 4.5734
Training Epoch: 0 [3968/50048]	Loss: 4.6646
Training Epoch: 0 [4096/50048]	Loss: 4.6890
Training Epoch: 0 [4224/50048]	Loss: 4.6100
Training Epoch: 0 [4352/50048]	Loss: 4.5602
Training Epoch: 0 [4480/50048]	Loss: 4.4841
Training Epoch: 0 [4608/50048]	Loss: 4.4976
Training Epoch: 0 [4736/50048]	Loss: 4.5230
Training Epoch: 0 [4864/50048]	Loss: 4.4597
Training Epoch: 0 [4992/50048]	Loss: 4.5534
Training Epoch: 0 [5120/50048]	Loss: 4.4884
Training Epoch: 0 [5248/50048]	Loss: 4.4290
Training Epoch: 0 [5376/50048]	Loss: 4.4113
Training Epoch: 0 [5504/50048]	Loss: 4.4041
Training Epoch: 0 [5632/50048]	Loss: 4.4741
Training Epoch: 0 [5760/50048]	Loss: 4.5123
Training Epoch: 0 [5888/50048]	Loss: 4.4605
Training Epoch: 0 [6016/50048]	Loss: 4.2443
Training Epoch: 0 [6144/50048]	Loss: 4.0987
Training Epoch: 0 [6272/50048]	Loss: 4.6017
Training Epoch: 0 [6400/50048]	Loss: 4.2791
Training Epoch: 0 [6528/50048]	Loss: 4.3125
Training Epoch: 0 [6656/50048]	Loss: 4.4639
Training Epoch: 0 [6784/50048]	Loss: 4.3268
Training Epoch: 0 [6912/50048]	Loss: 4.4167
Training Epoch: 0 [7040/50048]	Loss: 4.2262
Training Epoch: 0 [7168/50048]	Loss: 4.2904
Training Epoch: 0 [7296/50048]	Loss: 4.3278
Training Epoch: 0 [7424/50048]	Loss: 4.2896
Training Epoch: 0 [7552/50048]	Loss: 4.2676
Training Epoch: 0 [7680/50048]	Loss: 4.4047
Training Epoch: 0 [7808/50048]	Loss: 4.3031
Training Epoch: 0 [7936/50048]	Loss: 4.2962
Training Epoch: 0 [8064/50048]	Loss: 4.1961
Training Epoch: 0 [8192/50048]	Loss: 4.2170
Training Epoch: 0 [8320/50048]	Loss: 4.3181
Training Epoch: 0 [8448/50048]	Loss: 4.2722
Training Epoch: 0 [8576/50048]	Loss: 4.1255
Training Epoch: 0 [8704/50048]	Loss: 4.3046
Training Epoch: 0 [8832/50048]	Loss: 4.1457
Training Epoch: 0 [8960/50048]	Loss: 4.3197
Training Epoch: 0 [9088/50048]	Loss: 4.2677
Training Epoch: 0 [9216/50048]	Loss: 4.3033
Training Epoch: 0 [9344/50048]	Loss: 4.2025
Training Epoch: 0 [9472/50048]	Loss: 4.2480
Training Epoch: 0 [9600/50048]	Loss: 4.1081
Training Epoch: 0 [9728/50048]	Loss: 4.3372
Training Epoch: 0 [9856/50048]	Loss: 4.2097
Training Epoch: 0 [9984/50048]	Loss: 4.2596
Training Epoch: 0 [10112/50048]	Loss: 4.2743
Training Epoch: 0 [10240/50048]	Loss: 4.2927
Training Epoch: 0 [10368/50048]	Loss: 4.1545
Training Epoch: 0 [10496/50048]	Loss: 4.2003
Training Epoch: 0 [10624/50048]	Loss: 4.2364
Training Epoch: 0 [10752/50048]	Loss: 4.1694
Training Epoch: 0 [10880/50048]	Loss: 4.2134
Training Epoch: 0 [11008/50048]	Loss: 4.0759
Training Epoch: 0 [11136/50048]	Loss: 4.4039
Training Epoch: 0 [11264/50048]	Loss: 4.2512
Training Epoch: 0 [11392/50048]	Loss: 4.2191
Training Epoch: 0 [11520/50048]	Loss: 4.1275
Training Epoch: 0 [11648/50048]	Loss: 4.1071
Training Epoch: 0 [11776/50048]	Loss: 4.1241
Training Epoch: 0 [11904/50048]	Loss: 4.2516
Training Epoch: 0 [12032/50048]	Loss: 4.1828
Training Epoch: 0 [12160/50048]	Loss: 4.2418
Training Epoch: 0 [12288/50048]	Loss: 4.0683
Training Epoch: 0 [12416/50048]	Loss: 4.2250
Training Epoch: 0 [12544/50048]	Loss: 4.1201
Training Epoch: 0 [12672/50048]	Loss: 4.1537
Training Epoch: 0 [12800/50048]	Loss: 4.0735
Training Epoch: 0 [12928/50048]	Loss: 4.0313
Training Epoch: 0 [13056/50048]	Loss: 4.0436
Training Epoch: 0 [13184/50048]	Loss: 4.2264
Training Epoch: 0 [13312/50048]	Loss: 4.1812
Training Epoch: 0 [13440/50048]	Loss: 4.1328
Training Epoch: 0 [13568/50048]	Loss: 4.1393
Training Epoch: 0 [13696/50048]	Loss: 3.9211
Training Epoch: 0 [13824/50048]	Loss: 4.2604
Training Epoch: 0 [13952/50048]	Loss: 4.1215
Training Epoch: 0 [14080/50048]	Loss: 4.0320
Training Epoch: 0 [14208/50048]	Loss: 4.2550
Training Epoch: 0 [14336/50048]	Loss: 4.1085
Training Epoch: 0 [14464/50048]	Loss: 4.1256
Training Epoch: 0 [14592/50048]	Loss: 4.0611
Training Epoch: 0 [14720/50048]	Loss: 4.0289
Training Epoch: 0 [14848/50048]	Loss: 3.8880
Training Epoch: 0 [14976/50048]	Loss: 4.1639
Training Epoch: 0 [15104/50048]	Loss: 4.0211
Training Epoch: 0 [15232/50048]	Loss: 4.1637
Training Epoch: 0 [15360/50048]	Loss: 4.2391
Training Epoch: 0 [15488/50048]	Loss: 4.0768
Training Epoch: 0 [15616/50048]	Loss: 4.0881
Training Epoch: 0 [15744/50048]	Loss: 4.0742
Training Epoch: 0 [15872/50048]	Loss: 4.1539
Training Epoch: 0 [16000/50048]	Loss: 4.0496
Training Epoch: 0 [16128/50048]	Loss: 4.0801
Training Epoch: 0 [16256/50048]	Loss: 4.0501
Training Epoch: 0 [16384/50048]	Loss: 3.9033
Training Epoch: 0 [16512/50048]	Loss: 4.0490
Training Epoch: 0 [16640/50048]	Loss: 3.9496
Training Epoch: 0 [16768/50048]	Loss: 3.8091
Training Epoch: 0 [16896/50048]	Loss: 4.1385
Training Epoch: 0 [17024/50048]	Loss: 4.0140
Training Epoch: 0 [17152/50048]	Loss: 4.1231
Training Epoch: 0 [17280/50048]	Loss: 4.2776
Training Epoch: 0 [17408/50048]	Loss: 4.1037
Training Epoch: 0 [17536/50048]	Loss: 4.0239
Training Epoch: 0 [17664/50048]	Loss: 3.8997
Training Epoch: 0 [17792/50048]	Loss: 4.0942
Training Epoch: 0 [17920/50048]	Loss: 4.1559
