Time,Power
2022-12-04 04:03:03.051493225,68755
2022-12-04 04:03:03.153450578,67082
2022-12-04 04:03:03.256292105,109707
2022-12-04 04:03:03.358208488,122633
2022-12-04 04:03:03.461002878,128572
2022-12-04 04:03:03.563654742,130363
2022-12-04 04:03:03.666535865,129708
2022-12-04 04:03:03.769019711,131570
2022-12-04 04:03:03.871808075,126692
2022-12-04 04:03:03.974274780,131451
2022-12-04 04:03:04.077148384,122500
2022-12-04 04:03:04.182660639,124801
2022-12-04 04:03:04.285536203,131581
2022-12-04 04:03:04.388074718,130912
2022-12-04 04:03:04.490914054,133273
2022-12-04 04:03:04.593744151,132118
2022-12-04 04:03:04.696494264,134718
2022-12-04 04:03:04.799360348,132475
2022-12-04 04:03:04.902177210,129157
2022-12-04 04:03:05.005251897,131872
2022-12-04 04:03:05.107978877,126257
2022-12-04 04:03:05.210819934,132356
2022-12-04 04:03:05.313374723,121576
2022-12-04 04:03:05.415227642,131937
2022-12-04 04:03:05.517120828,130665
2022-12-04 04:03:05.619895900,132540
2022-12-04 04:03:05.722395011,131872
2022-12-04 04:03:05.825190031,132305
2022-12-04 04:03:05.927691038,132173
2022-12-04 04:03:06.030674028,130613
2022-12-04 04:03:06.133478315,131872
2022-12-04 04:03:06.236222215,125050
2022-12-04 04:03:06.339090169,131752
2022-12-04 04:03:06.441876347,123219
2022-12-04 04:03:06.544667979,132356
2022-12-04 04:03:06.647494487,129157
2022-12-04 04:03:06.750293123,133143
2022-12-04 04:03:06.852818688,132173
2022-12-04 04:03:06.955632654,131163
2022-12-04 04:03:07.058070963,131570
2022-12-04 04:03:07.160921218,131819
2022-12-04 04:03:07.263288475,132118
2022-12-04 04:03:07.366182467,127465
2022-12-04 04:03:07.468678061,132959
2022-12-04 04:03:07.571534198,124564
2022-12-04 04:03:07.674395239,132054
2022-12-04 04:03:07.777257288,124545
2022-12-04 04:03:07.880094939,131581
2022-12-04 04:03:07.982941096,131570
2022-12-04 04:03:08.085766716,131819
2022-12-04 04:03:08.188505953,131268
2022-12-04 04:03:08.294016889,131213
2022-12-04 04:03:08.396912213,129761
2022-12-04 04:03:08.499686275,131872
2022-12-04 04:03:08.602115665,125469
2022-12-04 04:03:08.704934854,132356
2022-12-04 04:03:08.807326601,122386
2022-12-04 04:03:08.910177431,132356
2022-12-04 04:03:09.012560171,130611
2022-12-04 04:03:09.115529049,133445
2022-12-04 04:03:09.218119051,131872
2022-12-04 04:03:09.321053788,132004
2022-12-04 04:03:09.423915360,131570
2022-12-04 04:03:09.525802379,128201
2022-12-04 04:03:09.627641791,130967
2022-12-04 04:03:09.729863974,125955
2022-12-04 04:03:09.831762715,131697
2022-12-04 04:03:09.933661993,121757
2022-12-04 04:03:10.036425486,131149
2022-12-04 04:03:10.138881535,128252
2022-12-04 04:03:10.241689046,130978
2022-12-04 04:03:10.343612569,131268
2022-12-04 04:03:10.445547511,130258
2022-12-04 04:03:10.547881569,130912
2022-12-04 04:03:10.649795904,130009
