Time,Power
2022-12-09 01:09:11.776483304,79863
2022-12-09 01:09:11.878847466,77789
2022-12-09 01:09:11.981254296,76952
2022-12-09 01:09:12.083667458,76655
2022-12-09 01:09:12.186118597,76356
2022-12-09 01:09:12.288566282,76356
2022-12-09 01:09:12.390911649,76356
2022-12-09 01:09:12.496571236,76356
2022-12-09 01:09:12.598953663,111537
2022-12-09 01:09:12.701327180,143247
2022-12-09 01:09:12.803628452,153466
2022-12-09 01:09:12.905965124,162495
2022-12-09 01:09:13.008252960,162497
2022-12-09 01:09:13.110580715,159799
2022-12-09 01:09:13.212940036,161688
2022-12-09 01:09:13.315628308,151944
2022-12-09 01:09:13.418176917,146839
2022-12-09 01:09:13.520593187,138853
2022-12-09 01:09:13.622913930,153350
2022-12-09 01:09:13.725272041,157947
2022-12-09 01:09:13.827600872,164376
2022-12-09 01:09:13.930383683,163673
2022-12-09 01:09:14.033029869,160094
2022-12-09 01:09:14.135565818,160688
2022-12-09 01:09:14.238303017,153122
2022-12-09 01:09:14.340719983,140705
2022-12-09 01:09:14.443434083,145289
2022-12-09 01:09:14.546102467,155297
2022-12-09 01:09:14.648781964,158500
2022-12-09 01:09:14.751355768,166083
2022-12-09 01:09:14.854065291,164499
2022-12-09 01:09:14.956719402,160155
2022-12-09 01:09:15.059232356,156597
2022-12-09 01:09:15.161315194,150820
2022-12-09 01:09:15.263612074,134186
2022-12-09 01:09:15.366051611,143223
2022-12-09 01:09:15.468476714,153825
2022-12-09 01:09:15.570966969,158297
2022-12-09 01:09:15.673366425,165200
2022-12-09 01:09:15.775075810,163323
2022-12-09 01:09:15.876769304,159566
2022-12-09 01:09:15.978490447,157481
2022-12-09 01:09:16.080184890,153416
2022-12-09 01:09:16.182736779,135855
2022-12-09 01:09:16.285470940,144353
2022-12-09 01:09:16.388070429,156591
2022-12-09 01:09:16.490793996,162732
2022-12-09 01:09:16.592668821,162913
2022-12-09 01:09:16.694454998,160739
2022-12-09 01:09:16.796135901,156327
2022-12-09 01:09:16.897863065,154537
2022-12-09 01:09:17.000506674,150880
2022-12-09 01:09:17.103118735,139532
2022-12-09 01:09:17.209256694,155853
2022-12-09 01:09:17.315635551,164164
2022-12-09 01:09:17.418267116,165872
2022-12-09 01:09:17.520913800,159562
2022-12-09 01:09:17.623643614,155797
2022-12-09 01:09:17.726453707,153359
2022-12-09 01:09:17.829142252,149051
2022-12-09 01:09:17.931747098,140271
2022-12-09 01:09:18.034379661,148986
2022-12-09 01:09:18.136944748,152968
2022-12-09 01:09:18.239481225,161199
2022-12-09 01:09:18.342074318,163143
2022-12-09 01:09:18.444751087,160681
2022-12-09 01:09:18.547351453,157978
2022-12-09 01:09:18.650076278,155331
2022-12-09 01:09:18.751931901,151411
2022-12-09 01:09:18.854251890,141108
2022-12-09 01:09:18.956685901,153205
2022-12-09 01:09:19.059090256,158148
2022-12-09 01:09:19.161372571,165161
2022-12-09 01:09:19.263134077,164556
2022-12-09 01:09:19.364811780,159505
2022-12-09 01:09:19.466452719,161451
2022-12-09 01:09:19.568205415,153416
2022-12-09 01:09:19.670010801,141993
2022-12-09 01:09:19.772455982,142583
2022-12-09 01:09:19.874926603,153237
2022-12-09 01:09:19.977360652,157621
2022-12-09 01:09:20.079684855,164867
2022-12-09 01:09:20.181443778,163967
2022-12-09 01:09:20.283152195,159799
2022-12-09 01:09:20.384924912,158567
2022-12-09 01:09:20.486661853,153711
2022-12-09 01:09:20.588442506,137038
2022-12-09 01:09:20.690670386,142878
2022-12-09 01:09:20.793352232,152115
2022-12-09 01:09:20.896106930,158851
2022-12-09 01:09:20.998866547,166253
2022-12-09 01:09:21.101596067,164204
2022-12-09 01:09:21.204226060,160094
2022-12-09 01:09:21.306875511,157446
2022-12-09 01:09:21.409179385,152532
2022-12-09 01:09:21.511532755,140092
2022-12-09 01:09:21.613862306,144295
2022-12-09 01:09:21.716183212,155265
2022-12-09 01:09:21.823526382,163994
2022-12-09 01:09:21.925332975,160444
2022-12-09 01:09:22.027104204,159449
2022-12-09 01:09:22.128939746,155420
2022-12-09 01:09:22.230630819,150822
2022-12-09 01:09:22.333218084,138853
2022-12-09 01:09:22.435876243,152524
2022-12-09 01:09:22.538308649,156737
2022-12-09 01:09:22.640674929,164489
2022-12-09 01:09:22.742947642,165701
2022-12-09 01:09:22.844673166,158447
2022-12-09 01:09:22.946394210,153825
2022-12-09 01:09:23.048100823,152532
2022-12-09 01:09:23.149954891,150471
2022-12-09 01:09:23.252578368,141403
