Time,Power
2022-12-06 15:51:46.147038948,77620
2022-12-06 15:51:46.249190468,69974
2022-12-06 15:51:46.351348812,66662
2022-12-06 15:51:46.453588033,65927
2022-12-06 15:51:46.555795049,65494
2022-12-06 15:51:46.657979545,65355
2022-12-06 15:51:46.760524632,65507
2022-12-06 15:51:46.862730607,65370
2022-12-06 15:51:46.964995175,99028
2022-12-06 15:51:47.067183363,128153
2022-12-06 15:51:47.169414248,138349
2022-12-06 15:51:47.271947031,148498
2022-12-06 15:51:47.374449712,151285
2022-12-06 15:51:47.476756965,149320
2022-12-06 15:51:47.579346814,150958
2022-12-06 15:51:47.681920467,143874
2022-12-06 15:51:47.784209383,135107
2022-12-06 15:51:47.886421099,133323
2022-12-06 15:51:47.988737010,140702
2022-12-06 15:51:48.091031009,142724
2022-12-06 15:51:48.193585373,149145
2022-12-06 15:51:48.296118443,150811
2022-12-06 15:51:48.398608494,149623
2022-12-06 15:51:48.501147504,149804
2022-12-06 15:51:48.603258743,145709
2022-12-06 15:51:48.705791622,132599
2022-12-06 15:51:48.808399245,136297
2022-12-06 15:51:48.913757924,147774
2022-12-06 15:51:49.016288133,150333
2022-12-06 15:51:49.118819136,149920
2022-12-06 15:51:49.221321479,150101
2022-12-06 15:51:49.323885314,146600
2022-12-06 15:51:49.426394923,142441
2022-12-06 15:51:49.529031846,133323
2022-12-06 15:51:49.631575402,140404
2022-12-06 15:51:49.734105846,142187
2022-12-06 15:51:49.836642858,149555
2022-12-06 15:51:49.939181323,151403
2022-12-06 15:51:50.041726892,150695
2022-12-06 15:51:50.144325007,151173
2022-12-06 15:51:50.246775766,146005
2022-12-06 15:51:50.348910050,142201
2022-12-06 15:51:50.451357125,134809
2022-12-06 15:51:50.553837676,142071
2022-12-06 15:51:50.656329518,142674
2022-12-06 15:51:50.758881130,150035
2022-12-06 15:51:50.861470015,151107
2022-12-06 15:51:50.964032872,149030
2022-12-06 15:51:51.066600212,149210
2022-12-06 15:51:51.169184711,144818
2022-12-06 15:51:51.270901125,128845
2022-12-06 15:51:51.373432687,135404
2022-12-06 15:51:51.476023061,142368
2022-12-06 15:51:51.578632287,144159
2022-12-06 15:51:51.681251618,149555
2022-12-06 15:51:51.783830344,150811
2022-12-06 15:51:51.886411653,150695
2022-12-06 15:51:51.989047151,148679
2022-12-06 15:51:52.091325442,144637
2022-12-06 15:51:52.193617563,131952
2022-12-06 15:51:52.295919332,139809
2022-12-06 15:51:52.398207969,142912
2022-12-06 15:51:52.500542032,150445
2022-12-06 15:51:52.602215029,153713
2022-12-06 15:51:52.703924764,148140
2022-12-06 15:51:52.805605382,144340
2022-12-06 15:51:52.907276698,143630
2022-12-06 15:51:53.008999477,142253
2022-12-06 15:51:53.111574901,133025
2022-12-06 15:51:53.214162518,140404
2022-12-06 15:51:53.316741144,143623
2022-12-06 15:51:53.419359662,150149
2022-12-06 15:51:53.522044531,150629
2022-12-06 15:51:53.628479376,152359
2022-12-06 15:51:53.731043187,145709
2022-12-06 15:51:53.832806329,135702
2022-12-06 15:51:53.935394771,133620
2022-12-06 15:51:54.037987945,141593
2022-12-06 15:51:54.140599634,143318
2022-12-06 15:51:54.243125354,148665
2022-12-06 15:51:54.345745830,150217
2022-12-06 15:51:54.448368341,150398
2022-12-06 15:51:54.550963225,150282
2022-12-06 15:51:54.653541997,145411
2022-12-06 15:51:54.756156858,130334
2022-12-06 15:51:54.858849521,135107
2022-12-06 15:51:54.961454993,142368
2022-12-06 15:51:55.064040674,145940
2022-12-06 15:51:55.166643989,148254
2022-12-06 15:51:55.269262506,150811
2022-12-06 15:51:55.371828275,149804
2022-12-06 15:51:55.474486580,147788
2022-12-06 15:51:55.576895408,143385
2022-12-06 15:51:55.679480481,131887
2022-12-06 15:51:55.782007380,140702
2022-12-06 15:51:55.884628099,142434
2022-12-06 15:51:55.987227037,149375
2022-12-06 15:51:56.089798471,153004
2022-12-06 15:51:56.192357251,150101
2022-12-06 15:51:56.294921784,148914
2022-12-06 15:51:56.397538030,146005
2022-12-06 15:51:56.499888332,142848
2022-12-06 15:51:56.602138932,133620
2022-12-06 15:51:56.704473355,140702
2022-12-06 15:51:56.806719053,143498
2022-12-06 15:51:56.909013826,149739
2022-12-06 15:51:57.010751352,150513
2022-12-06 15:51:57.112458692,150695
2022-12-06 15:51:57.214111156,150695
2022-12-06 15:51:57.315776570,145709
2022-12-06 15:51:57.418046410,130929
2022-12-06 15:51:57.520427812,135404
2022-12-06 15:51:57.622699868,141783
2022-12-06 15:51:57.724980675,144753
2022-12-06 15:51:57.826667978,150035
2022-12-06 15:51:57.928395050,150811
2022-12-06 15:51:58.030068022,149804
2022-12-06 15:51:58.131710061,148085
2022-12-06 15:51:58.233332579,145411
2022-12-06 15:51:58.335859525,131111
2022-12-06 15:51:58.442625650,141783
2022-12-06 15:51:58.545176581,149375
2022-12-06 15:51:58.647681665,153235
2022-12-06 15:51:58.750197227,150811
2022-12-06 15:51:58.852758063,149326
2022-12-06 15:51:58.955224540,147672
2022-12-06 15:51:59.057746937,142739
2022-12-06 15:51:59.159982584,133077
2022-12-06 15:51:59.262185604,140107
2022-12-06 15:51:59.364409803,142970
2022-12-06 15:51:59.466655073,150629
2022-12-06 15:51:59.569219470,151817
2022-12-06 15:51:59.670935715,149920
2022-12-06 15:51:59.772594940,152953
2022-12-06 15:51:59.874259039,145411
2022-12-06 15:51:59.975935314,137977
2022-12-06 15:52:00.078490963,135004
2022-12-06 15:52:00.181222847,141667
2022-12-06 15:52:00.283839175,143339
2022-12-06 15:52:00.386393249,149623
2022-12-06 15:52:00.489041134,150991
2022-12-06 15:52:00.591672036,149393
2022-12-06 15:52:00.694262210,149871
2022-12-06 15:52:00.796863536,145353
2022-12-06 15:52:00.899466723,129341
2022-12-06 15:52:01.002052317,134410
2022-12-06 15:52:01.104680509,141783
2022-12-06 15:52:01.207309544,146361
2022-12-06 15:52:01.309957764,148437
2022-12-06 15:52:01.412601094,150695
2022-12-06 15:52:01.515172645,149987
2022-12-06 15:52:01.617835017,147317
2022-12-06 15:52:01.720025290,142151
2022-12-06 15:52:01.822571040,132329
2022-12-06 15:52:01.925167309,141433
2022-12-06 15:52:02.027750809,142861
2022-12-06 15:52:02.130340045,148553
2022-12-06 15:52:02.232908438,151584
2022-12-06 15:52:02.335459898,150169
2022-12-06 15:52:02.438020802,148390
2022-12-06 15:52:02.540629363,145904
2022-12-06 15:52:02.642978482,142224
2022-12-06 15:52:02.745314205,132227
2022-12-06 15:52:02.847581307,140080
