Time,Power
2022-12-06 02:11:34.011433149,85278
2022-12-06 02:11:34.113845825,80618
2022-12-06 02:11:34.216138653,78607
2022-12-06 02:11:34.318415390,77475
2022-12-06 02:11:34.420810587,77176
2022-12-06 02:11:34.523150265,77176
2022-12-06 02:11:34.625587666,77176
2022-12-06 02:11:34.728019906,76879
2022-12-06 02:11:34.830378999,92291
2022-12-06 02:11:34.932831121,129766
2022-12-06 02:11:35.035211200,149521
2022-12-06 02:11:35.137651071,162797
2022-12-06 02:11:35.240380293,163832
2022-12-06 02:11:35.343102926,160845
2022-12-06 02:11:35.445831847,160201
2022-12-06 02:11:35.548205605,156710
2022-12-06 02:11:35.650542295,151586
2022-12-06 02:11:35.752929198,135465
2022-12-06 02:11:35.859284748,156644
2022-12-06 02:11:35.965741461,165763
2022-12-06 02:11:36.068096182,166807
2022-12-06 02:11:36.170406208,161901
2022-12-06 02:11:36.272829641,158204
2022-12-06 02:11:36.375212746,153532
2022-12-06 02:11:36.477028918,150735
2022-12-06 02:11:36.579395237,142500
2022-12-06 02:11:36.681804237,154587
2022-12-06 02:11:36.784287325,157762
2022-12-06 02:11:36.886706148,165708
2022-12-06 02:11:36.989162283,164949
2022-12-06 02:11:37.090940975,161963
2022-12-06 02:11:37.192772482,156090
2022-12-06 02:11:37.294477559,152324
2022-12-06 02:11:37.396205332,149176
2022-12-06 02:11:37.498770592,140731
2022-12-06 02:11:37.601360685,149435
2022-12-06 02:11:37.703921272,153468
2022-12-06 02:11:37.806482038,162779
2022-12-06 02:11:37.909154741,164134
2022-12-06 02:11:38.011878163,161376
2022-12-06 02:11:38.114588439,160086
2022-12-06 02:11:38.217349074,152412
2022-12-06 02:11:38.320067407,147018
2022-12-06 02:11:38.422786906,142175
2022-12-06 02:11:38.525472754,154203
2022-12-06 02:11:38.628251088,157964
2022-12-06 02:11:38.730895975,166376
2022-12-06 02:11:38.833616055,162307
2022-12-06 02:11:38.936329771,157412
2022-12-06 02:11:39.039003769,156473
2022-12-06 02:11:39.141673501,152206
2022-12-06 02:11:39.244330297,137710
2022-12-06 02:11:39.347016943,144776
2022-12-06 02:11:39.449662880,154822
2022-12-06 02:11:39.552360795,161252
2022-12-06 02:11:39.655037448,163221
2022-12-06 02:11:39.757735191,161044
2022-12-06 02:11:39.860488051,157263
2022-12-06 02:11:39.963096999,155827
2022-12-06 02:11:40.064956367,151912
2022-12-06 02:11:40.167324239,135541
2022-12-06 02:11:40.272736957,155764
2022-12-06 02:11:40.379271168,160665
2022-12-06 02:11:40.481779459,163072
