Files already downloaded and verified
Files already downloaded and verified
power limit arg: 175
learning rate arg: 0.00022472205054244234
batch size arg: 1024
ProfileDataLoader constructor: called constructor of DataLoader!
[Profile DataLoader] The profile window takes 50 iterations (10 for warmup + 40 for profile) and exceeds the number of iterations (49) in one epoch. Scaling the profile window to fit in one epoch...
[Profile DataLoader] Scaling done! New profile window takes 47 iterations (9 for warmup + 38 for profile).
ProfileDataLoader constructor: called constructor of DataLoader!
Launching Zeus monitor 0...
[GPU_0] Set GPU power limit to 175W.
Warm-up started with power limit 175W
Training Epoch: 0 [1024/50176]	Loss: 4.6235
Training Epoch: 0 [2048/50176]	Loss: 4.6372
Training Epoch: 0 [3072/50176]	Loss: 4.6091
Training Epoch: 0 [4096/50176]	Loss: 4.6039
Training Epoch: 0 [5120/50176]	Loss: 4.5933
Training Epoch: 0 [6144/50176]	Loss: 4.5895
Training Epoch: 0 [7168/50176]	Loss: 4.5921
Training Epoch: 0 [8192/50176]	Loss: 4.5891
Training Epoch: 0 [9216/50176]	Loss: 4.5822
Training Epoch: 0 [10240/50176]	Loss: 4.5705
Training Epoch: 0 [11264/50176]	Loss: 4.5560
Training Epoch: 0 [12288/50176]	Loss: 4.5544
Training Epoch: 0 [13312/50176]	Loss: 4.5562
Training Epoch: 0 [14336/50176]	Loss: 4.5687
Training Epoch: 0 [15360/50176]	Loss: 4.5505
Training Epoch: 0 [16384/50176]	Loss: 4.5374
Training Epoch: 0 [17408/50176]	Loss: 4.5398
Training Epoch: 0 [18432/50176]	Loss: 4.5273
Training Epoch: 0 [19456/50176]	Loss: 4.5052
Training Epoch: 0 [20480/50176]	Loss: 4.5269
Training Epoch: 0 [21504/50176]	Loss: 4.5276
Training Epoch: 0 [22528/50176]	Loss: 4.5128
Training Epoch: 0 [23552/50176]	Loss: 4.4973
Training Epoch: 0 [24576/50176]	Loss: 4.5150
Training Epoch: 0 [25600/50176]	Loss: 4.4904
Training Epoch: 0 [26624/50176]	Loss: 4.4799
Training Epoch: 0 [27648/50176]	Loss: 4.5032
Training Epoch: 0 [28672/50176]	Loss: 4.4741
Training Epoch: 0 [29696/50176]	Loss: 4.5004
Training Epoch: 0 [30720/50176]	Loss: 4.5016
Training Epoch: 0 [31744/50176]	Loss: 4.5030
Training Epoch: 0 [32768/50176]	Loss: 4.4863
Training Epoch: 0 [33792/50176]	Loss: 4.4968
Training Epoch: 0 [34816/50176]	Loss: 4.4587
Training Epoch: 0 [35840/50176]	Loss: 4.4814
Training Epoch: 0 [36864/50176]	Loss: 4.4601
Training Epoch: 0 [37888/50176]	Loss: 4.4465
Training Epoch: 0 [38912/50176]	Loss: 4.4422
Training Epoch: 0 [39936/50176]	Loss: 4.4584
Training Epoch: 0 [40960/50176]	Loss: 4.4264
Training Epoch: 0 [41984/50176]	Loss: 4.4537
Training Epoch: 0 [43008/50176]	Loss: 4.4668
Training Epoch: 0 [44032/50176]	Loss: 4.4019
Training Epoch: 0 [45056/50176]	Loss: 4.4453
Training Epoch: 0 [46080/50176]	Loss: 4.4055
Training Epoch: 0 [47104/50176]	Loss: 4.4141
Training Epoch: 0 [48128/50176]	Loss: 4.4240
Profile done with power limit 175W
epoch 1 train time consumed: 44.15s
Validation Epoch: 0, Average loss: 0.0046, Accuracy: 0.0201
Stopped Zeus monitor 0.
