Files already downloaded and verified
Files already downloaded and verified
power limit arg: 125
learning rate arg: 0.001
batch size arg: 8
ProfileDataLoader constructor: called constructor of DataLoader!
ProfileDataLoader constructor: called constructor of DataLoader!
Launching Zeus monitor 0...
[GPU_0] Set GPU power limit to 125W.
Warm-up started with power limit 125W
Training Epoch: 0 [8/50000]	Loss: 4.6550
Training Epoch: 0 [16/50000]	Loss: 4.8286
Training Epoch: 0 [24/50000]	Loss: 4.7004
Training Epoch: 0 [32/50000]	Loss: 4.8893
Training Epoch: 0 [40/50000]	Loss: 4.8635
Training Epoch: 0 [48/50000]	Loss: 5.9026
Training Epoch: 0 [56/50000]	Loss: 5.6946
Training Epoch: 0 [64/50000]	Loss: 5.1278
Training Epoch: 0 [72/50000]	Loss: 5.4489
Training Epoch: 0 [80/50000]	Loss: 5.3366
Training Epoch: 0 [88/50000]	Loss: 5.1812
Training Epoch: 0 [96/50000]	Loss: 6.2870
Training Epoch: 0 [104/50000]	Loss: 6.1034
Training Epoch: 0 [112/50000]	Loss: 5.2090
Training Epoch: 0 [120/50000]	Loss: 5.9342
Training Epoch: 0 [128/50000]	Loss: 6.1078
Training Epoch: 0 [136/50000]	Loss: 5.8452
Training Epoch: 0 [144/50000]	Loss: 5.1987
Training Epoch: 0 [152/50000]	Loss: 5.2974
Training Epoch: 0 [160/50000]	Loss: 6.1878
Training Epoch: 0 [168/50000]	Loss: 5.6110
Training Epoch: 0 [176/50000]	Loss: 5.0330
Training Epoch: 0 [184/50000]	Loss: 5.5077
Training Epoch: 0 [192/50000]	Loss: 4.5247
Training Epoch: 0 [200/50000]	Loss: 5.9819
Training Epoch: 0 [208/50000]	Loss: 5.4811
Training Epoch: 0 [216/50000]	Loss: 4.8113
Training Epoch: 0 [224/50000]	Loss: 5.3201
Training Epoch: 0 [232/50000]	Loss: 4.7415
Training Epoch: 0 [240/50000]	Loss: 5.2027
Training Epoch: 0 [248/50000]	Loss: 5.0759
Training Epoch: 0 [256/50000]	Loss: 5.4815
Training Epoch: 0 [264/50000]	Loss: 4.8960
Training Epoch: 0 [272/50000]	Loss: 5.7650
Training Epoch: 0 [280/50000]	Loss: 5.2503
Training Epoch: 0 [288/50000]	Loss: 5.4359
Training Epoch: 0 [296/50000]	Loss: 5.5718
Training Epoch: 0 [304/50000]	Loss: 5.2512
Training Epoch: 0 [312/50000]	Loss: 4.6915
Training Epoch: 0 [320/50000]	Loss: 5.0295
Training Epoch: 0 [328/50000]	Loss: 5.3085
Training Epoch: 0 [336/50000]	Loss: 5.0625
Training Epoch: 0 [344/50000]	Loss: 4.5393
Training Epoch: 0 [352/50000]	Loss: 4.7783
Training Epoch: 0 [360/50000]	Loss: 5.4347
Training Epoch: 0 [368/50000]	Loss: 4.9496
Training Epoch: 0 [376/50000]	Loss: 4.9465
Training Epoch: 0 [384/50000]	Loss: 4.6158
Training Epoch: 0 [392/50000]	Loss: 4.8801
Training Epoch: 0 [400/50000]	Loss: 4.5092
Profile done with power limit 125W
epoch 1 train time consumed: 3.21s
Validation Epoch: 0, Average loss: 0.6314, Accuracy: 0.0107
Stopped Zeus monitor 0.
