Files already downloaded and verified
Files already downloaded and verified
power limit arg: 125
learning rate arg: 0.0024
batch size arg: 32
ProfileDataLoader constructor: called constructor of DataLoader!
ProfileDataLoader constructor: called constructor of DataLoader!
Launching Zeus monitor 0...
[GPU_0] Set GPU power limit to 125W.
Warm-up started with power limit 125W
Training Epoch: 0 [32/50016]	Loss: 4.6525
Training Epoch: 0 [64/50016]	Loss: 5.1427
Training Epoch: 0 [96/50016]	Loss: 5.3813
Training Epoch: 0 [128/50016]	Loss: 5.6481
Training Epoch: 0 [160/50016]	Loss: 5.6664
Training Epoch: 0 [192/50016]	Loss: 5.3503
Training Epoch: 0 [224/50016]	Loss: 5.4250
Training Epoch: 0 [256/50016]	Loss: 5.3121
Training Epoch: 0 [288/50016]	Loss: 5.4336
Training Epoch: 0 [320/50016]	Loss: 5.3906
Training Epoch: 0 [352/50016]	Loss: 5.1918
Training Epoch: 0 [384/50016]	Loss: 5.5386
Training Epoch: 0 [416/50016]	Loss: 5.0402
Training Epoch: 0 [448/50016]	Loss: 4.8401
Training Epoch: 0 [480/50016]	Loss: 5.1291
Training Epoch: 0 [512/50016]	Loss: 4.8515
Training Epoch: 0 [544/50016]	Loss: 4.9547
Training Epoch: 0 [576/50016]	Loss: 4.5107
Training Epoch: 0 [608/50016]	Loss: 5.2513
Training Epoch: 0 [640/50016]	Loss: 5.5179
Training Epoch: 0 [672/50016]	Loss: 5.1606
Training Epoch: 0 [704/50016]	Loss: 4.6851
Training Epoch: 0 [736/50016]	Loss: 4.8790
Training Epoch: 0 [768/50016]	Loss: 5.3608
Training Epoch: 0 [800/50016]	Loss: 4.6737
Training Epoch: 0 [832/50016]	Loss: 4.6995
Training Epoch: 0 [864/50016]	Loss: 5.2496
Training Epoch: 0 [896/50016]	Loss: 4.8692
Training Epoch: 0 [928/50016]	Loss: 5.0282
Training Epoch: 0 [960/50016]	Loss: 4.8856
Training Epoch: 0 [992/50016]	Loss: 4.8437
Training Epoch: 0 [1024/50016]	Loss: 4.9462
Training Epoch: 0 [1056/50016]	Loss: 4.8936
Training Epoch: 0 [1088/50016]	Loss: 4.7118
Training Epoch: 0 [1120/50016]	Loss: 4.7068
Training Epoch: 0 [1152/50016]	Loss: 4.6753
Training Epoch: 0 [1184/50016]	Loss: 4.8649
Training Epoch: 0 [1216/50016]	Loss: 4.9171
Training Epoch: 0 [1248/50016]	Loss: 4.6405
Training Epoch: 0 [1280/50016]	Loss: 4.8807
Training Epoch: 0 [1312/50016]	Loss: 4.7226
Training Epoch: 0 [1344/50016]	Loss: 4.6686
Training Epoch: 0 [1376/50016]	Loss: 4.5271
Training Epoch: 0 [1408/50016]	Loss: 4.8680
Training Epoch: 0 [1440/50016]	Loss: 4.5815
Training Epoch: 0 [1472/50016]	Loss: 4.6581
Training Epoch: 0 [1504/50016]	Loss: 4.6896
Training Epoch: 0 [1536/50016]	Loss: 4.7507
Training Epoch: 0 [1568/50016]	Loss: 4.5182
Training Epoch: 0 [1600/50016]	Loss: 4.5495
Profile done with power limit 125W
epoch 1 train time consumed: 4.67s
Validation Epoch: 0, Average loss: 0.1480, Accuracy: 0.0127
Stopped Zeus monitor 0.
