Time,Power
2022-12-06 19:56:50.431127256,68877
2022-12-06 19:56:50.538227676,67135
2022-12-06 19:56:50.640529613,66992
2022-12-06 19:56:50.742802322,66849
2022-12-06 19:56:50.845124946,66988
2022-12-06 19:56:50.947398448,67127
2022-12-06 19:56:51.049697525,66989
2022-12-06 19:56:51.151994556,85311
2022-12-06 19:56:51.254283326,118442
2022-12-06 19:56:51.356631174,136772
2022-12-06 19:56:51.458963361,141280
2022-12-06 19:56:51.561314146,139849
2022-12-06 19:56:51.663571918,137661
2022-12-06 19:56:51.765875277,137501
2022-12-06 19:56:51.868502499,135415
2022-12-06 19:56:51.971053061,132912
2022-12-06 19:56:52.073351708,130505
2022-12-06 19:56:52.175968217,138735
2022-12-06 19:56:52.278688786,142308
2022-12-06 19:56:52.381311973,140170
2022-12-06 19:56:52.483931613,138214
2022-12-06 19:56:52.586556505,136789
2022-12-06 19:56:52.689188025,137265
2022-12-06 19:56:52.791806798,133170
2022-12-06 19:56:52.894345695,125792
2022-12-06 19:56:52.996699616,130141
2022-12-06 19:56:53.098968694,139348
2022-12-06 19:56:53.201327863,141419
2022-12-06 19:56:53.303706308,138264
2022-12-06 19:56:53.405444730,136673
2022-12-06 19:56:53.507126448,136218
2022-12-06 19:56:53.608838503,135434
2022-12-06 19:56:53.710528713,133762
2022-12-06 19:56:53.812827391,122698
2022-12-06 19:56:53.915192813,132216
2022-12-06 19:56:54.017567865,141124
2022-12-06 19:56:54.119921810,143016
2022-12-06 19:56:54.221630707,137380
2022-12-06 19:56:54.323349278,136789
2022-12-06 19:56:54.425058032,135900
2022-12-06 19:56:54.526795575,134765
2022-12-06 19:56:54.629111486,131558
2022-12-06 19:56:54.731423455,123764
2022-12-06 19:56:54.833753223,137151
2022-12-06 19:56:54.936151204,140532
2022-12-06 19:56:55.038494772,140761
2022-12-06 19:56:55.140243202,139463
2022-12-06 19:56:55.241900921,136809
2022-12-06 19:56:55.343592047,134715
2022-12-06 19:56:55.445390694,134173
2022-12-06 19:56:55.547725203,132630
2022-12-06 19:56:55.653116065,138810
2022-12-06 19:56:55.755401910,142308
2022-12-06 19:56:55.857719432,139454
2022-12-06 19:56:55.960285453,137622
2022-12-06 19:56:56.062002611,135900
2022-12-06 19:56:56.163717708,137505
2022-12-06 19:56:56.265377841,134111
2022-12-06 19:56:56.367730850,123240
2022-12-06 19:56:56.470027296,131919
2022-12-06 19:56:56.572401399,139644
2022-12-06 19:56:56.674781315,144675
2022-12-06 19:56:56.777181973,138927
2022-12-06 19:56:56.878878732,137160
2022-12-06 19:56:56.980617634,136493
2022-12-06 19:56:57.082350459,135308
2022-12-06 19:56:57.184074854,132448
2022-12-06 19:56:57.286382281,125678
2022-12-06 19:56:57.388769859,132216
2022-12-06 19:56:57.491093432,141124
2022-12-06 19:56:57.593436704,142358
2022-12-06 19:56:57.695997973,139208
2022-12-06 19:56:57.797709283,136493
2022-12-06 19:56:57.899381776,135950
2022-12-06 19:56:58.001122387,134703
2022-12-06 19:56:58.102772585,131558
2022-12-06 19:56:58.205398296,126798
2022-12-06 19:56:58.308076348,137679
2022-12-06 19:56:58.410776384,140936
2022-12-06 19:56:58.513396436,139926
2022-12-06 19:56:58.615992103,138048
2022-12-06 19:56:58.718517701,136493
2022-12-06 19:56:58.821077885,136969
2022-12-06 19:56:58.923619807,133633
2022-12-06 19:56:59.026239505,130423
2022-12-06 19:56:59.128843482,131327
2022-12-06 19:56:59.231339617,140047
2022-12-06 19:56:59.333936285,142064
2022-12-06 19:56:59.436604147,138615
2022-12-06 19:56:59.539183640,137430
2022-12-06 19:56:59.641863963,136839
2022-12-06 19:56:59.744507997,135836
2022-12-06 19:56:59.846295820,133337
2022-12-06 19:56:59.949008083,120782
2022-12-06 19:57:00.051710266,131623
2022-12-06 19:57:00.154365190,140175
2022-12-06 19:57:00.257052451,142604
2022-12-06 19:57:00.359616502,137622
2022-12-06 19:57:00.466992268,135950
2022-12-06 19:57:00.569547659,135115
2022-12-06 19:57:00.672117021,131854
2022-12-06 19:57:00.774726417,126072
2022-12-06 19:57:00.877285353,138681
2022-12-06 19:57:00.979821385,141124
2022-12-06 19:57:01.082300872,140928
2022-12-06 19:57:01.184891857,138862
2022-12-06 19:57:01.287522950,135950
2022-12-06 19:57:01.390125112,135243
2022-12-06 19:57:01.492821116,133337
2022-12-06 19:57:01.594579721,131558
2022-12-06 19:57:01.696928607,127986
2022-12-06 19:57:01.799317412,139403
2022-12-06 19:57:01.901698879,141895
2022-12-06 19:57:02.004022564,138879
2022-12-06 19:57:02.105754149,137918
2022-12-06 19:57:02.207461988,135549
2022-12-06 19:57:02.309176166,137560
2022-12-06 19:57:02.410886826,133815
2022-12-06 19:57:02.513268580,122744
2022-12-06 19:57:02.615598506,131623
2022-12-06 19:57:02.717974539,140588
2022-12-06 19:57:02.820350343,144320
2022-12-06 19:57:02.922700875,138805
2022-12-06 19:57:03.024466011,137029
2022-12-06 19:57:03.126174920,135845
2022-12-06 19:57:03.227948881,135604
2022-12-06 19:57:03.329631547,132152
2022-12-06 19:57:03.432333009,124014
2022-12-06 19:57:03.535015819,132397
2022-12-06 19:57:03.637689198,141304
2022-12-06 19:57:03.740355217,142609
2022-12-06 19:57:03.842950071,138993
2022-12-06 19:57:03.945568738,137029
2022-12-06 19:57:04.048234878,136197
2022-12-06 19:57:04.150809784,134895
2022-12-06 19:57:04.253458728,132630
2022-12-06 19:57:04.355760813,127936
2022-12-06 19:57:04.458024504,139107
2022-12-06 19:57:04.560362992,141419
2022-12-06 19:57:04.662644455,139989
2022-12-06 19:57:04.764413781,137918
