Time,Power
2022-12-08 16:05:41.848214483,87345
2022-12-08 16:05:41.950607671,80956
2022-12-08 16:05:42.053043304,78347
2022-12-08 16:05:42.155404943,77453
2022-12-08 16:05:42.257792624,76916
2022-12-08 16:05:42.360193122,76619
2022-12-08 16:05:42.462624574,76619
2022-12-08 16:05:42.565056987,76619
2022-12-08 16:05:42.667500256,78632
2022-12-08 16:05:42.769950248,125666
2022-12-08 16:05:42.872347327,148220
2022-12-08 16:05:42.974788338,156555
2022-12-08 16:05:43.077241113,165398
2022-12-08 16:05:43.179615337,163586
2022-12-08 16:05:43.282068071,160000
2022-12-08 16:05:43.388269829,150201
2022-12-08 16:05:43.490675610,124496
2022-12-08 16:05:43.593118540,140012
2022-12-08 16:05:43.695553655,155028
2022-12-08 16:05:43.797961855,160172
2022-12-08 16:05:43.900250732,167397
2022-12-08 16:05:44.002608547,163235
2022-12-08 16:05:44.105083044,158034
2022-12-08 16:05:44.207570627,154799
2022-12-08 16:05:44.309454802,150527
2022-12-08 16:05:44.411869419,134656
2022-12-08 16:05:44.514391692,142206
2022-12-08 16:05:44.616838907,152027
2022-12-08 16:05:44.719278267,158995
2022-12-08 16:05:44.821698134,165104
2022-12-08 16:05:44.923518071,164108
2022-12-08 16:05:45.025332993,160589
2022-12-08 16:05:45.127080933,154742
2022-12-08 16:05:45.228794012,150439
2022-12-08 16:05:45.331176525,136901
2022-12-08 16:05:45.433638725,143090
2022-12-08 16:05:45.536018758,155560
2022-12-08 16:05:45.638428176,165568
2022-12-08 16:05:45.740936916,166222
2022-12-08 16:05:45.842762169,162353
2022-12-08 16:05:45.944604712,157684
2022-12-08 16:05:46.049485186,152739
2022-12-08 16:05:46.151912106,149022
2022-12-08 16:05:46.254371276,136844
2022-12-08 16:05:46.356895079,150937
2022-12-08 16:05:46.459364061,156088
2022-12-08 16:05:46.561884033,165739
2022-12-08 16:05:46.663663835,167273
2022-12-08 16:05:46.765474967,160058
2022-12-08 16:05:46.867194615,157766
2022-12-08 16:05:46.969025602,157037
2022-12-08 16:05:47.070781374,152387
2022-12-08 16:05:47.173218705,141165
2022-12-08 16:05:47.275683826,150963
2022-12-08 16:05:47.378179364,156088
2022-12-08 16:05:47.480633540,164630
2022-12-08 16:05:47.582421278,165929
2022-12-08 16:05:47.684177992,161176
2022-12-08 16:05:47.785946146,157063
2022-12-08 16:05:47.890556577,152150
2022-12-08 16:05:47.992954981,147876
2022-12-08 16:05:48.095405563,140223
2022-12-08 16:05:48.200898469,156088
2022-12-08 16:05:48.307407143,164280
2022-12-08 16:05:48.410066115,164460
2022-12-08 16:05:48.512750584,160326
2022-12-08 16:05:48.615416370,159358
2022-12-08 16:05:48.718143624,150710
2022-12-08 16:05:48.820632099,145180
2022-12-08 16:05:48.923062987,143417
2022-12-08 16:05:49.025483633,153498
2022-12-08 16:05:49.127903359,157855
2022-12-08 16:05:49.230368881,165692
2022-12-08 16:05:49.332189437,163284
2022-12-08 16:05:49.433984662,159706
2022-12-08 16:05:49.535748429,156800
2022-12-08 16:05:49.637547717,152001
2022-12-08 16:05:49.739885643,135265
2022-12-08 16:05:49.842413469,145186
2022-12-08 16:05:49.944908665,154676
2022-12-08 16:05:50.047324811,160990
2022-12-08 16:05:50.149783730,162524
2022-12-08 16:05:50.251599529,160646
2022-12-08 16:05:50.353417318,156562
2022-12-08 16:05:50.455176004,155388
2022-12-08 16:05:50.557030569,151594
2022-12-08 16:05:50.659427173,136369
2022-12-08 16:05:50.761917583,143122
2022-12-08 16:05:50.864432980,153793
2022-12-08 16:05:50.966897500,158469
2022-12-08 16:05:51.069304729,165104
2022-12-08 16:05:51.171110229,163292
2022-12-08 16:05:51.272897558,160914
2022-12-08 16:05:51.374646762,155094
2022-12-08 16:05:51.477178750,150176
2022-12-08 16:05:51.579802465,135766
2022-12-08 16:05:51.682621838,142878
2022-12-08 16:05:51.785460066,154676
2022-12-08 16:05:51.888170049,164336
2022-12-08 16:05:51.990840064,163112
2022-12-08 16:05:52.093573600,160352
2022-12-08 16:05:52.196272674,157446
2022-12-08 16:05:52.299057849,153384
2022-12-08 16:05:52.401211476,150527
2022-12-08 16:05:52.503963332,137491
2022-12-08 16:05:52.606801812,147569
2022-12-08 16:05:52.713899549,164099
2022-12-08 16:05:52.820256591,166361
2022-12-08 16:05:52.922863995,160383
2022-12-08 16:05:53.025605091,156679
2022-12-08 16:05:53.128306197,154447
2022-12-08 16:05:53.231125852,149586
2022-12-08 16:05:53.333967130,138261
2022-12-08 16:05:53.436816585,148989
2022-12-08 16:05:53.539529935,155265
2022-12-08 16:05:53.642308328,163749
2022-12-08 16:05:53.744980943,164517
2022-12-08 16:05:53.847692004,159794
2022-12-08 16:05:53.950457602,154267
2022-12-08 16:05:54.053234297,153122
