Time,Power
2022-12-03 18:19:18.164617370,67738
2022-12-03 18:19:18.267473485,105944
2022-12-03 18:19:18.370350187,121789
2022-12-03 18:19:18.472200932,130117
2022-12-03 18:19:18.574122822,131065
2022-12-03 18:19:18.677008586,135121
2022-12-03 18:19:18.779835443,132820
2022-12-03 18:19:18.882730225,132955
2022-12-03 18:19:18.985602327,132217
2022-12-03 18:19:19.088476668,131618
2022-12-03 18:19:19.191342138,133060
2022-12-03 18:19:19.293829061,131919
2022-12-03 18:19:19.395681937,133005
2022-12-03 18:19:19.497534135,130227
2022-12-03 18:19:19.599375954,132758
2022-12-03 18:19:19.701342361,129741
2022-12-03 18:19:19.803158766,134149
2022-12-03 18:19:19.905648628,131971
2022-12-03 18:19:20.007473482,133189
2022-12-03 18:19:20.109944984,131971
2022-12-03 18:19:20.211783500,135183
2022-12-03 18:19:20.314279126,132272
2022-12-03 18:19:20.416107019,133730
2022-12-03 18:19:20.517976043,132272
2022-12-03 18:19:20.619783722,133009
2022-12-03 18:19:20.722294510,132574
2022-12-03 18:19:20.824142440,135542
2022-12-03 18:19:20.926006995,133177
2022-12-03 18:19:21.027835038,134032
2022-12-03 18:19:21.129698775,133177
2022-12-03 18:19:21.231577012,130528
2022-12-03 18:19:21.333417203,133060
2022-12-03 18:19:21.435263017,128887
2022-12-03 18:19:21.537133047,132703
2022-12-03 18:19:21.638952545,128651
2022-12-03 18:19:21.740824633,134094
2022-12-03 18:19:21.842688299,132217
2022-12-03 18:19:21.944509204,133374
2022-12-03 18:19:22.046988711,131971
2022-12-03 18:19:22.148847738,133675
2022-12-03 18:19:22.251275510,131916
2022-12-03 18:19:22.353159060,134463
2022-12-03 18:19:22.455610409,132876
2022-12-03 18:19:22.557515530,136273
2022-12-03 18:19:22.659941680,133424
2022-12-03 18:19:22.761823476,132770
2022-12-03 18:19:22.863639178,132217
2022-12-03 18:19:22.965476990,132222
2022-12-03 18:19:23.067328113,133608
2022-12-03 18:19:23.169168027,130829
2022-12-03 18:19:23.270990146,133362
2022-12-03 18:19:23.373832275,129137
2022-12-03 18:19:23.479185217,128349
2022-12-03 18:19:23.582013484,133189
2022-12-03 18:19:23.684766214,131669
2022-12-03 18:19:23.786629900,132586
2022-12-03 18:19:23.888413788,131614
2022-12-03 18:19:23.991238169,132715
2022-12-03 18:19:24.093121605,131916
2022-12-03 18:19:24.195535127,135725
2022-12-03 18:19:24.297399710,132876
2022-12-03 18:19:24.399250677,133558
2022-12-03 18:19:24.501097242,132519
2022-12-03 18:19:24.602916658,131749
2022-12-03 18:19:24.704774252,132402
2022-12-03 18:19:24.807247129,132523
2022-12-03 18:19:24.909096299,133663
2022-12-03 18:19:25.011528743,129978
2022-12-03 18:19:25.113413903,133362
2022-12-03 18:19:25.215894192,130096
2022-12-03 18:19:25.317766550,134094
2022-12-03 18:19:25.420125906,131065
2022-12-03 18:19:25.522012550,133848
2022-12-03 18:19:25.624458814,131971
2022-12-03 18:19:25.726327540,134452
2022-12-03 18:19:25.828812644,131971
2022-12-03 18:19:25.930640791,135239
