Time,Power
2022-11-21 22:31:24.288559066,71668
2022-11-21 22:31:24.390540019,71668
2022-11-21 22:31:24.492491566,71668
2022-11-21 22:31:24.594427832,71695
2022-11-21 22:31:24.696417429,73089
2022-11-21 22:31:24.798377939,80615
2022-11-21 22:31:24.900367476,82328
2022-11-21 22:31:25.002364179,85859
2022-11-21 22:31:25.104894450,90168
2022-11-21 22:31:25.207460782,91938
2022-11-21 22:31:25.309720932,92291
2022-11-21 22:31:25.412241375,94651
2022-11-21 22:31:25.515819609,96929
2022-11-21 22:31:25.618005984,94866
2022-11-21 22:31:25.719994591,95428
2022-11-21 22:31:25.821894742,95721
2022-11-21 22:31:25.923829051,98080
2022-11-21 22:31:26.026290503,97785
2022-11-21 22:31:26.128867114,96311
2022-11-21 22:31:26.234105955,96075
2022-11-21 22:31:26.337317745,98645
2022-11-21 22:31:26.439242440,96311
2022-11-21 22:31:26.541242719,96311
2022-11-21 22:31:26.643694747,96044
2022-11-21 22:31:26.745810155,97761
2022-11-21 22:31:26.847795327,96606
2022-11-21 22:31:26.950276116,95456
2022-11-21 22:31:27.052408273,95192
2022-11-21 22:31:27.154346722,97518
2022-11-21 22:31:27.256570911,97785
2022-11-21 22:31:27.358501240,95745
2022-11-21 22:31:27.461021323,95428
2022-11-21 22:31:27.562947560,97196
2022-11-21 22:31:27.664907007,97490
2022-11-21 22:31:27.766944527,95721
2022-11-21 22:31:27.868923245,95456
2022-11-21 22:31:27.971435624,96311
2022-11-21 22:31:28.073412603,98080
2022-11-21 22:31:28.175383261,96606
2022-11-21 22:31:28.277322148,95428
2022-11-21 22:31:28.379298356,95807
2022-11-21 22:31:28.481765612,98350
2022-11-21 22:31:28.583875520,96583
2022-11-21 22:31:28.685806561,95133
2022-11-21 22:31:28.787795312,95192
2022-11-21 22:31:28.889710669,96901
2022-11-21 22:31:28.992176836,97490
2022-11-21 22:31:29.094102557,96044
2022-11-21 22:31:29.196090912,95192
2022-11-21 22:31:29.298151540,96397
2022-11-21 22:31:29.400142752,98080
2022-11-21 22:31:29.502604150,96606
2022-11-21 22:31:29.604616956,95456
2022-11-21 22:31:29.706535427,96606
2022-11-21 22:31:29.808476062,98080
2022-11-21 22:31:29.910365536,97490
2022-11-21 22:31:30.012848098,95428
2022-11-21 22:31:30.115380073,95536
2022-11-21 22:31:30.217342344,96665
2022-11-21 22:31:30.319330587,97490
2022-11-21 22:31:30.421234680,96606
2022-11-21 22:31:30.523645554,95192
2022-11-21 22:31:30.626079907,96606
2022-11-21 22:31:30.728035551,97761
2022-11-21 22:31:30.829943470,95428
2022-11-21 22:31:30.931888892,96016
2022-11-21 22:31:31.034308811,96583
2022-11-21 22:31:31.136244041,98350
2022-11-21 22:31:31.238209699,96311
2022-11-21 22:31:31.340308600,96339
2022-11-21 22:31:31.442275274,96311
2022-11-21 22:31:31.548515023,98350
2022-11-21 22:31:31.650403190,95405
2022-11-21 22:31:31.752339677,95749
2022-11-21 22:31:31.854288828,96937
2022-11-21 22:31:31.956199073,98350
2022-11-21 22:31:32.058112231,95721
2022-11-21 22:31:32.160048807,95485
2022-11-21 22:31:32.261960250,96370
2022-11-21 22:31:32.363886810,98056
2022-11-21 22:31:32.465760036,96311
2022-11-21 22:31:32.568257630,95721
2022-11-21 22:31:32.670730332,95807
2022-11-21 22:31:32.772713897,98056
2022-11-21 22:31:32.874638456,97173
2022-11-21 22:31:32.976574322,95721
2022-11-21 22:31:33.079010660,95721
2022-11-21 22:31:33.181036029,97785
2022-11-21 22:31:33.282953393,97466
2022-11-21 22:31:33.384897240,96901
2022-11-21 22:31:33.486785711,95749
2022-11-21 22:31:33.588708587,96311
2022-11-21 22:31:33.691201442,98080
2022-11-21 22:31:33.793169430,97196
2022-11-21 22:31:33.895771120,95721
2022-11-21 22:31:33.997680702,95721
2022-11-21 22:31:34.099616969,97173
2022-11-21 22:31:34.201581203,97785
2022-11-21 22:31:34.303536975,96016
2022-11-21 22:31:34.405559278,95192
2022-11-21 22:31:34.507555777,97254
2022-11-21 22:31:34.609502605,97196
2022-11-21 22:31:34.711519326,95485
2022-11-21 22:31:34.813954967,95485
2022-11-21 22:31:34.916627170,97254
2022-11-21 22:31:35.019201798,97785
2022-11-21 22:31:35.121201800,95721
2022-11-21 22:31:35.223662411,95192
2022-11-21 22:31:35.326145348,97254
2022-11-21 22:31:35.428755577,97224
2022-11-21 22:31:35.531237547,95456
2022-11-21 22:31:35.633259225,95192
2022-11-21 22:31:35.735772902,96960
2022-11-21 22:31:35.838333472,97466
2022-11-21 22:31:35.940927380,95721
2022-11-21 22:31:36.043544645,95133
2022-11-21 22:31:36.145498216,96606
2022-11-21 22:31:36.247456200,98056
