[Zeus Master] Job(cifar100,shufflenetv2,adam,0.5,bs1024~100) x 1
[Zeus Master] Batch sizes: [8, 16, 32, 64, 128, 256, 512, 1024, 2048]

[Zeus Master] Recurrence: 1
[run job] Launching job with BS 8: and LR: 7.905694150420948e-05
[run job] zeus_env={'ZEUS_LOG_DIR': '/workspace/zeus_logs/cifar100+shufflenetv2+bs1024+adam+lr0.001+tm0.5+me100+x1+eta0.5+beta2.0+2022112117241669069498', 'ZEUS_JOB_ID': 'rec01+try01', 'ZEUS_COST_THRESH': 'inf', 'ZEUS_ETA_KNOB': '0.5', 'ZEUS_TARGET_METRIC': '0.5', 'ZEUS_MONITOR_PATH': '/workspace/zeus/zeus_monitor/zeus_monitor', 'ZEUS_PROFILE_PARAMS': '10,40', 'ZEUS_USE_OPTIMAL_PL': 'True'}
[run job] cwd=/workspace/zeus/examples/cifar100
[run job] command=['python', 'train_lr.py', '--zeus', '--arch', 'shufflenetv2', '--batch_size', '8', '--epochs', '100', '--seed', '1', '--learning_rate', '7.905694150420948e-05']
[run job] cost_ub=inf
[run job] Job output logged to '/workspace/zeus_logs/cifar100+shufflenetv2+bs1024+adam+lr0.001+tm0.5+me100+x1+eta0.5+beta2.0+2022112117241669069498/rec01+try01.train.log'
2022-11-21 17:25:02,563 [Zeus2DataLoader(train)] Power limit range: [175000, 150000, 125000, 100000]
2022-11-21 17:25:02,564 [Zeus2DataLoader(train)] Power profiling: ON
2022-11-21 17:25:05,334 [Zeus2DataLoader(train)] Up to epoch 0: time=0.00, energy=0.00, cost=0.00
2022-11-21 17:25:05,335 [Zeus2DataLoader(train)] Epoch 1 begin.
Files already downloaded and verified
Files already downloaded and verified
hello from epochs()!
0
2022-11-21 17:25:05,470 [Zeus2DataLoader(train)] [GPU_0] Zeus monitor started.
2022-11-21 22:25:05.474 [ZeusMonitor] Monitor started.
2022-11-21 22:25:05.474 [ZeusMonitor] Running indefinitely. 2022-11-21 22:25:05.474 [ZeusMonitor] Sleeping 100ms after each poll. 
2022-11-21 22:25:05.474 [ZeusMonitor] Logfile path: /workspace/zeus_logs/cifar100+shufflenetv2+bs1024+adam+lr0.001+tm0.5+me100+x1+eta0.5+beta2.0+2022112117241669069498/bs8+e1+gpu0.power.log
2022-11-21 17:25:05,478 [Zeus2DataLoader(train)] [GPU_0] Set GPU power limit to 175W.
2022-11-21 17:25:05,478 [Zeus2DataLoader(train)] Warm-up started with power limit 175W
2022-11-21 17:25:06,639 [Zeus2DataLoader(train)] Profile started with power limit 175W
2022-11-21 17:25:08,905 [Zeus2DataLoader(train)] Profile done with power limit 175W
2022-11-21 17:25:08,965 [Zeus2DataLoader(train)] [GPU_0] Set GPU power limit to 150W.
2022-11-21 17:25:08,965 [Zeus2DataLoader(train)] Warm-up started with power limit 150W
2022-11-21 17:25:09,566 [Zeus2DataLoader(train)] Profile started with power limit 150W
2022-11-21 17:25:11,831 [Zeus2DataLoader(train)] Profile done with power limit 150W
2022-11-21 17:25:11,889 [Zeus2DataLoader(train)] [GPU_0] Set GPU power limit to 125W.
2022-11-21 17:25:11,889 [Zeus2DataLoader(train)] Warm-up started with power limit 125W
2022-11-21 17:25:12,497 [Zeus2DataLoader(train)] Profile started with power limit 125W
2022-11-21 17:25:14,744 [Zeus2DataLoader(train)] Profile done with power limit 125W
2022-11-21 17:25:14,802 [Zeus2DataLoader(train)] [GPU_0] Set GPU power limit to 100W.
2022-11-21 17:25:14,802 [Zeus2DataLoader(train)] Warm-up started with power limit 100W
2022-11-21 17:25:15,385 [Zeus2DataLoader(train)] Profile started with power limit 100W
Training Epoch: 0 [8/50000]	Loss: 4.6550
Training Epoch: 0 [16/50000]	Loss: 4.7149
Training Epoch: 0 [24/50000]	Loss: 4.7043
Training Epoch: 0 [32/50000]	Loss: 4.6435
Training Epoch: 0 [40/50000]	Loss: 4.6599
Training Epoch: 0 [48/50000]	Loss: 4.8400
Training Epoch: 0 [56/50000]	Loss: 4.6690
Training Epoch: 0 [64/50000]	Loss: 4.7664
Training Epoch: 0 [72/50000]	Loss: 4.6608
Training Epoch: 0 [80/50000]	Loss: 4.6049
Training Epoch: 0 [88/50000]	Loss: 4.3974
Training Epoch: 0 [96/50000]	Loss: 4.7956
Training Epoch: 0 [104/50000]	Loss: 4.8026
Training Epoch: 0 [112/50000]	Loss: 4.6234
Training Epoch: 0 [120/50000]	Loss: 4.5765
Training Epoch: 0 [128/50000]	Loss: 4.6690
Training Epoch: 0 [136/50000]	Loss: 4.9043
Training Epoch: 0 [144/50000]	Loss: 4.6074
Training Epoch: 0 [152/50000]	Loss: 4.5595
Training Epoch: 0 [160/50000]	Loss: 4.8152
Training Epoch: 0 [168/50000]	Loss: 4.7535
Training Epoch: 0 [176/50000]	Loss: 4.7081
Training Epoch: 0 [184/50000]	Loss: 4.5582
Training Epoch: 0 [192/50000]	Loss: 4.4878
Training Epoch: 0 [200/50000]	Loss: 4.8172
Training Epoch: 0 [208/50000]	Loss: 4.7334
Training Epoch: 0 [216/50000]	Loss: 4.6306
Training Epoch: 0 [224/50000]	Loss: 4.5363
Training Epoch: 0 [232/50000]	Loss: 4.5623
Training Epoch: 0 [240/50000]	Loss: 4.6132
Training Epoch: 0 [248/50000]	Loss: 4.6604
Training Epoch: 0 [256/50000]	Loss: 4.7895
Training Epoch: 0 [264/50000]	Loss: 4.5083
Training Epoch: 0 [272/50000]	Loss: 4.7963
Training Epoch: 0 [280/50000]	Loss: 4.6780
Training Epoch: 0 [288/50000]	Loss: 4.5417
Training Epoch: 0 [296/50000]	Loss: 4.7039
Training Epoch: 0 [304/50000]	Loss: 4.6833
Training Epoch: 0 [312/50000]	Loss: 4.5013
Training Epoch: 0 [320/50000]	Loss: 4.5800
Training Epoch: 0 [328/50000]	Loss: 4.7282
Training Epoch: 0 [336/50000]	Loss: 4.6216
Training Epoch: 0 [344/50000]	Loss: 4.5092
Training Epoch: 0 [352/50000]	Loss: 4.4887
Training Epoch: 0 [360/50000]	Loss: 4.7227
Training Epoch: 0 [368/50000]	Loss: 4.7034
Training Epoch: 0 [376/50000]	Loss: 4.6925
Training Epoch: 0 [384/50000]	Loss: 4.4263
Training Epoch: 0 [392/50000]	Loss: 4.6660
Training Epoch: 0 [400/50000]	Loss: 4.5050
Training Epoch: 0 [408/50000]	Loss: 4.5650
Training Epoch: 0 [416/50000]	Loss: 4.6446
Training Epoch: 0 [424/50000]	Loss: 4.6238
Training Epoch: 0 [432/50000]	Loss: 4.5381
Training Epoch: 0 [440/50000]	Loss: 4.4701
Training Epoch: 0 [448/50000]	Loss: 4.6663
Training Epoch: 0 [456/50000]	Loss: 4.8297
Training Epoch: 0 [464/50000]	Loss: 4.5791
Training Epoch: 0 [472/50000]	Loss: 4.4810
Training Epoch: 0 [480/50000]	Loss: 4.8293
Training Epoch: 0 [488/50000]	Loss: 4.6585
Training Epoch: 0 [496/50000]	Loss: 4.7976
Training Epoch: 0 [504/50000]	Loss: 4.4415
Training Epoch: 0 [512/50000]	Loss: 4.7098
Training Epoch: 0 [520/50000]	Loss: 4.4742
Training Epoch: 0 [528/50000]	Loss: 4.5884
Training Epoch: 0 [536/50000]	Loss: 4.4892
Training Epoch: 0 [544/50000]	Loss: 4.5164
Training Epoch: 0 [552/50000]	Loss: 4.5239
Training Epoch: 0 [560/50000]	Loss: 4.8230
Training Epoch: 0 [568/50000]	Loss: 4.7978
Training Epoch: 0 [576/50000]	Loss: 4.5829
Training Epoch: 0 [584/50000]	Loss: 4.7142
Training Epoch: 0 [592/50000]	Loss: 4.6038
Training Epoch: 0 [600/50000]	Loss: 4.6671
Training Epoch: 0 [608/50000]	Loss: 4.7259
Training Epoch: 0 [616/50000]	Loss: 5.1071
Training Epoch: 0 [624/50000]	Loss: 4.7090
Training Epoch: 0 [632/50000]	Loss: 4.6428
Training Epoch: 0 [640/50000]	Loss: 4.5520
Training Epoch: 0 [648/50000]	Loss: 4.7298
Training Epoch: 0 [656/50000]	Loss: 4.7004
Training Epoch: 0 [664/50000]	Loss: 4.4772
Training Epoch: 0 [672/50000]	Loss: 4.6281
Training Epoch: 0 [680/50000]	Loss: 4.6961
Training Epoch: 0 [688/50000]	Loss: 4.6065
Training Epoch: 0 [696/50000]	Loss: 4.6095
Training Epoch: 0 [704/50000]	Loss: 4.4423
Training Epoch: 0 [712/50000]	Loss: 4.9013
Training Epoch: 0 [720/50000]	Loss: 4.5978
Training Epoch: 0 [728/50000]	Loss: 4.7126
Training Epoch: 0 [736/50000]	Loss: 4.5061
Training Epoch: 0 [744/50000]	Loss: 4.8468
Training Epoch: 0 [752/50000]	Loss: 4.6028
Training Epoch: 0 [760/50000]	Loss: 4.7620
Training Epoch: 0 [768/50000]	Loss: 4.6033
Training Epoch: 0 [776/50000]	Loss: 4.7871
Training Epoch: 0 [784/50000]	Loss: 4.6572
Training Epoch: 0 [792/50000]	Loss: 4.6755
Training Epoch: 0 [800/50000]	Loss: 4.5555
Training Epoch: 0 [808/50000]	Loss: 4.6895
Training Epoch: 0 [816/50000]	Loss: 4.9628
Training Epoch: 0 [824/50000]	Loss: 4.6895
Training Epoch: 0 [832/50000]	Loss: 4.6469
Training Epoch: 0 [840/50000]	Loss: 4.6137
Training Epoch: 0 [848/50000]	Loss: 4.4840
Training Epoch: 0 [856/50000]	Loss: 4.7861
Training Epoch: 0 [864/50000]	Loss: 4.6784
Training Epoch: 0 [872/50000]	Loss: 4.6150
Training Epoch: 0 [880/50000]	Loss: 4.5783
Training Epoch: 0 [888/50000]	Loss: 4.4317
Training Epoch: 0 [896/50000]	Loss: 4.3549
Training Epoch: 0 [904/50000]	Loss: 4.5697
Training Epoch: 0 [912/50000]	Loss: 4.6049
Training Epoch: 0 [920/50000]	Loss: 4.6241
Training Epoch: 0 [928/50000]	Loss: 4.5403
Training Epoch: 0 [936/50000]	Loss: 4.6466
Training Epoch: 0 [944/50000]	Loss: 4.5788
Training Epoch: 0 [952/50000]	Loss: 4.4985
Training Epoch: 0 [960/50000]	Loss: 4.4966
Training Epoch: 0 [968/50000]	Loss: 4.6746
Training Epoch: 0 [976/50000]	Loss: 4.8504
Training Epoch: 0 [984/50000]	Loss: 4.5961
Training Epoch: 0 [992/50000]	Loss: 4.4631
Training Epoch: 0 [1000/50000]	Loss: 4.8544
Training Epoch: 0 [1008/50000]	Loss: 4.6451
Training Epoch: 0 [1016/50000]	Loss: 4.6940
Training Epoch: 0 [1024/50000]	Loss: 4.4585
Training Epoch: 0 [1032/50000]	Loss: 4.6870
Training Epoch: 0 [1040/50000]	Loss: 4.6504
Training Epoch: 0 [1048/50000]	Loss: 4.6338
Training Epoch: 0 [1056/50000]	Loss: 4.5557
Training Epoch: 0 [1064/50000]	Loss: 4.6957
Training Epoch: 0 [1072/50000]	Loss: 4.4480
Training Epoch: 0 [1080/50000]	Loss: 4.6250
Training Epoch: 0 [1088/50000]	Loss: 4.5521
Training Epoch: 0 [1096/50000]	Loss: 4.8118
Training Epoch: 0 [1104/50000]	Loss: 4.5246
Training Epoch: 0 [1112/50000]	Loss: 4.4817
