2022-11-21 17:31:21,964 [Zeus2DataLoader(train)] Power limit range: [175000, 150000, 125000, 100000]
2022-11-21 17:31:21,965 [Zeus2DataLoader(train)] Power profiling: OFF
2022-11-21 17:31:21,965 [Zeus2DataLoader(train)] Loaded /workspace/zeus_logs/cifar100+shufflenetv2+bs1024+adam+lr0.001+tm0.5+me100+x1+eta0.5+beta2.0+2022112117241669069498/bs8.power.json: {'job_id': 'rec01+try01', 'train_power': {'175000': 96.3407667612155, '150000': 97.17794051657192, '125000': 95.08908463021822, '100000': 97.16304883116102}, 'train_throughput': {'175000': 17.77667872078968, '150000': 17.703186448130953, '125000': 17.84486455469013, '100000': 17.89396662739117}, 'eval_power': {'100000': 94.44824145976635}, 'eval_throughput': {'100000': 68.6739455257964}, 'optimal_pl': 100000}
2022-11-21 17:31:21,965 [Zeus2DataLoader(train)] Steady state power limit: OPT 100W
2022-11-21 17:31:21,968 [Zeus2DataLoader(train)] [GPU_0] Set GPU power limit to 100W.
2022-11-21 17:31:24,130 [Zeus2DataLoader(train)] Up to epoch 0: time=0.00, energy=0.00, cost=0.00
2022-11-21 17:31:24,131 [Zeus2DataLoader(train)] Epoch 1 begin.
Files already downloaded and verified
Files already downloaded and verified
hello from epochs()!
0
2022-11-21 17:31:24,273 [Zeus2DataLoader(train)] [GPU_0] Zeus monitor started.
2022-11-21 17:31:24,274 [Zeus2DataLoader(train)] Steady state power limit: OPT 100W
2022-11-21 22:31:24.276 [ZeusMonitor] Monitor started.
2022-11-21 22:31:24.276 [ZeusMonitor] Running indefinitely. 2022-11-21 22:31:24.276 [ZeusMonitor] Sleeping 100ms after each poll. 
2022-11-21 22:31:24.276 [ZeusMonitor] Logfile path: /workspace/zeus_logs/cifar100+shufflenetv2+bs1024+adam+lr0.001+tm0.5+me100+x1+eta0.5+beta2.0+2022112117241669069498/bs8+e1+gpu0.power.log
Training Epoch: 0 [8/50000]	Loss: 4.7026
Training Epoch: 0 [16/50000]	Loss: 4.6170
Training Epoch: 0 [24/50000]	Loss: 4.5657
Training Epoch: 0 [32/50000]	Loss: 4.5412
Training Epoch: 0 [40/50000]	Loss: 4.6512
Training Epoch: 0 [48/50000]	Loss: 4.6411
Training Epoch: 0 [56/50000]	Loss: 4.6120
Training Epoch: 0 [64/50000]	Loss: 4.6434
Training Epoch: 0 [72/50000]	Loss: 4.7337
Training Epoch: 0 [80/50000]	Loss: 4.6871
Training Epoch: 0 [88/50000]	Loss: 4.6314
Training Epoch: 0 [96/50000]	Loss: 4.5807
Training Epoch: 0 [104/50000]	Loss: 4.6005
Training Epoch: 0 [112/50000]	Loss: 4.5687
Training Epoch: 0 [120/50000]	Loss: 4.7158
Training Epoch: 0 [128/50000]	Loss: 4.7542
Training Epoch: 0 [136/50000]	Loss: 4.5104
Training Epoch: 0 [144/50000]	Loss: 4.5065
Training Epoch: 0 [152/50000]	Loss: 4.6197
Training Epoch: 0 [160/50000]	Loss: 4.6721
Training Epoch: 0 [168/50000]	Loss: 4.7722
Training Epoch: 0 [176/50000]	Loss: 4.5277
Training Epoch: 0 [184/50000]	Loss: 4.5414
Training Epoch: 0 [192/50000]	Loss: 4.7418
Training Epoch: 0 [200/50000]	Loss: 4.7812
Training Epoch: 0 [208/50000]	Loss: 4.8582
Training Epoch: 0 [216/50000]	Loss: 4.6046
Training Epoch: 0 [224/50000]	Loss: 4.8474
Training Epoch: 0 [232/50000]	Loss: 4.8994
Training Epoch: 0 [240/50000]	Loss: 4.5868
Training Epoch: 0 [248/50000]	Loss: 4.5241
Training Epoch: 0 [256/50000]	Loss: 4.5514
Training Epoch: 0 [264/50000]	Loss: 4.5038
Training Epoch: 0 [272/50000]	Loss: 4.7054
Training Epoch: 0 [280/50000]	Loss: 4.7395
Training Epoch: 0 [288/50000]	Loss: 4.3697
Training Epoch: 0 [296/50000]	Loss: 4.6502
