Time,Power
2022-12-06 12:27:35.490941323,68141
2022-12-06 12:27:35.593319370,65079
2022-12-06 12:27:35.695712376,95597
2022-12-06 12:27:35.798046040,112430
2022-12-06 12:27:35.899775043,117366
2022-12-06 12:27:36.002069294,122114
2022-12-06 12:27:36.103834345,118300
2022-12-06 12:27:36.205519325,122901
2022-12-06 12:27:36.307220657,113001
2022-12-06 12:27:36.408930529,122482
2022-12-06 12:27:36.511584944,122718
2022-12-06 12:27:36.614172656,122361
2022-12-06 12:27:36.716827955,122415
2022-12-06 12:27:36.822158482,124228
2022-12-06 12:27:36.924628794,119690
2022-12-06 12:27:37.027238243,122718
2022-12-06 12:27:37.129584246,117696
2022-12-06 12:27:37.232284934,124411
2022-12-06 12:27:37.334520301,115604
2022-12-06 12:27:37.437168112,123387
2022-12-06 12:27:37.538907179,123321
2022-12-06 12:27:37.640645574,122664
2022-12-06 12:27:37.742340492,122718
2022-12-06 12:27:37.844071367,123402
2022-12-06 12:27:37.945732461,123321
2022-12-06 12:27:38.047458702,119690
2022-12-06 12:27:38.149134552,122415
2022-12-06 12:27:38.251687288,117091
2022-12-06 12:27:38.354298634,122600
2022-12-06 12:27:38.456602908,114167
2022-12-06 12:27:38.559315102,123338
2022-12-06 12:27:38.661021386,123020
2022-12-06 12:27:38.762697762,123267
2022-12-06 12:27:38.864539849,123020
2022-12-06 12:27:38.966231526,122847
2022-12-06 12:27:39.067927750,123020
2022-12-06 12:27:39.169658386,122107
2022-12-06 12:27:39.271408545,124411
2022-12-06 12:27:39.373133308,118300
2022-12-06 12:27:39.474791562,122901
2022-12-06 12:27:39.577105877,115118
2022-12-06 12:27:39.678810472,123992
2022-12-06 12:27:39.781122749,123925
2022-12-06 12:27:39.882823006,125735
2022-12-06 12:27:39.985125168,124228
2022-12-06 12:27:40.086817106,126522
2022-12-06 12:27:40.189159364,124530
2022-12-06 12:27:40.290873140,121504
2022-12-06 12:27:40.392634356,123976
2022-12-06 12:27:40.494330695,118602
2022-12-06 12:27:40.596082007,123204
2022-12-06 12:27:40.697825864,114211
2022-12-06 12:27:40.799547464,124948
2022-12-06 12:27:40.901902882,124714
2022-12-06 12:27:41.003632579,126036
2022-12-06 12:27:41.105892073,123925
2022-12-06 12:27:41.207610430,123753
2022-12-06 12:27:41.309938917,123321
2022-12-06 12:27:41.411696625,120597
2022-12-06 12:27:41.513377248,123321
2022-12-06 12:27:41.615092656,117393
2022-12-06 12:27:41.716825529,123204
2022-12-06 12:27:41.818516994,114955
2022-12-06 12:27:41.920247133,124897
2022-12-06 12:27:42.021978743,123925
2022-12-06 12:27:42.123680580,124777
2022-12-06 12:27:42.225966652,124228
2022-12-06 12:27:42.327673247,125616
2022-12-06 12:27:42.429940136,123925
2022-12-06 12:27:42.531666856,119435
2022-12-06 12:27:42.638570398,118390
2022-12-06 12:27:42.740307888,122901
2022-12-06 12:27:42.842586740,114653
2022-12-06 12:27:42.944344549,124596
2022-12-06 12:27:43.046015207,123070
2022-12-06 12:27:43.147749298,123086
2022-12-06 12:27:43.249437129,122718
2022-12-06 12:27:43.351153483,122546
2022-12-06 12:27:43.452847289,122718
2022-12-06 12:27:43.554535479,120295
2022-12-06 12:27:43.656268613,122718
2022-12-06 12:27:43.758550375,119206
2022-12-06 12:27:43.860311512,124110
2022-12-06 12:27:43.962622602,115604
2022-12-06 12:27:44.064361931,123690
2022-12-06 12:27:44.166060368,121208
2022-12-06 12:27:44.267781926,125432
2022-12-06 12:27:44.369497825,124228
2022-12-06 12:27:44.471171816,124056
2022-12-06 12:27:44.572853396,123321
2022-12-06 12:27:44.674581655,121456
2022-12-06 12:27:44.776280912,123321
2022-12-06 12:27:44.878569194,117740
2022-12-06 12:27:44.980305043,122901
2022-12-06 12:27:45.081994157,114092
2022-12-06 12:27:45.183708207,123086
2022-12-06 12:27:45.285393581,122415
2022-12-06 12:27:45.387152020,123871
2022-12-06 12:27:45.489423434,123624
2022-12-06 12:27:45.591113391,124006
2022-12-06 12:27:45.692815156,123321
2022-12-06 12:27:45.794513702,121504
2022-12-06 12:27:45.896219505,123321
2022-12-06 12:27:45.997938274,117437
2022-12-06 12:27:46.099642225,123204
2022-12-06 12:27:46.202244451,114394
2022-12-06 12:27:46.304883446,122600
2022-12-06 12:27:46.407436302,120905
2022-12-06 12:27:46.510056971,123871
2022-12-06 12:27:46.612350583,123020
2022-12-06 12:27:46.714994444,122664
2022-12-06 12:27:46.816755084,123020
2022-12-06 12:27:46.918440967,120597
2022-12-06 12:27:47.020414168,122718
2022-12-06 12:27:47.122083314,117393
2022-12-06 12:27:47.223791788,122901
2022-12-06 12:27:47.325484899,113789
2022-12-06 12:27:47.427229698,123387
2022-12-06 12:27:47.529944088,122465
2022-12-06 12:27:47.632584962,126339
2022-12-06 12:27:47.735187367,123925
2022-12-06 12:27:47.837767763,124710
2022-12-06 12:27:47.940116560,123321
2022-12-06 12:27:48.042779921,120851
2022-12-06 12:27:48.145047107,123321
2022-12-06 12:27:48.247665531,117997
2022-12-06 12:27:48.349871402,123204
2022-12-06 12:27:48.455725174,123644
2022-12-06 12:27:48.558013201,120604
2022-12-06 12:27:48.660663047,124343
2022-12-06 12:27:48.763368174,123321
2022-12-06 12:27:48.865979942,122664
2022-12-06 12:27:48.968866424,123321
2022-12-06 12:27:49.071504643,121504
2022-12-06 12:27:49.174147829,123020
2022-12-06 12:27:49.276702469,118783
2022-12-06 12:27:49.379412640,123204
2022-12-06 12:27:49.481982312,116346
2022-12-06 12:27:49.584689402,123690
2022-12-06 12:27:49.686902343,119141
2022-12-06 12:27:49.789616544,123086
2022-12-06 12:27:49.891846095,123020
2022-12-06 12:27:49.994495333,122664
2022-12-06 12:27:50.096814709,122718
2022-12-06 12:27:50.199435917,124710
2022-12-06 12:27:50.302057512,124279
2022-12-06 12:27:50.404726898,121249
2022-12-06 12:27:50.507349991,124160
2022-12-06 12:27:50.609493008,116996
2022-12-06 12:27:50.711147922,124160
2022-12-06 12:27:50.813466039,116888
2022-12-06 12:27:50.915187735,124897
2022-12-06 12:27:51.017449290,123925
2022-12-06 12:27:51.119133949,124827
2022-12-06 12:27:51.220847375,123624
2022-12-06 12:27:51.323449561,124710
2022-12-06 12:27:51.425238119,124530
2022-12-06 12:27:51.526940649,118481
2022-12-06 12:27:51.628631270,123204
2022-12-06 12:27:51.730316432,116694
2022-12-06 12:27:51.832050388,122901
2022-12-06 12:27:51.933735326,117372
2022-12-06 12:27:52.035441794,123387
2022-12-06 12:27:52.137144212,123624
2022-12-06 12:27:52.239797518,122361
2022-12-06 12:27:52.342072919,122415
2022-12-06 12:27:52.444760284,123619
2022-12-06 12:27:52.546739321,123976
2022-12-06 12:27:52.648445050,120645
2022-12-06 12:27:52.750707980,123807
2022-12-06 12:27:52.852454890,116907
2022-12-06 12:27:52.954139574,123204
2022-12-06 12:27:53.056801850,116539
2022-12-06 12:27:53.158520891,122737
2022-12-06 12:27:53.260239885,122415
2022-12-06 12:27:53.361940604,123267
2022-12-06 12:27:53.463710144,123020
2022-12-06 12:27:53.569093805,122415
2022-12-06 12:27:53.671358738,119086
2022-12-06 12:27:53.773972427,122600
2022-12-06 12:27:53.876331899,116001
2022-12-06 12:27:53.978045826,124714
2022-12-06 12:27:54.079779827,117933
2022-12-06 12:27:54.181465525,125200
2022-12-06 12:27:54.283126895,123624
2022-12-06 12:27:54.384838352,123871
2022-12-06 12:27:54.486513600,123020
2022-12-06 12:27:54.589170691,124710
2022-12-06 12:27:54.691841918,124530
2022-12-06 12:27:54.794426763,119992
2022-12-06 12:27:54.897082050,123204
2022-12-06 12:27:54.999757623,116046
2022-12-06 12:27:55.102451370,124110
2022-12-06 12:27:55.204776858,117720
2022-12-06 12:27:55.306523586,124596
2022-12-06 12:27:55.408885882,123624
2022-12-06 12:27:55.510695979,122966
2022-12-06 12:27:55.612487349,123020
2022-12-06 12:27:55.714183866,124660
2022-12-06 12:27:55.815912264,124228
2022-12-06 12:27:55.917619138,121504
2022-12-06 12:27:56.019315981,124411
2022-12-06 12:27:56.121038638,117437
2022-12-06 12:27:56.222704890,124714
2022-12-06 12:27:56.325000751,117025
2022-12-06 12:27:56.426695438,124897
2022-12-06 12:27:56.529007261,123925
2022-12-06 12:27:56.630736357,126036
2022-12-06 12:27:56.733048235,123925
2022-12-06 12:27:56.834734960,125313
2022-12-06 12:27:56.937071736,123925
2022-12-06 12:27:57.039674678,119992
2022-12-06 12:27:57.142012471,122718
2022-12-06 12:27:57.244688261,117438
2022-12-06 12:27:57.347348129,124714
2022-12-06 12:27:57.449951520,116024
2022-12-06 12:27:57.552702472,124293
2022-12-06 12:27:57.655340551,123925
2022-12-06 12:27:57.758031926,125080
2022-12-06 12:27:57.860643232,123925
2022-12-06 12:27:57.963370510,126052
2022-12-06 12:27:58.065614360,124228
2022-12-06 12:27:58.168271691,119690
2022-12-06 12:27:58.270502061,123807
2022-12-06 12:27:58.373150687,118346
2022-12-06 12:27:58.475502281,122901
2022-12-06 12:27:58.578119662,114771
2022-12-06 12:27:58.683850014,123321
2022-12-06 12:27:58.786498709,123871
2022-12-06 12:27:58.889143860,123020
2022-12-06 12:27:58.991853242,126353
2022-12-06 12:27:59.094486555,124530
2022-12-06 12:27:59.197080272,119690
2022-12-06 12:27:59.299719501,122415
2022-12-06 12:27:59.402255982,117696
2022-12-06 12:27:59.504933318,123506
2022-12-06 12:27:59.607233911,115074
2022-12-06 12:27:59.709956997,123387
2022-12-06 12:27:59.812196159,123321
2022-12-06 12:27:59.914823427,123570
2022-12-06 12:28:00.017172611,123020
2022-12-06 12:28:00.119866027,122801
2022-12-06 12:28:00.222477952,122718
2022-12-06 12:28:00.325153689,120295
2022-12-06 12:28:00.427796213,123020
2022-12-06 12:28:00.530462593,117696
2022-12-06 12:28:00.633168522,124411
2022-12-06 12:28:00.735740631,115118
2022-12-06 12:28:00.838373954,123387
2022-12-06 12:28:00.940147817,124110
2022-12-06 12:28:01.041889784,123570
2022-12-06 12:28:01.143597600,123321
2022-12-06 12:28:01.245289271,122197
2022-12-06 12:28:01.347378710,122718
2022-12-06 12:28:01.449149715,118481
2022-12-06 12:28:01.550852539,122114
2022-12-06 12:28:01.652658975,115441
2022-12-06 12:28:01.754357859,122600
2022-12-06 12:28:01.857075466,117069
2022-12-06 12:28:01.959799490,123338
2022-12-06 12:28:02.062475370,123321
2022-12-06 12:28:02.165238723,122966
2022-12-06 12:28:02.267603025,123020
2022-12-06 12:28:02.369385215,123802
2022-12-06 12:28:02.471652816,124228
2022-12-06 12:28:02.574297261,119086
2022-12-06 12:28:02.676667749,123204
2022-12-06 12:28:02.779384531,116302
2022-12-06 12:28:02.881702864,122600
2022-12-06 12:28:02.983543776,117328
2022-12-06 12:28:03.085255537,123992
2022-12-06 12:28:03.187601729,123321
2022-12-06 12:28:03.289301138,122966
2022-12-06 12:28:03.396378296,122243
2022-12-06 12:28:03.499011685,123624
2022-12-06 12:28:03.601365431,121249
2022-12-06 12:28:03.704150772,124462
2022-12-06 12:28:03.806490778,115441
2022-12-06 12:28:03.908204495,122600
2022-12-06 12:28:04.010419422,118839
2022-12-06 12:28:04.112202257,123992
2022-12-06 12:28:04.213878776,123624
2022-12-06 12:28:04.315552747,126773
2022-12-06 12:28:04.417215129,124228
2022-12-06 12:28:04.519831989,122847
2022-12-06 12:28:04.622418584,123925
2022-12-06 12:28:04.724775551,121806
2022-12-06 12:28:04.826450528,124765
2022-12-06 12:28:04.929017827,116650
2022-12-06 12:28:05.030754840,125251
2022-12-06 12:28:05.132501495,119490
2022-12-06 12:28:05.234175254,123387
2022-12-06 12:28:05.336478864,123321
2022-12-06 12:28:05.438163573,126170
2022-12-06 12:28:05.539859591,124228
2022-12-06 12:28:05.641564766,123753
2022-12-06 12:28:05.743318938,124228
2022-12-06 12:28:05.845010032,121201
2022-12-06 12:28:05.946671249,124411
2022-12-06 12:28:06.048425140,116952
2022-12-06 12:28:06.150136125,124411
2022-12-06 12:28:06.252528137,118234
2022-12-06 12:28:06.354246964,123690
2022-12-06 12:28:06.456496501,123020
2022-12-06 12:28:06.558218899,122966
2022-12-06 12:28:06.660567630,122718
2022-12-06 12:28:06.762285154,122243
2022-12-06 12:28:06.864074498,122415
2022-12-06 12:28:06.965777730,119086
2022-12-06 12:28:07.067474672,122718
2022-12-06 12:28:07.169209849,116605
2022-12-06 12:28:07.270873686,122901
2022-12-06 12:28:07.372579795,115979
2022-12-06 12:28:07.474260794,125200
2022-12-06 12:28:07.576597181,123925
2022-12-06 12:28:07.678295546,124777
2022-12-06 12:28:07.780726459,123624
2022-12-06 12:28:07.883435374,123150
2022-12-06 12:28:07.985771059,123321
2022-12-06 12:28:08.087493714,119341
2022-12-06 12:28:08.189727874,123506
2022-12-06 12:28:08.292366796,117696
2022-12-06 12:28:08.394674174,123204
2022-12-06 12:28:08.497322020,115302
2022-12-06 12:28:08.599959782,123387
2022-12-06 12:28:08.702528378,123321
2022-12-06 12:28:08.805238450,125381
2022-12-06 12:28:08.911807765,124010
2022-12-06 12:28:09.014447535,123321
2022-12-06 12:28:09.117221135,120203
2022-12-06 12:28:09.219885073,122415
2022-12-06 12:28:09.322305525,117997
2022-12-06 12:28:09.424996045,122901
2022-12-06 12:28:09.527212034,114955
2022-12-06 12:28:09.629872952,123690
2022-12-06 12:28:09.732145842,121510
2022-12-06 12:28:09.834814682,124174
2022-12-06 12:28:09.937148718,123624
2022-12-06 12:28:10.039718918,124357
2022-12-06 12:28:10.142350563,123321
2022-12-06 12:28:10.245030043,123316
2022-12-06 12:28:10.347659681,124530
2022-12-06 12:28:10.450330933,120597
2022-12-06 12:28:10.553037545,124110
2022-12-06 12:28:10.655623248,116605
2022-12-06 12:28:10.758267123,123338
2022-12-06 12:28:10.860609183,120048
2022-12-06 12:28:10.962306787,123570
2022-12-06 12:28:11.064057115,123321
2022-12-06 12:28:11.166695876,125566
2022-12-06 12:28:11.269121152,124228
2022-12-06 12:28:11.371815023,120851
2022-12-06 12:28:11.474109090,123020
2022-12-06 12:28:11.576797150,118300
2022-12-06 12:28:11.679445360,123506
2022-12-06 12:28:11.781189922,114999
2022-12-06 12:28:11.882910230,123387
2022-12-06 12:28:11.984622399,120604
2022-12-06 12:28:12.087197713,125080
2022-12-06 12:28:12.189820934,123925
2022-12-06 12:28:12.292515215,125867
2022-12-06 12:28:12.394760478,124228
2022-12-06 12:28:12.497420328,122410
2022-12-06 12:28:12.599140088,123321
2022-12-06 12:28:12.700834423,117696
2022-12-06 12:28:12.802504069,123506
2022-12-06 12:28:12.905123466,114697
2022-12-06 12:28:13.007736058,124293
2022-12-06 12:28:13.110346071,121811
2022-12-06 12:28:13.213043204,123086
2022-12-06 12:28:13.315665082,123321
2022-12-06 12:28:13.417404531,123753
2022-12-06 12:28:13.519095868,123321
2022-12-06 12:28:13.625040384,123020
2022-12-06 12:28:13.726751029,118784
2022-12-06 12:28:13.828519242,123204
2022-12-06 12:28:13.930796727,115213
2022-12-06 12:28:14.033431588,123387
2022-12-06 12:28:14.135739077,119698
2022-12-06 12:28:14.238344745,125735
2022-12-06 12:28:14.340729692,124228
2022-12-06 12:28:14.443414830,124827
2022-12-06 12:28:14.546076470,123624
2022-12-06 12:28:14.648720035,121806
2022-12-06 12:28:14.751342006,123020
2022-12-06 12:28:14.853944677,118436
2022-12-06 12:28:14.956628471,123204
2022-12-06 12:28:15.059290978,116605
2022-12-06 12:28:15.161927810,123338
2022-12-06 12:28:15.264258466,118536
2022-12-06 12:28:15.365979696,125502
2022-12-06 12:28:15.468207185,123624
2022-12-06 12:28:15.570801624,125684
2022-12-06 12:28:15.673110200,124228
2022-12-06 12:28:15.775786408,125012
2022-12-06 12:28:15.878164559,124228
2022-12-06 12:28:15.980870370,121806
2022-12-06 12:28:16.083521856,124765
2022-12-06 12:28:16.186200174,117255
2022-12-06 12:28:16.288903136,123506
2022-12-06 12:28:16.391630695,117071
2022-12-06 12:28:16.494243676,123992
2022-12-06 12:28:16.596892133,123624
2022-12-06 12:28:16.699586252,124476
2022-12-06 12:28:16.801904373,123624
2022-12-06 12:28:16.903612718,122847
2022-12-06 12:28:17.005824987,123573
2022-12-06 12:28:17.108452788,119040
2022-12-06 12:28:17.210880245,123456
