[Zeus Master] Job(cifar100,shufflenetv2,adadelta,0.8,bs128~100) x 100
[Zeus Master] Batch sizes: [128]
[Zeus Master] Learning rates: [0.01, 0.1]
[run job] Launching job with BS 128: and LR: 0.01
[run job] zeus_env={'ZEUS_LOG_DIR': '/workspace/zeus_logs/cifar100+shufflenetv2+bs128+adadelta+lr0.1+tm0.8+me100+x100+eta0.5+beta2.0+2022120603371670315835', 'ZEUS_JOB_ID': 'rec00+try01', 'ZEUS_COST_THRESH': 'inf', 'ZEUS_ETA_KNOB': '0.5', 'ZEUS_TARGET_METRIC': '0.8', 'ZEUS_MONITOR_PATH': '/workspace/zeus/zeus_monitor/zeus_monitor', 'ZEUS_PROFILE_PARAMS': '10,40', 'ZEUS_USE_OPTIMAL_PL': 'True'}
[run job] cwd=/workspace/zeus/examples/cifar100
[run job] command=['python', 'train_lr.py', '--zeus', '--arch', 'shufflenetv2', '--batch_size', '128', '--epochs', '100', '--seed', '1', '--learning_rate', '0.01']
[run job] cost_ub=inf
[run job] Job output logged to '/workspace/zeus_logs/cifar100+shufflenetv2+bs128+adadelta+lr0.1+tm0.8+me100+x100+eta0.5+beta2.0+2022120603371670315835/rec00+try01.train.log'
2022-12-06 03:37:19,582 [ZeusDataLoader(train)] Distributed data parallel: OFF
2022-12-06 03:37:19,623 [ZeusDataLoader(train)] Power limit range: [175000, 150000, 125000, 100000]
2022-12-06 03:37:19,624 [ZeusDataLoader(train)] Power profiling: ON
2022-12-06 03:37:22,214 [ZeusDataLoader(train)] Up to epoch 0: time=0.00, energy=0.00, cost=0.00
2022-12-06 03:37:22,215 [ZeusDataLoader(train)] Epoch 1 begin.
Files already downloaded and verified
Files already downloaded and verified
2022-12-06 03:37:22,383 [ZeusDataLoader(train)] [GPU_0] Zeus monitor started.
2022-12-06 08:37:22.398 [ZeusMonitor] Monitor started.
2022-12-06 08:37:22.398 [ZeusMonitor] Running indefinitely. 2022-12-06 08:37:22.398 [ZeusMonitor] Sleeping 100ms after each poll. 
2022-12-06 08:37:22.398 [ZeusMonitor] Logfile path: /workspace/zeus_logs/cifar100+shufflenetv2+bs128+adadelta+lr0.1+tm0.8+me100+x100+eta0.5+beta2.0+2022120603371670315835/bs128+e1+gpu0.power.log
2022-12-06 03:37:22,452 [ZeusDataLoader(train)] [GPU_0] Set GPU power limit to 175W.
2022-12-06 03:37:22,452 [ZeusDataLoader(train)] Warm-up started with power limit 175W
2022-12-06 03:37:25,371 [ZeusDataLoader(train)] Profile started with power limit 175W
2022-12-06 03:37:34,204 [ZeusDataLoader(train)] Profile done with power limit 175W
2022-12-06 03:37:34,426 [ZeusDataLoader(train)] [GPU_0] Set GPU power limit to 150W.
2022-12-06 03:37:34,426 [ZeusDataLoader(train)] Warm-up started with power limit 150W
2022-12-06 03:37:36,729 [ZeusDataLoader(train)] Profile started with power limit 150W
2022-12-06 03:37:45,552 [ZeusDataLoader(train)] Profile done with power limit 150W
2022-12-06 03:37:45,775 [ZeusDataLoader(train)] [GPU_0] Set GPU power limit to 125W.
2022-12-06 03:37:45,775 [ZeusDataLoader(train)] Warm-up started with power limit 125W
2022-12-06 03:37:48,097 [ZeusDataLoader(train)] Profile started with power limit 125W
2022-12-06 03:37:56,923 [ZeusDataLoader(train)] Profile done with power limit 125W
2022-12-06 03:37:57,149 [ZeusDataLoader(train)] [GPU_0] Set GPU power limit to 100W.
2022-12-06 03:37:57,149 [ZeusDataLoader(train)] Warm-up started with power limit 100W
2022-12-06 03:37:59,768 [ZeusDataLoader(train)] Profile started with power limit 100W
Training Epoch: 0 [128/50048]	Loss: 4.6535
Training Epoch: 0 [256/50048]	Loss: 4.8435
Training Epoch: 0 [384/50048]	Loss: 4.9288
Training Epoch: 0 [512/50048]	Loss: 4.7388
Training Epoch: 0 [640/50048]	Loss: 4.9147
Training Epoch: 0 [768/50048]	Loss: 4.8302
Training Epoch: 0 [896/50048]	Loss: 4.8936
Training Epoch: 0 [1024/50048]	Loss: 4.7801
Training Epoch: 0 [1152/50048]	Loss: 4.8947
Training Epoch: 0 [1280/50048]	Loss: 4.8014
Training Epoch: 0 [1408/50048]	Loss: 4.7598
Training Epoch: 0 [1536/50048]	Loss: 4.6527
Training Epoch: 0 [1664/50048]	Loss: 4.9387
Training Epoch: 0 [1792/50048]	Loss: 4.6624
Training Epoch: 0 [1920/50048]	Loss: 4.8130
Training Epoch: 0 [2048/50048]	Loss: 4.6574
Training Epoch: 0 [2176/50048]	Loss: 4.9271
Training Epoch: 0 [2304/50048]	Loss: 4.8007
Training Epoch: 0 [2432/50048]	Loss: 4.6673
Training Epoch: 0 [2560/50048]	Loss: 4.6633
Training Epoch: 0 [2688/50048]	Loss: 4.6848
Training Epoch: 0 [2816/50048]	Loss: 4.6425
Training Epoch: 0 [2944/50048]	Loss: 4.6134
Training Epoch: 0 [3072/50048]	Loss: 4.6258
Training Epoch: 0 [3200/50048]	Loss: 4.7523
Training Epoch: 0 [3328/50048]	Loss: 4.6538
Training Epoch: 0 [3456/50048]	Loss: 4.4921
Training Epoch: 0 [3584/50048]	Loss: 4.5436
Training Epoch: 0 [3712/50048]	Loss: 4.6053
Training Epoch: 0 [3840/50048]	Loss: 4.5095
Training Epoch: 0 [3968/50048]	Loss: 4.6131
Training Epoch: 0 [4096/50048]	Loss: 4.6529
Training Epoch: 0 [4224/50048]	Loss: 4.6396
Training Epoch: 0 [4352/50048]	Loss: 4.6302
Training Epoch: 0 [4480/50048]	Loss: 4.5185
Training Epoch: 0 [4608/50048]	Loss: 4.4671
Training Epoch: 0 [4736/50048]	Loss: 4.4941
Training Epoch: 0 [4864/50048]	Loss: 4.4424
Training Epoch: 0 [4992/50048]	Loss: 4.5448
Training Epoch: 0 [5120/50048]	Loss: 4.5122
Training Epoch: 0 [5248/50048]	Loss: 4.4714
Training Epoch: 0 [5376/50048]	Loss: 4.3930
Training Epoch: 0 [5504/50048]	Loss: 4.4211
Training Epoch: 0 [5632/50048]	Loss: 4.4188
Training Epoch: 0 [5760/50048]	Loss: 4.5209
Training Epoch: 0 [5888/50048]	Loss: 4.4019
Training Epoch: 0 [6016/50048]	Loss: 4.2172
Training Epoch: 0 [6144/50048]	Loss: 4.1616
Training Epoch: 0 [6272/50048]	Loss: 4.6102
Training Epoch: 0 [6400/50048]	Loss: 4.2738
Training Epoch: 0 [6528/50048]	Loss: 4.2269
Training Epoch: 0 [6656/50048]	Loss: 4.4696
Training Epoch: 0 [6784/50048]	Loss: 4.3207
Training Epoch: 0 [6912/50048]	Loss: 4.4155
Training Epoch: 0 [7040/50048]	Loss: 4.2409
Training Epoch: 0 [7168/50048]	Loss: 4.3105
Training Epoch: 0 [7296/50048]	Loss: 4.4554
Training Epoch: 0 [7424/50048]	Loss: 4.3159
Training Epoch: 0 [7552/50048]	Loss: 4.2177
Training Epoch: 0 [7680/50048]	Loss: 4.3220
Training Epoch: 0 [7808/50048]	Loss: 4.3650
Training Epoch: 0 [7936/50048]	Loss: 4.3066
Training Epoch: 0 [8064/50048]	Loss: 4.1930
Training Epoch: 0 [8192/50048]	Loss: 4.2341
Training Epoch: 0 [8320/50048]	Loss: 4.3697
Training Epoch: 0 [8448/50048]	Loss: 4.2056
