2022-12-06 08:38:21,677 [ZeusDataLoader(train)] Distributed data parallel: OFF
2022-12-06 08:38:21,718 [ZeusDataLoader(train)] Power limit range: [175000, 150000, 125000, 100000]
2022-12-06 08:38:21,718 [ZeusDataLoader(train)] Power profiling: OFF
2022-12-06 08:38:21,719 [ZeusDataLoader(train)] Loaded /workspace/zeus_logs/cifar100+shufflenetv2+bs128+adadelta+lr0.1+tm0.8+me100+x100+eta0.5+beta2.0+2022120603371670315835/bs128+lr0.0100000.power.json: {'job_id': 'rec00+try01', 'train_power': {'175000': 120.25616099179643, '150000': 120.91003189146555, '125000': 121.11901311576284, '100000': 98.69303482927677}, 'train_throughput': {'175000': 4.544606647863609, '150000': 4.5365038969654385, '125000': 4.536710151601713, '100000': 3.9448251884904706}, 'eval_power': {'175000': 120.03848402041383}, 'eval_throughput': {'175000': 20.996480248389204}, 'optimal_pl': 175000}
2022-12-06 08:38:21,719 [ZeusDataLoader(train)] Steady state power limit: OPT 175W
2022-12-06 08:38:21,722 [ZeusDataLoader(train)] [GPU_0] Set GPU power limit to 175W.
2022-12-06 08:38:23,759 [ZeusDataLoader(train)] Up to epoch 0: time=0.00, energy=0.00, cost=0.00
2022-12-06 08:38:23,760 [ZeusDataLoader(train)] Epoch 1 begin.
Files already downloaded and verified
Files already downloaded and verified
2022-12-06 08:38:23,975 [ZeusDataLoader(train)] [GPU_0] Zeus monitor started.
2022-12-06 08:38:23,976 [ZeusDataLoader(train)] Steady state power limit: OPT 175W
2022-12-06 13:38:23.979 [ZeusMonitor] Monitor started.
2022-12-06 13:38:23.979 [ZeusMonitor] Running indefinitely. 2022-12-06 13:38:23.979 [ZeusMonitor] Sleeping 100ms after each poll. 
2022-12-06 13:38:23.979 [ZeusMonitor] Logfile path: /workspace/zeus_logs/cifar100+shufflenetv2+bs128+adadelta+lr0.1+tm0.8+me100+x100+eta0.5+beta2.0+2022120603371670315835/bs128+e1+gpu0.power.log
Training Epoch: 0 [128/50048]	Loss: 4.6535
Training Epoch: 0 [256/50048]	Loss: 4.8435
Training Epoch: 0 [384/50048]	Loss: 4.9286
Training Epoch: 0 [512/50048]	Loss: 4.7509
Training Epoch: 0 [640/50048]	Loss: 4.8855
Training Epoch: 0 [768/50048]	Loss: 4.8443
Training Epoch: 0 [896/50048]	Loss: 4.9051
Training Epoch: 0 [1024/50048]	Loss: 4.8013
Training Epoch: 0 [1152/50048]	Loss: 4.9079
Training Epoch: 0 [1280/50048]	Loss: 4.7993
Training Epoch: 0 [1408/50048]	Loss: 4.7607
Training Epoch: 0 [1536/50048]	Loss: 4.6563
Training Epoch: 0 [1664/50048]	Loss: 4.9268
Training Epoch: 0 [1792/50048]	Loss: 4.7641
Training Epoch: 0 [1920/50048]	Loss: 4.8524
Training Epoch: 0 [2048/50048]	Loss: 4.6732
Training Epoch: 0 [2176/50048]	Loss: 4.9451
Training Epoch: 0 [2304/50048]	Loss: 4.8089
Training Epoch: 0 [2432/50048]	Loss: 4.6640
Training Epoch: 0 [2560/50048]	Loss: 4.7273
Training Epoch: 0 [2688/50048]	Loss: 4.7301
Training Epoch: 0 [2816/50048]	Loss: 4.5149
Training Epoch: 0 [2944/50048]	Loss: 4.5849
Training Epoch: 0 [3072/50048]	Loss: 4.6186
Training Epoch: 0 [3200/50048]	Loss: 4.7666
Training Epoch: 0 [3328/50048]	Loss: 4.6405
Training Epoch: 0 [3456/50048]	Loss: 4.5039
Training Epoch: 0 [3584/50048]	Loss: 4.5375
Training Epoch: 0 [3712/50048]	Loss: 4.6822
Training Epoch: 0 [3840/50048]	Loss: 4.4813
Training Epoch: 0 [3968/50048]	Loss: 4.5911
Training Epoch: 0 [4096/50048]	Loss: 4.6608
Training Epoch: 0 [4224/50048]	Loss: 4.6271
Training Epoch: 0 [4352/50048]	Loss: 4.5941
Training Epoch: 0 [4480/50048]	Loss: 4.4548
Training Epoch: 0 [4608/50048]	Loss: 4.5075
Training Epoch: 0 [4736/50048]	Loss: 4.5760
