Time,Power
2022-12-06 17:50:29.796954601,72336
2022-12-06 17:50:29.898724060,72268
2022-12-06 17:50:30.004999738,76774
2022-12-06 17:50:30.107466145,78692
2022-12-06 17:50:30.209873277,78757
2022-12-06 17:50:30.312443207,79225
2022-12-06 17:50:30.414650961,79066
2022-12-06 17:50:30.517037220,79311
2022-12-06 17:50:30.619164570,79252
2022-12-06 17:50:30.721152985,79311
2022-12-06 17:50:30.823338251,79817
2022-12-06 17:50:30.925486793,79895
2022-12-06 17:50:31.027777700,79817
2022-12-06 17:50:31.130084346,79548
2022-12-06 17:50:31.232200938,79806
2022-12-06 17:50:31.334687628,79806
2022-12-06 17:50:31.437075937,79857
2022-12-06 17:50:31.539521480,79806
2022-12-06 17:50:31.641657522,79895
2022-12-06 17:50:31.743723403,79817
2022-12-06 17:50:31.845911263,79857
2022-12-06 17:50:31.947720650,80114
2022-12-06 17:50:32.049741029,80351
2022-12-06 17:50:32.151657154,80153
2022-12-06 17:50:32.253932936,80351
2022-12-06 17:50:32.356394173,80193
2022-12-06 17:50:32.458500114,79817
2022-12-06 17:50:32.560770461,80153
2022-12-06 17:50:32.662824030,80141
2022-12-06 17:50:32.765332586,80410
2022-12-06 17:50:32.867543110,80180
2022-12-06 17:50:32.969445348,80311
2022-12-06 17:50:33.071529254,80417
2022-12-06 17:50:33.173815372,80647
2022-12-06 17:50:33.275600835,80674
2022-12-06 17:50:33.377404313,80674
2022-12-06 17:50:33.479248492,80634
2022-12-06 17:50:33.581516879,80417
2022-12-06 17:50:33.683800853,80634
2022-12-06 17:50:33.785975970,80713
2022-12-06 17:50:33.887849497,80351
2022-12-06 17:50:33.989869740,80647
2022-12-06 17:50:34.091610172,80686
2022-12-06 17:50:34.193565143,80931
2022-12-06 17:50:34.296091382,80489
2022-12-06 17:50:34.398024793,80114
2022-12-06 17:50:34.500113047,80417
2022-12-06 17:50:34.601966947,80378
2022-12-06 17:50:34.703929718,80114
2022-12-06 17:50:34.805702549,79884
2022-12-06 17:50:34.907585842,80074
2022-12-06 17:50:35.009855716,80153
2022-12-06 17:50:35.111778770,80647
2022-12-06 17:50:35.214078806,80634
2022-12-06 17:50:35.320404205,80351
2022-12-06 17:50:35.422207433,80713
2022-12-06 17:50:35.524206895,80647
2022-12-06 17:50:35.626247622,80686
2022-12-06 17:50:35.728012592,80141
2022-12-06 17:50:35.829755208,80054
2022-12-06 17:50:35.931627419,79857
2022-12-06 17:50:36.033466452,80647
2022-12-06 17:50:36.135440101,80417
2022-12-06 17:50:36.237359879,80114
2022-12-06 17:50:36.339335663,80141
2022-12-06 17:50:36.441388217,80674
2022-12-06 17:50:36.543132596,80338
2022-12-06 17:50:36.645210711,80378
2022-12-06 17:50:36.747547298,80634
2022-12-06 17:50:36.849326435,80686
2022-12-06 17:50:36.951140589,80634
2022-12-06 17:50:37.053041743,80647
2022-12-06 17:50:37.155477469,80674
2022-12-06 17:50:37.257752878,80647
2022-12-06 17:50:37.359701285,80713
2022-12-06 17:50:37.461849534,80931
2022-12-06 17:50:37.564237299,80674
2022-12-06 17:50:37.666508512,80647
2022-12-06 17:50:37.768285149,80647
2022-12-06 17:50:37.870348271,80153
2022-12-06 17:50:37.972671712,80647
2022-12-06 17:50:38.074919093,80417
2022-12-06 17:50:38.176707899,80970
2022-12-06 17:50:38.278997755,80943
2022-12-06 17:50:38.381324314,80970
2022-12-06 17:50:38.483579504,80931
2022-12-06 17:50:38.586031559,80983
2022-12-06 17:50:38.688285496,80647
2022-12-06 17:50:38.790547445,80983
2022-12-06 17:50:38.892887574,80674
2022-12-06 17:50:38.995255874,80931
2022-12-06 17:50:39.097292970,80674
2022-12-06 17:50:39.199271145,80634
2022-12-06 17:50:39.301358302,80713
2022-12-06 17:50:39.403462613,80970
2022-12-06 17:50:39.505464250,80970
2022-12-06 17:50:39.607665852,80970
2022-12-06 17:50:39.709964132,80647
2022-12-06 17:50:39.812242456,80983
2022-12-06 17:50:39.914475837,80943
2022-12-06 17:50:40.016772353,80713
