Time,Power
2022-11-02 20:32:48.291018631,91313
2022-11-02 20:32:48.393386283,85382
2022-11-02 20:32:48.495705276,82771
2022-11-02 20:32:48.598036763,81873
2022-11-02 20:32:48.700411892,81595
2022-11-02 20:32:48.802720450,81595
2022-11-02 20:32:48.905105291,81291
2022-11-02 20:32:49.008096715,81266
2022-11-02 20:32:49.110498212,93270
2022-11-02 20:32:49.212915075,128973
2022-11-02 20:32:49.315235718,144405
2022-11-02 20:32:49.417599245,152393
2022-11-02 20:32:49.520036881,156065
2022-11-02 20:32:49.622413430,157200
2022-11-02 20:32:49.724767304,157491
2022-11-02 20:32:49.827111440,159416
2022-11-02 20:32:49.929482948,162332
2022-11-02 20:32:50.032211212,160084
2022-11-02 20:32:50.134583721,158825
2022-11-02 20:32:50.236994836,156423
2022-11-02 20:32:50.339324272,158051
2022-11-02 20:32:50.441704474,153777
2022-11-02 20:32:50.544923799,140449
2022-11-02 20:32:50.647265288,146759
2022-11-02 20:32:50.749618641,151609
2022-11-02 20:32:50.852010186,156423
2022-11-02 20:32:50.958416907,156358
2022-11-02 20:32:51.060207235,157433
2022-11-02 20:32:51.161919133,158517
2022-11-02 20:32:51.265067656,161825
2022-11-02 20:32:51.366784794,159635
2022-11-02 20:32:51.468510250,158767
2022-11-02 20:32:51.570229155,152517
2022-11-02 20:32:51.671943775,154561
2022-11-02 20:32:51.773672462,149958
2022-11-02 20:32:51.875393263,137903
2022-11-02 20:32:51.977763743,147360
2022-11-02 20:32:52.080139087,152209
2022-11-02 20:32:52.182489044,155880
2022-11-02 20:32:52.284847525,159009
2022-11-02 20:32:52.386575169,156056
2022-11-02 20:32:52.488302766,157491
2022-11-02 20:32:52.590017308,160200
2022-11-02 20:32:52.691745532,160684
2022-11-02 20:32:52.793439229,160026
2022-11-02 20:32:52.895179235,159542
2022-11-02 20:32:52.996932618,153961
2022-11-02 20:32:53.098654926,156965
2022-11-02 20:32:53.200513990,151675
2022-11-02 20:32:53.303197715,140023
2022-11-02 20:32:53.405921716,148805
2022-11-02 20:32:53.508622724,153410
