Time,Power
2022-12-08 21:36:20.209639191,71836
2022-12-08 21:36:20.312272466,71843
2022-12-08 21:36:20.414942218,71836
2022-12-08 21:36:20.517551093,72014
2022-12-08 21:36:20.619521240,73176
2022-12-08 21:36:20.721471079,73486
2022-12-08 21:36:20.823936307,73566
2022-12-08 21:36:20.926145387,73403
2022-12-08 21:36:21.028800039,73482
2022-12-08 21:36:21.130761079,73297
2022-12-08 21:36:21.232685313,90508
2022-12-08 21:36:21.334676808,99605
2022-12-08 21:36:21.437509560,104210
2022-12-08 21:36:21.545155303,113145
2022-12-08 21:36:21.647693345,115814
2022-12-08 21:36:21.749699986,128318
2022-12-08 21:36:21.851918109,135191
2022-12-08 21:36:21.953843260,143990
2022-12-08 21:36:22.055794050,146357
2022-12-08 21:36:22.158685965,148467
2022-12-08 21:36:22.261524712,147664
2022-12-08 21:36:22.365301597,147110
2022-12-08 21:36:22.468266552,148894
2022-12-08 21:36:22.570297326,144638
2022-12-08 21:36:22.672229541,148513
2022-12-08 21:36:22.774127903,142666
2022-12-08 21:36:22.877195717,148487
2022-12-08 21:36:22.979316546,139958
2022-12-08 21:36:23.081263820,148136
2022-12-08 21:36:23.183245858,146840
2022-12-08 21:36:23.285243707,148817
2022-12-08 21:36:23.387300931,148014
2022-12-08 21:36:23.489288553,147617
2022-12-08 21:36:23.591809499,147720
2022-12-08 21:36:23.693770949,145965
2022-12-08 21:36:23.795874688,148014
2022-12-08 21:36:23.897824186,146023
2022-12-08 21:36:23.999799750,148807
2022-12-08 21:36:24.102298900,130627
2022-12-08 21:36:24.205066636,101857
2022-12-08 21:36:24.307659646,91688
2022-12-08 21:36:24.410807575,123785
2022-12-08 21:36:24.513876815,139826
2022-12-08 21:36:24.615928584,147239
2022-12-08 21:36:24.717846849,145776
2022-12-08 21:36:24.820858272,147166
2022-12-08 21:36:24.923474359,149009
2022-12-08 21:36:25.025467243,149040
2022-12-08 21:36:25.127514466,147773
2022-12-08 21:36:25.229885023,147421
2022-12-08 21:36:25.331896592,149182
2022-12-08 21:36:25.434540255,149950
2022-12-08 21:36:25.537496921,148359
2022-12-08 21:36:25.640115817,147161
2022-12-08 21:36:25.742128573,149484
2022-12-08 21:36:25.845289831,149570
2022-12-08 21:36:25.947323497,149737
2022-12-08 21:36:26.049318741,147977
2022-12-08 21:36:26.151991489,148009
2022-12-08 21:36:26.258325762,149739
2022-12-08 21:36:26.361393920,148835
2022-12-08 21:36:26.464505285,149832
2022-12-08 21:36:26.567405046,149918
2022-12-08 21:36:26.669953171,148621
2022-12-08 21:36:26.773121242,148302
2022-12-08 21:36:26.876309820,149125
2022-12-08 21:36:26.978974687,149331
2022-12-08 21:36:27.082100156,149271
2022-12-08 21:36:27.185541234,149531
2022-12-08 21:36:27.288141552,150798
2022-12-08 21:36:27.391389872,150100
2022-12-08 21:36:27.494516838,147283
2022-12-08 21:36:27.597074913,148215
2022-12-08 21:36:27.700266838,149507
2022-12-08 21:36:27.802898624,132447
2022-12-08 21:36:27.905255806,102780
2022-12-08 21:36:28.007855458,91056
2022-12-08 21:36:28.110478157,86474
2022-12-08 21:36:28.213033751,86092
2022-12-08 21:36:28.316052457,99601
2022-12-08 21:36:28.418869649,101579
2022-12-08 21:36:28.521524400,100462
2022-12-08 21:36:28.623548867,108735
2022-12-08 21:36:28.725508414,112395
2022-12-08 21:36:28.828408964,113167
2022-12-08 21:36:28.931362323,124117
2022-12-08 21:36:29.033966073,129158
2022-12-08 21:36:29.135989871,138461
2022-12-08 21:36:29.238562016,144560
2022-12-08 21:36:29.340597572,148386
2022-12-08 21:36:29.443255592,149297
2022-12-08 21:36:29.545260569,151620
2022-12-08 21:36:29.647295400,147750
2022-12-08 21:36:29.749254298,141513
2022-12-08 21:36:29.851941111,146273
2022-12-08 21:36:29.953923976,142083
2022-12-08 21:36:30.056010707,149630
2022-12-08 21:36:30.158002919,142014
2022-12-08 21:36:30.260007339,149280
2022-12-08 21:36:30.362001547,148364
2022-12-08 21:36:30.469661524,148571
2022-12-08 21:36:30.572376144,148845
2022-12-08 21:36:30.674394784,148515
2022-12-08 21:36:30.776979584,149259
2022-12-08 21:36:30.879101282,149980
2022-12-08 21:36:30.981086610,146553
2022-12-08 21:36:31.083072376,149423
2022-12-08 21:36:31.185656695,131729
2022-12-08 21:36:31.288231645,102153
2022-12-08 21:36:31.390836657,103397
2022-12-08 21:36:31.493775763,124866
2022-12-08 21:36:31.596626980,141570
2022-12-08 21:36:31.698639594,147034
2022-12-08 21:36:31.801263368,147857
2022-12-08 21:36:31.903915603,150117
2022-12-08 21:36:32.006997635,148062
2022-12-08 21:36:32.110062733,147030
2022-12-08 21:36:32.212568188,145593
2022-12-08 21:36:32.315232628,146333
2022-12-08 21:36:32.418281977,149007
2022-12-08 21:36:32.520246804,150149
